Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
022-102-201-210,1e-4,NA,NA,NA,NA,1-10,4
022-102-210,1e-4,6e-4,5e-4,3.9999999999999996e-4,2.6457513110645904e-4,1-10,3
022-102-220,6e-4,7e-4,7e-4,6.666666666666666e-4,5.7735026918962605e-5,1-10,3
022-112,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,2
022-112-220,1e-4,NA,NA,NA,NA,1-10,3
022-120,0.0031,0.0027,0.0026,0.0028,2.6457513110645904e-4,1-10,2
022-120-200,4e-4,3e-4,6e-4,4.333333333333333e-4,1.5275252316519465e-4,1-10,3
022-120-201,2e-4,5e-4,9e-4,5.333333333333334e-4,3.511884584284246e-4,1-10,3
022-120-202,3e-4,7e-4,4e-4,4.6666666666666666e-4,2.0816659994661328e-4,1-10,3
022-120-202-210,1e-4,NA,NA,NA,NA,1-10,4
022-120-210,7e-4,2e-4,6e-4,5e-4,2.6457513110645904e-4,1-10,3
022-121,1e-4,4e-4,5e-4,3.333333333333333e-4,2.0816659994661328e-4,1-10,2
022-121-202,1e-4,NA,NA,NA,NA,1-10,3
022-200,0.0026,0.0031,0.0029,0.0028666666666666667,2.5166114784235834e-4,1-10,2
022-201,0.0034,0.0038,0.0028,0.003333333333333333,5.033222956847167e-4,1-10,2
022-201-210,4e-4,3e-4,3e-4,3.333333333333333e-4,5.7735026918962605e-5,1-10,3
022-201-220,4e-4,2e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,3
022-202,0.0019,0.0023,0.0028,0.002333333333333333,4.509249752822894e-4,1-10,2
022-202-210,4e-4,5e-4,1e-4,3.333333333333333e-4,2.0816659994661328e-4,1-10,3
022-202-220,8e-4,5e-4,3e-4,5.333333333333334e-4,2.5166114784235834e-4,1-10,3
022-210,0.0029,0.0033,0.0045,0.0035666666666666663,8.32666399786453e-4,1-10,2
022-211,1e-4,4e-4,NA,NA,NA,1-10,2
022-220,0.0026,0.003,0.0022,0.0026,3.9999999999999996e-4,1-10,2
101-200,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1-10,2
102,0.0222,0.0252,0.0232,0.023533333333333333,0.0015275252316519464,1-10,1
102-120,0.0097,0.0094,0.0097,0.009600000000000001,1.7320508075688767e-4,1-10,2
102-120-201,2e-4,5e-4,2e-4,3.0000000000000003e-4,1.7320508075688773e-4,1-10,3
102-120-210,3e-4,2e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1-10,3
102-200,0.0208,0.0218,0.0209,0.021166666666666667,5.507570547286109e-4,1-10,2
102-201,0.0089,0.0062,0.0076,0.007566666666666667,0.0013503086067019397,1-10,2
102-201-210,0.001,0.0013,0.0012,0.0011666666666666665,1.5275252316519463e-4,1-10,3
102-201-220,3e-4,5e-4,4e-4,4e-4,1.0000000000000002e-4,1-10,3
102-210,0.0068,0.0103,0.0085,0.008533333333333334,0.0017502380790433438,1-10,2
102-220,0.0027,0.0026,0.003,0.002766666666666667,2.0816659994661333e-4,1-10,2
110,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,1
