0.269,0.506	16.558,0.011	0.005,20.605
4.824,0.094	279.589,0.094	0.050,4.100	0.050,129.757
186.739,0.093
3.075,3.839	102.672,0.112	0.132,142.207
1.408,3.286	51.423,0.178	0.015,146.300
0.291,6.584	20.559,0.070	0.006,593.912
0.769,2.603	63.587,0.262	0.020,192.567
40.826,0.051	0.007,2.828	0.007,169.590
0.178,7.052	0.003,467.894
2.463,2.548	133.014,0.054	0.259,116.014
87.498,0.027	0.015,1.271	1.146,1.271	0.015,114.115	1.146,114.115
199.868,0.039
2.139,0.152	130.924,0.007
1.016,1.244	18.282,1.244	0.015,91.397
87.498,0.027	0.065,1.271	0.065,114.115
0.054,1.384	0.001,134.559
0.139,3.301	0.003,111.869
81.375,0.607	0.072,120.953
9.282,1.408	164.728,0.014	0.264,124.614
17.506,0.237	322.391,0.004	0.361,20.367
1.041,0.380	100.945,0.012	0.011,31.550
0.131,3.727	10.821,3.727	0.002,246.061
5.730,0.216	167.661,0.004
1.276,1.169	42.715,0.234	0.015,55.902
130.419,0.804	0.207,9.593	0.207,30.276
120.645,0.036	0.083,263.886	2.830,263.886
15.948,0.024	50.914,0.024	0.305,84.156
3.126,0.032	227.386,0.032	3.126,2.190	227.386,2.190	0.064,84.357
0.080,1.787	0.001,120.760
0.139,129.757
4.695,0.272	408.560,0.272	0.207,14.641	0.207,73.152
144.639,2.074	0.043,258.228	1.669,258.228
0.190,0.773	0.004,45.177
219.963,0.020	0.141,92.301	3.946,92.301
0.964,0.818	89.878,0.035
5.586,2.014	423.828,0.037	0.068,123.590
23.931,0.075	0.034,5.540	0.034,246.241
324.755,2.814	2.747,177.416	76.962,51.724
0.259,0.251	22.704,0.003	0.007,24.023
0.399,3.842	30.789,0.046	0.034,324.690
0.835,7.860	46.102,0.207	0.009,95.266
0.687,5.384	53.675,0.403	0.010,138.965
0.554,0.881	23.514,0.881	0.085,24.683
13.753,0.029	287.201,0.029	0.176,147.671
8.178,1.901	446.426,0.089	0.571,111.973
4.643,0.146	278.723,0.003
14.923,0.140	337.037,0.140	14.923,5.512	337.037,5.512	0.460,351.818
5.868,0.138	471.496,0.003	5.868,12.564
2.751,0.569	126.376,0.007	0.064,49.455
68.432,0.048	0.062,3.510	0.062,40.491
33.795,2.904	0.051,91.194
0.770,0.835	71.280,0.014	0.133,68.149
1.183,3.081	68.745,0.045	0.012,234.014
0.002,58.801
305.667,0.120	0.207,11.139	3.239,11.139	0.207,458.497	3.239,458.497
120.196,0.217	0.242,166.018
69.618,0.148	0.011,188.253
5.834,0.607	170.904,0.607	1.110,19.536	1.110,384.551
0.294,0.378	18.716,0.012	0.007,36.072
1.791,1.070	98.928,0.035	0.072,40.854
37.498,0.315	37.498,4.019	0.238,362.869
0.482,1.212	32.199,0.181	0.005,36.602
90.951,0.027
6.207,0.026	81.924,0.026	0.073,39.837
3.809,2.711	265.322,0.367	0.047,105.703
4.222,2.510	151.168,0.199	0.047,46.015
1.614,1.542	154.750,0.019	0.040,145.045
1.502,1.399	0.081,128.206
0.994,8.763	19.715,0.143	0.014,162.705
6.833,1.224	57.614,0.041	0.134,117.208
1.324,0.252	93.387,0.006	0.017,13.763
0.840,0.990	77.576,0.038	0.089,57.266
237.457,0.044	0.826,115.585
163.510,0.029	0.033,210.491
2.960,2.517	162.682,0.040	0.032,100.150
2.477,2.727	221.604,0.029	0.029,210.091
0.435,1.429	42.185,0.038	0.009,95.967
599.605,0.324	0.971,94.645	10.787,25.053
156.059,0.188	156.059,3.994	0.018,82.434
0.360,0.214	22.907,0.004	0.009,13.642
5.148,8.947	419.246,0.165	0.056,262.489
0.007,4.518	0.007,31.744
56.256,1.223	0.520,360.699
0.389,1.055	0.013,101.608
3.128,0.965	135.874,0.040	0.033,79.437
14.221,6.697	97.712,0.167	97.712,11.357	0.288,454.152
0.066,1.506	0.003,94.881
0.262,0.492	25.937,0.006	0.005,27.614
133.041,0.011	0.181,44.788
7.198,2.137	108.180,0.135	0.223,191.196
5.379,0.222	191.088,0.004	0.502,8.518	17.840,8.518
0.240,0.911	0.240,9.974
290.844,0.036	0.070,2.530	0.070,135.264
3.453,3.685	100.618,0.062	0.039,243.961
2.734,1.389	64.493,0.117	0.028,89.949
0.971,0.958	87.432,0.065
256.266,0.060	1.108,182.562
120.238,0.031	0.660,61.463
1.549,0.397	100.132,0.005	0.028,17.823
0.924,2.326	55.271,0.054	55.271,3.502	0.012,149.551
373.195,0.043	373.195,1.485	0.191,48.974
