144.502,5.049	144.502,8.214	0.135,233.256
95.116,0.061	0.024,130.406
3.272,0.532	278.841,0.017	0.064,31.127
415.991,0.547	0.308,483.382
1.546,2.109	95.394,0.042	0.046,134.271
103.024,0.076	0.117,391.274
2.464,4.047	141.348,0.193	0.044,166.212
0.709,0.234	52.629,0.003	0.008,22.443
2.724,2.352	212.982,0.061	0.028,217.776
103.721,0.031	1.602,53.556
152.388,0.274	2.552,150.855
6.095,1.036	43.865,0.017	0.092,99.379
1.563,11.984	80.749,0.133	0.044,646.309	2.286,646.309
742.977,0.333	1.337,62.352
1.720,6.012	105.431,0.078	0.024,26.225
103.598,0.014	0.534,1.349	0.534,87.340
328.592,0.075	0.541,134.624
592.987,1.173	592.987,16.993	0.086,305.973	7.274,305.973
8.028,0.361	46.062,0.004	8.028,12.972
0.882,0.648	8.895,0.648	0.882,18.049	8.895,18.049
258.489,0.130	0.489,113.296
98.386,0.023	0.124,94.309	4.152,94.309
0.393,1.311	34.801,0.019	0.013,96.570
1.567,0.584	155.818,0.018	0.021,35.341
2.264,1.478	127.607,0.030	0.042,95.810
1.544,0.838	74.673,0.117	0.022,83.542
58.857,0.065	0.449,61.585
2.633,8.104	95.422,0.232	0.036,126.961
112.736,0.037	0.244,96.917	2.471,96.917
287.318,0.219	0.151,334.470	6.474,334.470
476.305,0.347	476.305,3.042	0.490,37.469
0.569,0.622	41.915,0.007	0.010,56.203
4.831,0.459	283.419,0.014	283.419,1.151	0.276,38.041
208.904,0.132	0.131,10.086	0.131,754.022
5.266,5.695	437.737,0.061	0.060,94.380
1.817,1.471	155.558,0.027	0.021,82.352
7.686,1.277	39.390,0.013	0.118,38.798
0.082,3.469	0.001,54.609
21.982,0.576	0.152,4.647	0.152,134.473
179.469,0.016	0.846,87.639
598.868,0.017	0.108,52.202
129.071,0.076	129.071,6.481	0.028,149.695
104.280,0.024	0.603,74.144
4.784,1.344	149.293,0.034	0.291,27.789
315.207,0.104	0.333,212.875
31.114,0.013	0.006,0.526	0.006,30.354
0.879,3.118	20.605,0.042	0.026,81.303
2.732,3.168	55.335,0.135	0.208,236.886
85.562,0.616	0.049,6.635	0.049,312.793
0.484,0.248	44.038,0.005	0.009,23.632
0.572,1.208	51.602,0.084	0.022,110.046	2.012,110.046
436.028,0.062	436.028,2.528	0.530,64.299	11.076,64.299
1.361,1.549	109.422,0.048	0.018,107.360
372.904,0.087	1.969,103.041
0.114,1.080	0.001,42.219
0.517,0.162	36.421,0.005
1.272,0.504	35.697,0.038	0.038,46.438
0.110,2.358	7.800,2.358	0.082,174.823	5.766,174.823
1.095,1.922	64.054,0.294	0.015,112.477
1.390,17.303	85.284,0.355	0.030,50.494
57.803,0.827	0.014,153.424
3.359,5.857	89.524,0.168	0.039,53.822
0.087,2.823	0.006,111.356
61.480,0.049	61.480,1.826	0.024,166.449
0.833,2.496	46.140,0.026	0.021,213.426
3.588,0.120	74.478,0.008
3.289,0.610	220.749,0.037	0.091,56.894
0.853,1.150	45.009,0.058	0.184,104.373	9.728,104.373
76.665,0.246	0.016,485.943
2.838,2.451	72.238,0.107	0.028,100.452
0.622,2.298	53.443,0.034	0.008,223.413
6.976,0.132	271.706,0.002	6.976,4.703
0.837,1.753	59.794,0.045	0.011,22.981
1.883,0.112	119.763,0.112	1.883,5.963	119.763,5.963	0.046,341.786
4.432,1.283	60.528,1.283	0.281,138.797
265.683,0.009	0.215,38.287
81.347,0.012	1.085,19.312
1.601,0.925	114.727,0.022	0.022,80.582
2.779,0.014	150.243,0.014	0.082,77.006
413.736,0.714	0.072,118.337
2.161,0.527	199.020,0.006	0.024,45.904
57.078,0.002
1.781,1.223	109.076,0.030	0.051,109.380
0.746,0.984	50.520,0.023	0.008,16.544
145.313,0.188	1.457,119.133	11.175,119.133
699.343,0.002
100.326,1.190	0.015,181.510
4.604,2.402	247.998,0.029	0.106,157.077
0.409,0.128	37.677,0.002	0.409,8.123
6.091,0.026	166.475,0.026
283.666,0.096	0.193,85.890	3.662,85.890
1.551,2.293	68.472,0.066	0.017,52.309
3.685,2.608	70.600,0.407	0.086,153.431
14.782,2.189	494.736,0.030	0.624,119.381
233.787,0.036	0.134,111.607	9.335,111.607
2.864,0.224	119.763,0.224	2.864,11.377	119.763,11.377	0.130,341.786
75.837,0.081	0.036,2.564	0.036,118.698
71.493,0.019	0.060,1.731	5.676,1.731	0.060,70.650	5.676,70.650
4.983,2.950	210.301,0.179	0.057,293.245
133.995,0.062	0.056,191.026
133.878,0.527	133.878,12.296	0.354,153.233
0.614,0.074	40.492,0.074	0.007,4.406	0.007,68.442
1.023,0.308	64.884,0.004
0.266,0.925	20.714,0.015	0.032,66.266
3.196,1.691	137.166,0.020
1.168,0.144	70.554,0.003	0.013,14.290
227.895,1.239	0.164,109.617
0.945,3.224	62.579,0.230	0.024,172.562
60.502,0.205	0.190,5.587	0.190,60.161
362.755,0.128	1.033,261.292
3.994,1.042	200.697,0.096	0.078,56.198
38.027,0.061	38.027,4.907	0.005,194.155
0.957,0.531	68.108,0.023	0.034,47.291
1.577,1.095	150.757,1.095	0.020,28.782
4.896,1.794	104.685,0.018	0.061,114.933
2.039,1.104	122.162,0.012	0.023,88.893
1.181,1.201	12.710,1.201	0.025,68.489
4.685,0.124	225.441,0.124	4.685,7.831	225.441,7.831	0.137,32.877
31.532,0.070	0.005,5.961	0.005,96.801
0.262,2.086	0.014,186.048
27.763,0.261	0.130,267.335
241.124,0.025	0.223,51.558
0.562,0.440	31.480,0.005	0.007,20.687
45.741,0.330	0.015,10.349	0.015,458.678
3.971,1.378	137.808,0.021	0.399,81.538
2.427,0.448	180.689,0.008	0.071,33.675
2.189,1.964	153.002,0.023	0.029,123.741
6.093,3.597	229.767,0.082	0.157,193.430
1.502,2.917	110.503,0.053	0.089,259.541
4.598,1.555	272.828,0.018	0.058,77.692
2.856,0.089	90.948,0.089	0.029,186.668
0.565,0.995	55.956,0.011	0.023,99.041
2.150,0.191	175.309,0.191	0.036,108.676
325.642,0.065	0.630,104.326
78.558,0.574	0.052,299.853
3.618,0.065	75.471,0.065	0.269,196.742
0.018,176.120
0.111,3.431	0.002,101.375
85.992,0.015	0.058,39.227	1.515,39.227
81.403,0.012	0.024,0.401	0.024,34.456
1.447,0.162	136.462,0.003	0.016,13.326
2.282,0.552	124.773,0.011	0.028,55.194
2.287,4.056	0.097,387.140
44.371,0.059	0.526,86.078
296.098,0.101	0.311,101.850
0.155,1.241	15.196,1.241	0.002,66.112
4.493,0.424	166.256,0.006	0.229,37.007
62.430,0.079	0.059,2.872	0.059,123.468
2.394,1.014	212.918,0.048	0.028,57.135
136.517,0.092	0.186,132.819
2.004,1.244	117.075,0.018	0.154,116.303
0.173,1.376	0.003,124.797
0.396,2.248	36.171,0.028	0.006,183.513
0.005,561.243
1.741,3.110	21.628,0.054	0.031,293.623
3.044,2.606	80.241,0.057	0.035,140.779
147.421,0.071	0.236,192.993
227.144,0.028	0.140,105.142
137.225,0.070	0.080,86.679
0.039,1.437	0.001,101.205
147.254,0.423	0.024,178.828
0.257,7.260	12.737,0.217	0.009,409.180
6.753,1.187	370.700,0.413	0.118,17.248
199.725,0.298	0.316,132.702	5.515,132.702
104.338,0.091	0.142,254.730
0.504,0.252	34.192,0.003	0.504,13.658
4.795,5.966	90.794,0.121	0.061,188.959
1.008,5.353	48.191,0.082	48.191,7.326	0.027,476.027
2.695,8.113	97.866,0.305	0.028,106.272
0.689,1.479	53.447,0.057	0.015,102.438
0.762,0.993	52.942,0.011	0.008,75.805
0.140,8.902	0.001,40.993
