parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
8143,2,01-21,01,01-21,2,0.395,-2.408159,8.916962,0.395
8143,2,01-21,21,01-21,2,0.605,2.470843,5.355422,0.605
8144,1,01,01,01,1,1,-2.812504,6.246895,1
8145,2,01-20,20,01-20,2,0.262,4.922964,1.041648,0.262
8145,2,01-20,01,01-20,2,0.738,-5.027329,5.721505,0.738
8146,3,01-10-20,10,01-10-20,3,0.297,-0.262292,-0.289592,0.297
8146,3,01-10-20,20,01-10-20,3,0.37,5.246389,-0.289643,0.37
8146,3,01-10-20,01,01-10-20,3,0.333,-4.334062,5.388708,0.333
8147,1,01,01,01,1,1,-7.227922,8.674464,1
8148,2,10-20,20,10-20,2,0.547,7.377603,1.025992,0.547
8148,2,10-20,10,10-20,2,0.453,1.365594,1.025992,0.453
8149,2,01-20,01,01-20,2,0.954,-8.464078,6.697072,0.954
8149,2,01-20,20,01-20,2,0.046,2.786878,1.740702,0.046
8150,2,01-20,20,01-20,2,0.055,3.922849,1.73055,0.055
8150,2,01-20,01,01-20,2,0.945,-8.560245,7.857795,0.945
8151,2,01-20,01,01-20,2,0.555,-4.96391,5.020936,0.555
8151,2,01-20,20,01-20,2,0.445,6.468172,0.009272,0.445
8152,2,01-20,01,01-20,2,0.719,-6.371067,5.943572,0.719
8152,2,01-20,20,01-20,2,0.281,6.018481,1.606444,0.281
8153,2,01-20,01,01-20,2,0.432,-4.06661,4.483928,0.432
8153,2,01-20,20,01-20,2,0.568,6.555717,-2.001511,0.568
8154,3,01-11-20,11,01-11-20,3,0.437,0.215633,7.30089,0.437
8154,3,01-11-20,20,01-11-20,3,0.129,6.607614,1.656529,0.129
8154,3,01-11-20,01,01-11-20,3,0.434,-5.353959,7.30089,0.434
8155,2,01-20,01,01-10-20,2,0.319,-2.062557,6.651068,0.319
8155,2,01-20,20,01-10-20,2,0.681,8.413378,0.178651,0.681
8156,3,01-10-20,20,01-10-20,3,0.198,5.858284,1.762744,0.198
8156,3,01-10-20,10,01-10-20,3,0.238,0.381813,1.762744,0.238
8156,3,01-10-20,01,01-10-20,3,0.564,-5.205005,7.867496,0.564
8157,2,01-20,20,01-20,2,0.553,6.948054,1.4429670000000001,0.553
8157,2,01-20,01,01-20,2,0.447,-2.18194,7.188493,0.447
8158,2,01-20,01,01-20,2,0.3,-0.94652,6.541093,0.3
8158,2,01-20,20,01-20,2,0.7,7.874802,0.086502,0.7
