Phase,Count,Frequency
0032-0033-0302-0303-2032-2033-3030,1,1e-4
0032-0033-0303-3030,4,4e-4
0032-0103-0303-0320-0322-3030,1,1e-4
0032-0103-0303-3030,5,5e-4
0032-0113-0303-3030,1,1e-4
0032-0132-0303-2030-2130,1,1e-4
0032-0132-0303-3030,3,3e-4
0032-0232-0303-0332-3030,1,1e-4
0032-0232-0303-3003-3030-3103,1,1e-4
0032-0232-0303-3030,4,4e-4
0032-0303-0313-3030,1,1e-4
0032-0303-0320-0322-3003-3030,1,1e-4
0032-0303-0320-1030,1,1e-4
0032-0303-0320-3030,1,1e-4
0032-0303-0330-0332-3030,2,2e-4
0032-0303-0330-3030,1,1e-4
0032-0303-0332-1030-3030,1,1e-4
0032-0303-0332-3030,5,5e-4
0032-0303-0332-3030-3230,1,1e-4
0032-0303-0333-1330-3030,1,1e-4
0032-0303-0333-3030,1,1e-4
0032-0303-1030,1,1e-4
0032-0303-1030-1320-3030-3300-3320,1,1e-4
0032-0303-1030-3030,4,4e-4
0032-0303-3000-3002-3030,2,2e-4
0032-0303-3003-3030,2,2e-4
0032-0303-3030,52,0.0052
0032-0303-3030-3300,2,2e-4
0032-0303-3030-3300-3330,1,1e-4
0032-0303-3032,2,2e-4
0032-3030,1,1e-4
0033-0103-0113-0303-0313-3030-3031,1,1e-4
0033-0103-0233-0303-3013-3030,1,1e-4
0033-0103-0300-0303-3030,1,1e-4
0033-0103-0301-0303-3030,1,1e-4
0033-0103-0303-1033-3030,1,1e-4
0033-0103-0303-1103-3030,1,1e-4
0033-0103-0303-2300-3003-3030,1,1e-4
0033-0103-0303-3003-3030,2,2e-4
0033-0103-0303-3030,9,9e-4
0033-0133,1,1e-4
0033-0133-0303,2,2e-4
0033-0133-0303-0313-3030,1,1e-4
0033-0133-0303-0323-3030,1,1e-4
0033-0133-0303-0330-3030,1,1e-4
0033-0133-0303-3030,11,0.0011
0033-0133-0303-3030-3031,1,1e-4
0033-0133-0303-3031,1,1e-4
0033-0203-0303-3003-3030,1,1e-4
0033-0203-0303-3030-3032,1,1e-4
0033-0203-3030,1,1e-4
0033-0223-0303-3030,1,1e-4
0033-0230-0233-0303-2230-2300-3030,1,1e-4
0033-0230-0233-0303-3030,3,3e-4
0033-0230-0233-0303-3030-3300,1,1e-4
0033-0230-0303-3030,2,2e-4
0033-0231-0303-0313-3003-3030,1,1e-4
0033-0233-0303-1030-3030,1,1e-4
0033-0233-0303-3030,2,2e-4
0033-0233-0313-3030-3033,1,1e-4
0033-0300-0303-0320-3030,1,1e-4
0033-0300-0303-0330-3030,1,1e-4
0033-0300-0303-1300-3030,1,1e-4
0033-0300-0303-3030,6,6e-4
0033-0301-0303-3030,4,4e-4
0033-0302-0303-1033-3030,1,1e-4
0033-0302-0303-3030,1,1e-4
0033-0303,12,0.0012
0033-0303-0310-0330-3030,1,1e-4
0033-0303-0310-3030,1,1e-4
0033-0303-0310-3030-3310,2,2e-4
0033-0303-0313-0321-0330-0333-3030-3300,1,1e-4
0033-0303-0313-0330-0333-3030,2,2e-4
0033-0303-0313-3030,8,8e-4
0033-0303-0313-3030-3032,1,1e-4
0033-0303-0313-3031,1,1e-4
0033-0303-0320-3030,4,4e-4
