Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0120-0202-2001-2020,1e-4,4e-4,3e-4,2.666666666666667e-4,1.5275252316519468e-4,1,4
0120-0202-2020,0.022,0.0248,0.021,0.0226,0.0019697715603592203,1,3
0120-0210,1e-4,NA,1e-4,NA,NA,1,2
0120-0210-2020,3e-4,4e-4,6e-4,4.333333333333333e-4,1.5275252316519465e-4,1,3
0120-2020,7e-4,5e-4,7e-4,6.333333333333333e-4,1.1547005383792514e-4,1,2
0121,1e-4,NA,NA,NA,NA,1,1
0121-0201-2020,1e-4,NA,1e-4,NA,NA,1,3
0121-0202,4e-4,8e-4,3e-4,5e-4,2.645751311064591e-4,1,2
0121-0202-0211,1e-4,NA,NA,NA,NA,1,3
0121-0202-0211-1120-1210-2020,1e-4,NA,NA,NA,NA,1,6
0121-0202-0211-2020,3e-4,5e-4,1e-4,3e-4,2e-4,1,4
0121-0202-1002-1021-2020,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,5
0121-0202-1021-2020,2e-4,NA,NA,NA,NA,1,4
0121-0202-1120-1200-2020,2e-4,NA,1e-4,NA,NA,1,5
0121-0202-2020,0.0017,0.0026,0.0029,0.0024,6.244997998398398e-4,1,3
0121-2020,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,2
0122-0202-2020,1e-4,1e-4,NA,NA,NA,1,3
0200,6e-4,0.0011,0.0014,0.0010333333333333334,4.0414518843273807e-4,1,1
0200-1020,0.0016,0.0021,0.0017,0.0018,2.64575131106459e-4,1,2
0200-2000,0.0012,9e-4,0.0011,0.0010666666666666667,1.5275252316519465e-4,1,2
0200-2010,0.0014,9e-4,0.001,0.0011,2.6457513110645904e-4,1,2
0200-2020,0.0187,0.0197,0.0169,0.018433333333333333,0.001418919776919518,1,2
0200-2020-2100,0.0011,0.0011,0.0014,0.0012000000000000001,1.7320508075688767e-4,1,3
0200-2100,3e-4,2e-4,6e-4,3.666666666666666e-4,2.0816659994661325e-4,1,2
0201,0.0011,0.0016,0.0022,0.0016333333333333334,5.507570547286102e-4,1,1
0201-0210-2020,6e-4,8e-4,0.0012,8.666666666666666e-4,3.055050463303893e-4,1,3
0201-0210-2020-2110,4e-4,1e-4,1e-4,2e-4,1.7320508075688773e-4,1,4
0201-0220-2020,1e-4,NA,NA,NA,NA,1,3
0201-1001-1020,6e-4,2e-4,3e-4,3.666666666666666e-4,2.0816659994661325e-4,1,3
0201-1011-2010,1e-4,NA,1e-4,NA,NA,1,3
0201-1020,9e-4,0.0012,0.0012,0.0010999999999999998,1.7320508075688767e-4,1,2
0201-1101-2020-2100,1e-4,2e-4,NA,NA,NA,1,4
0201-1200-2010,1e-4,NA,NA,NA,NA,1,3
0201-1200-2020,8e-4,0.0011,5e-4,8e-4,3.0000000000000003e-4,1,3
0201-2000,0.0012,0.0013,0.0018,0.0014333333333333333,3.2145502536643183e-4,1,2
0201-2001-2010,1e-4,NA,NA,NA,NA,1,3
0201-2001-2020,2e-4,6e-4,4e-4,3.9999999999999996e-4,1.9999999999999998e-4,1,3
0201-2010,0.0011,0.0015,0.0017,0.0014333333333333333,3.0550504633038926e-4,1,2
0201-2020,0.0215,0.0248,0.0255,0.02393333333333333,0.0021361959960016154,1,2
0201-2020-2100,0.0018,0.0017,0.0026,0.002033333333333333,4.932882862316247e-4,1,3
0201-2100,1e-4,4e-4,5e-4,3.333333333333333e-4,2.0816659994661328e-4,1,2
0202,0.0459,0.0454,0.0443,0.045200000000000004,8.185352771872472e-4,1,1
0202-0210,8e-4,2e-4,4e-4,4.6666666666666666e-4,3.0550504633038936e-4,1,2
0202-0210-1002-2020,6e-4,3e-4,4e-4,4.333333333333333e-4,1.5275252316519465e-4,1,4
0202-0210-1020,0.0013,0.0024,0.0032,0.0023,9.539392014169457e-4,1,3
0202-0210-1020-1110,2e-4,NA,4e-4,NA,NA,1,4
0202-0210-2001-2020,3e-4,1e-4,NA,NA,NA,1,4
0202-0210-2010,4e-4,2e-4,3e-4,3.0000000000000003e-4,1e-4,1,3
0202-0210-2020,0.0211,0.0233,0.0247,0.023033333333333333,0.0018147543451754928,1,3
0202-0210-2020-2110,0.0017,0.0017,0.0018,0.0017333333333333333,5.7735026918962605e-5,1,4
0202-0210-2110,1e-4,NA,2e-4,NA,NA,1,3
0202-0211,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,2
0202-0211-1002-1021-2020,2e-4,NA,2e-4,NA,NA,1,5
0202-0211-1021-2020,3e-4,1e-4,NA,NA,NA,1,4
0202-0211-1210-2020,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1,4
0202-0211-1210-2020-2110,1e-4,NA,NA,NA,NA,1,5
0202-0211-2020,3e-4,2e-4,0.001,5e-4,4.358898943540674e-4,1,3
0202-0211-2020-2110,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1,4
0202-0220,2e-4,3e-4,4e-4,3.0000000000000003e-4,1e-4,1,2
0202-0220-1020,1e-4,NA,NA,NA,NA,1,3
0202-0220-2020,0.0015,0.0011,0.001,0.0012000000000000001,2.6457513110645904e-4,1,3
0202-0220-2120,1e-4,1e-4,NA,NA,NA,1,3
0202-0221,1e-4,NA,NA,NA,NA,1,2
0202-0221-2020,4e-4,NA,1e-4,NA,NA,1,3
0202-1002,0.0012,6e-4,0.0012,0.001,3.4641016151377546e-4,1,2
0202-1002-1010,1e-4,NA,NA,NA,NA,1,3
0202-1002-1011-2010,1e-4,3e-4,NA,NA,NA,1,4
0202-1002-1020,1e-4,2e-4,4e-4,2.3333333333333333e-4,1.5275252316519468e-4,1,3
0202-1002-1021,2e-4,4e-4,NA,NA,NA,1,3
0202-1002-1021-2020,0.0018,0.0022,0.0022,0.0020666666666666667,2.3094010767585042e-4,1,4
0202-1002-2000,0.0021,0.0018,0.0016,0.0018333333333333333,2.5166114784235823e-4,1,3
0202-1002-2001,5e-4,2e-4,2e-4,3.0000000000000003e-4,1.7320508075688773e-4,1,3
0202-1002-2001-2020,0.0019,0.0023,0.0021,0.0021,1.9999999999999998e-4,1,4
0202-1002-2010,0.0028,0.0031,0.0029,0.0029333333333333334,1.5275252316519465e-4,1,3
0202-1002-2020,0.0239,0.0224,0.0235,0.023266666666666668,7.767453465154035e-4,1,3
0202-1010,0.0013,7e-4,5e-4,8.333333333333333e-4,4.163331998932265e-4,1,2
0202-1011,3e-4,1e-4,NA,NA,NA,1,2
0202-1012-1020,1e-4,2e-4,NA,NA,NA,1,3
0202-1012-1021-2020,2e-4,2e-4,4e-4,2.666666666666667e-4,1.1547005383792516e-4,1,4
0202-1012-1102-2020,1e-4,NA,1e-4,NA,NA,1,4
0202-1012-1102-2020-2100,2e-4,1e-4,NA,NA,NA,1,5
0202-1012-2011-2020,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1,4
0202-1012-2020,0.003,0.0026,0.0032,0.0029333333333333334,3.0550504633038947e-4,1,3
0202-1020,0.0253,0.0233,0.0235,0.024033333333333334,0.0011015141094572198,1,2
0202-1020-1200,2e-4,4e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1,3
0202-1020-1201,3e-4,NA,1e-4,NA,NA,1,3
0202-1021,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,2
0202-1021-1102-2020,1e-4,NA,2e-4,NA,NA,1,4
0202-1021-2020,5e-4,2e-4,6e-4,4.333333333333333e-4,2.0816659994661325e-4,1,3
0202-1021-2020-2200,1e-4,NA,NA,NA,NA,1,4
0202-1022-2020,3e-4,4e-4,1e-4,2.666666666666667e-4,1.5275252316519468e-4,1,3
0202-1102-2020,4e-4,2e-4,3e-4,3.0000000000000003e-4,1e-4,1,3
0202-1102-2020-2100,0.0018,0.0015,0.0015,0.0016,1.7320508075688767e-4,1,4
0202-1102-2020-2101,4e-4,NA,4e-4,NA,NA,1,4
0202-1102-2100,1e-4,3e-4,7e-4,3.6666666666666667e-4,3.0550504633038936e-4,1,3
0202-1110,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1,2
0202-1120-1200-2020,0.0016,0.0016,0.0017,0.0016333333333333334,5.773502691896248e-5,1,4
0202-1120-1201-1210-2001-2020,1e-4,NA,NA,NA,NA,1,6
0202-1120-1201-2001-2020,1e-4,1e-4,1e-4,1e-4,0,1,5
0202-1120-1210-2020,1e-4,1e-4,5e-4,2.3333333333333333e-4,2.309401076758503e-4,1,4
0202-1120-2020,4e-4,6e-4,5e-4,5e-4,9.999999999999996e-5,1,3
