Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0121-0202-1120-1200-2020,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,5
0121-0202-1120-2020,7e-4,7e-4,0.0015,9.666666666666667e-4,4.618802153517006e-4,1-10,4
0121-0202-2020,0.0081,0.0087,0.0077,0.008166666666666666,5.033222956847162e-4,1-10,3
0121-0202-2020-2200,1e-4,2e-4,NA,NA,NA,1-10,4
0121-0202-2120,1e-4,1e-4,NA,NA,NA,1-10,3
0121-1021-2020,1e-4,1e-4,NA,NA,NA,1-10,3
0121-1120-2020,2e-4,NA,NA,NA,NA,1-10,3
0121-2020,6e-4,6e-4,6e-4,6e-4,0,1-10,2
0122-0202,3e-4,5e-4,9e-4,5.666666666666667e-4,3.0550504633038936e-4,1-10,2
0122-0202-1022,1e-4,NA,NA,NA,NA,1-10,3
0122-0202-1022-2020,2e-4,4e-4,2e-4,2.666666666666667e-4,1.1547005383792516e-4,1-10,4
0122-0202-1022-2021,1e-4,NA,NA,NA,NA,1-10,4
0122-0202-1120-1200-2020,1e-4,NA,NA,NA,NA,1-10,5
0122-0202-1120-1201-2020,1e-4,2e-4,NA,NA,NA,1-10,5
0122-0202-1120-2020,2e-4,NA,1e-4,NA,NA,1-10,4
0122-0202-2020,0.0026,0.0028,0.0031,0.002833333333333333,2.5166114784235834e-4,1-10,3
0122-0202-2021,1e-4,NA,6e-4,NA,NA,1-10,3
0122-0202-2120,1e-4,NA,NA,NA,NA,1-10,3
0122-0212-2020,4e-4,NA,NA,NA,NA,1-10,3
0122-1022,1e-4,NA,NA,NA,NA,1-10,2
0122-1022-2020,1e-4,1e-4,NA,NA,NA,1-10,3
0122-1120-2020,1e-4,NA,1e-4,NA,NA,1-10,3
0122-2020,2e-4,3e-4,4e-4,3.0000000000000003e-4,1e-4,1-10,2
0200,2e-4,NA,NA,NA,NA,1-10,1
0200-2020,0.0016,0.0018,9e-4,0.0014333333333333333,4.7258156262526085e-4,1-10,2
0200-2020-2100,1e-4,4e-4,4e-4,3.0000000000000003e-4,1.7320508075688773e-4,1-10,3
0201,3e-4,1e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,1-10,1
0201-0210-2020,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1-10,3
0201-0220,2e-4,NA,NA,NA,NA,1-10,2
0201-0220-2020,4e-4,NA,2e-4,NA,NA,1-10,3
0201-1011-1020,1e-4,NA,NA,NA,NA,1-10,3
0201-1020,2e-4,NA,NA,NA,NA,1-10,2
0201-1120-1200-2020,1e-4,NA,NA,NA,NA,1-10,4
0201-1200-2020,2e-4,3e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,1-10,3
0201-2000,1e-4,1e-4,1e-4,1e-4,0,1-10,2
0201-2001-2020,1e-4,NA,NA,NA,NA,1-10,3
0201-2010,1e-4,NA,2e-4,NA,NA,1-10,2
0201-2010-2100,1e-4,NA,NA,NA,NA,1-10,3
0201-2011-2020,1e-4,NA,NA,NA,NA,1-10,3
0201-2020,0.004,0.0043,0.0044,0.004233333333333334,2.0816659994661333e-4,1-10,2
0201-2020-2100,9e-4,4e-4,5e-4,6.000000000000001e-4,2.6457513110645904e-4,1-10,3
0201-2020-2200,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0201-2100,1e-4,NA,NA,NA,NA,1-10,2
0202,0.0464,0.0453,0.0463,0.046,6.082762530298211e-4,1-10,1
0202-0210,0.0013,0.0012,0.0011,0.0012,9.999999999999994e-5,1-10,2
0202-0210-1002-2020,3e-4,3e-4,1e-4,2.3333333333333333e-4,1.1547005383792513e-4,1-10,4
0202-0210-1020,4e-4,6e-4,9e-4,6.333333333333333e-4,2.516611478423583e-4,1-10,3
0202-0210-1020-1110,1e-4,NA,1e-4,NA,NA,1-10,4
0202-0210-2001-2020,2e-4,2e-4,3e-4,2.3333333333333333e-4,5.773502691896256e-5,1-10,4
0202-0210-2002-2020,1e-4,NA,NA,NA,NA,1-10,4
0202-0210-2020,0.0203,0.025,0.0213,0.0222,0.002475883680627991,1-10,3
0202-0210-2020-2110,0.0036,0.0026,0.0036,0.0032666666666666664,5.773502691896258e-4,1-10,4
0202-0211,3e-4,6e-4,3e-4,3.9999999999999996e-4,1.7320508075688773e-4,1-10,2
0202-0211-1002-1021-2020,1e-4,1e-4,1e-4,1e-4,0,1-10,5
0202-0211-1021-2020,9e-4,0.0014,9e-4,0.0010666666666666667,2.886751345948129e-4,1-10,4
0202-0211-1102-1111-2110,1e-4,NA,NA,NA,NA,1-10,5
0202-0211-1210-2020,4e-4,8e-4,7e-4,6.333333333333334e-4,2.0816659994661328e-4,1-10,4
0202-0211-1210-2020-2110,1e-4,NA,1e-4,NA,NA,1-10,5
0202-0211-2002-2020,1e-4,NA,NA,NA,NA,1-10,4
0202-0211-2020,0.0037,0.0023,0.0024,0.0028,7.810249675906656e-4,1-10,3
0202-0211-2020-2110,0.0011,8e-4,0.0011,0.001,1.7320508075688773e-4,1-10,4
0202-0211-2210,2e-4,NA,NA,NA,NA,1-10,3
0202-0220,0.0017,0.0021,0.0018,0.0018666666666666666,2.0816659994661325e-4,1-10,2
0202-0220-1002-2020,1e-4,NA,NA,NA,NA,1-10,4
0202-0220-1012-2020,1e-4,NA,NA,NA,NA,1-10,4
0202-0220-1020,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1-10,3
0202-0220-1102-2020,2e-4,NA,2e-4,NA,NA,1-10,4
0202-0220-2001-2020,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0202-0220-2020,0.0102,0.0094,0.01,0.009866666666666668,4.1633319989322666e-4,1-10,3
0202-0220-2020-2101,2e-4,NA,NA,NA,NA,1-10,4
0202-0220-2120,9e-4,5e-4,5e-4,6.333333333333333e-4,2.3094010767585029e-4,1-10,3
0202-0221,2e-4,5e-4,7e-4,4.6666666666666666e-4,2.5166114784235834e-4,1-10,2
0202-0221-1012-1021-2020,1e-4,NA,NA,NA,NA,1-10,5
0202-0221-1021-1102-2020,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,5
0202-0221-1021-2020,3e-4,5e-4,2e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,4
0202-0221-1220,1e-4,1e-4,NA,NA,NA,1-10,3
0202-0221-1220-2020,0.001,8e-4,5e-4,7.666666666666667e-4,2.5166114784235834e-4,1-10,4
0202-0221-2002-2020,1e-4,NA,NA,NA,NA,1-10,4
0202-0221-2020,0.0016,0.0035,0.0025,0.0025333333333333336,9.504384952922168e-4,1-10,3
0202-0221-2120,4e-4,2e-4,1e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,3
0202-1002,0.0012,8e-4,0.0012,0.0010666666666666667,2.3094010767585023e-4,1-10,2
0202-1002-1011-2010,1e-4,NA,NA,NA,NA,1-10,4
0202-1002-1021,1e-4,NA,3e-4,NA,NA,1-10,3
0202-1002-1021-2020,0.0034,0.0035,0.003,0.0033,2.6457513110645904e-4,1-10,4
0202-1002-2000,4e-4,1e-4,2e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,3
0202-1002-2001,1e-4,4e-4,2e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,3
0202-1002-2001-2010,1e-4,1e-4,NA,NA,NA,1-10,4
0202-1002-2001-2020,0.0025,0.0023,0.0033,0.0027,5.291502622129181e-4,1-10,4
0202-1002-2010,4e-4,4e-4,2e-4,3.333333333333334e-4,1.1547005383792516e-4,1-10,3
0202-1002-2020,0.0192,0.0212,0.0215,0.020633333333333333,0.0012503332889007373,1-10,3
0202-1011,2e-4,NA,1e-4,NA,NA,1-10,2
0202-1012,2e-4,6e-4,4e-4,3.9999999999999996e-4,1.9999999999999998e-4,1-10,2
0202-1012-1021,1e-4,1e-4,1e-4,1e-4,0,1-10,3
0202-1012-1021-1102-2020,3e-4,1e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,1-10,5
0202-1012-1021-2020,7e-4,5e-4,6e-4,6e-4,9.999999999999999e-5,1-10,4
0202-1012-1102,1e-4,NA,1e-4,NA,NA,1-10,3
0202-1012-1102-2020,9e-4,5e-4,6e-4,6.666666666666666e-4,2.0816659994661328e-4,1-10,4
0202-1012-1102-2020-2100,1e-4,3e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,5
