parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1207,2,0202-1120,0202,-1,2,0.98,-6.382077,9.023704,-5.115084,5.392814,0.98
1208,2,0202-2220,2220,0202-2220,2,0.44,3.248684,0.753277,2.01366,-4.175438,0.44
1208,2,0202-2220,0202,0202-2220,2,0.56,-2.886756,6.297091,-2.166025,7.0305,0.56
1209,2,0202-2020,2020,0202-2020,2,0.42,6.694038,-5.374044,7.672021,-3.727279,0.42
1209,2,0202-2020,0202,0202-2020,2,0.58,-5.8065,7.210733,-3.923351,8.688248,0.58
1210,1,0202,0202,0202,1,1,-6.180611,7.135728,-5.577037,5.576668,1
1211,3,0120-0202-2020,0120,0120-0202-2020,3,0.63,-2.346979,0.559297,7.047596,-0.964352,0.63
1211,3,0120-0202-2020,2020,0120-0202-2020,3,0.25,3.722315,-3.205589,7.047596,-7.318226,0.25
1211,3,0120-0202-2020,0202,0120-0202-2020,3,0.12,-7.703008,6.973416,-0.535278,3.12189,0.12
1212,2,0202-2121,0202,0122-0202-2021,2,0.57,-4.246493,6.544344,-5.98692,7.942892,0.57
1212,2,0202-2121,2121,0122-0202-2021,2,0.43,2.192223,-1.597796,0.476316,0.107575,0.43
1213,2,0202-2020,0202,0202-2020,2,0.95,-7.541153,6.464532,-3.952674,6.912587,0.95
1213,2,0202-2020,2020,0202-2020,2,0.05,4.629338,-1.369709,6.698789,-2.492005,0.05
1214,4,0121-0202-0211-2020,2020,0121-0202-0211-2020,4,0.21,6.109393,-5.427706,4.988082,-3.290197,0.21
1214,4,0121-0202-0211-2020,0202,0121-0202-0211-2020,4,0.52,-6.758086,6.679853,-2.983571,7.139729,0.52
1214,4,0121-0202-0211-2020,0121,0121-0202-0211-2020,4,0.14,-6.757819,1.054803,4.988082,0.719455,0.14
1214,4,0121-0202-0211-2020,0211,0121-0202-0211-2020,4,0.13,-6.758009,6.679716,0.97843,0.719454,0.13
1215,1,2020,2020,2020,1,1,4.844249,-2.77382,6.954166,-9.943385,1
1216,1,0202,0202,0202,1,1,-8.848085,9.088358,-7.170557,5.69181,1
1217,3,0021-0202-2020,0202,0021-0202-2020,3,0.55,-7.63518,4.076857,-3.694375,6.626088,0.55
1217,3,0021-0202-2020,2020,0021-0202-2020,3,0.06,2.114959,-6.589546,6.755908,-5.265113,0.06
1217,3,0021-0202-2020,0021,0021-0202-2020,3,0.39,-4.18769,-2.401598,6.755908,0.760838,0.39
1218,2,0202-2210,0202,0202-2210,2,0.87,-3.765209,9.82854,-4.359884,7.475498,0.87
1218,2,0202-2210,2210,0202-2210,2,0.13,2.640168,4.101257,1.20821,-3.197724,0.13
1219,3,0202-0220-2020,0220,0202-0220-2020,3,0.71,-3.384472,2.850265,5.14353,1.102283,0.71
1219,3,0202-0220-2020,0202,0202-0220-2020,3,0.08,-8.701835,4.649503,-0.806108,6.506105,0.08
1219,3,0202-0220-2020,2020,0202-0220-2020,3,0.21,2.593644,-2.857916,7.087452,-5.439418,0.21
1220,2,0221-2020,2020,0221-2020,2,0.57,6.542837,-3.238392,9.430103,-4.571528,0.57
1220,2,0221-2020,0221,0221-2020,2,0.43,-3.36482,2.728587,6.415527,1.032174,0.43
1221,4,0202-1210-2020-2110,0202,0202-1210-2020-2110,4,0.69,-6.753159,6.9663,-6.301532,7.127859,0.69
1221,4,0202-1210-2020-2110,2110,0202-1210-2020-2110,4,0.13,4.802641,0.534603,0.202393,-2.374491,0.13
1221,4,0202-1210-2020-2110,1210,0202-1210-2020-2110,4,0.09,-0.992325,6.9663,0.202393,-2.374476,0.09
1221,4,0202-1210-2020-2110,2020,0202-1210-2020-2110,4,0.09,4.802641,-6.011782,6.480448,-2.374491,0.09
1222,2,0202-2020,0202,0202-2020,2,0.09,-4.878925,6.904857,-4.629518,4.647392,0.09
1222,2,0202-2020,2020,0202-2020,2,0.91,6.609339,-2.598918,7.636238,-7.723427,0.91
1223,2,0202-2020,2020,0202-2020,2,0.84,7.113346,-4.200187,5.646097,-7.735981,0.84
1223,2,0202-2020,0202,0202-2020,2,0.16,-5.247392,6.742586,-3.845704,4.43451,0.16
1224,2,0202-2020,0202,0202-2020,2,0.35,-2.280313,5.516378,-4.518582,4.175731,0.35
1224,2,0202-2020,2020,0202-2020,2,0.65,6.016668,-3.502608,7.35084,-5.65911,0.65
1225,2,0202-2020,0202,0202-2020,2,0.05,-5.276869,6.911834,-3.92669,2.780116,0.05
1225,2,0202-2020,2020,0202-2020,2,0.95,6.392253,-4.178142,6.67863,-5.721946,0.95
1226,2,0202-2020,0202,0202-2020,2,0.82,-4.939579,6.190506,-4.654158,6.93899,0.82
1226,2,0202-2020,2020,0202-2020,2,0.18,7.704045,-3.88289,7.230121,-2.478159,0.18
