0.475,1.091	36.135,0.011	0.184,25.855	14.006,25.855
135.883,0.254	0.014,24.649	1.387,24.649	0.014,283.805	1.387,283.805
3.539,0.549	162.986,0.006	3.539,6.297
0.103,1.490	0.005,116.130
153.410,0.261	0.156,129.880
0.087,2.526
3.505,0.432	234.185,0.006	0.630,35.863
2.394,0.025	209.946,0.025	0.025,112.171
0.817,6.015	54.895,0.287	54.895,22.808	0.038,478.131
141.061,0.041	0.172,75.745
450.497,0.012	0.096,39.813
1.678,1.344	115.279,0.015	0.020,107.467
3.488,0.001	117.640,0.001
9.415,0.239	131.268,0.003
150.775,0.161	150.775,0.689	1.509,20.605
3.462,0.006	332.541,0.006	0.042,28.192
50.365,0.026	0.016,1.400	0.016,108.409
6.615,1.831	115.474,0.020	0.072,85.772
12.654,0.729	117.361,0.007	0.160,36.598
8.771,2.917	433.901,0.044	0.974,164.979
121.194,0.011	3.658,55.646
98.574,0.524	0.249,650.299
1.458,0.974	77.336,0.013	0.016,43.267
2.046,7.048	168.403,0.190
2.276,1.232	86.362,0.030	0.032,73.707
0.220,0.465	0.003,25.820
50.630,0.637	0.015,5.772	0.015,337.635
0.807,2.821	54.773,0.037
226.651,0.002	0.101,9.918	3.309,9.918
1.473,0.670	140.905,0.016	0.020,59.921
4.458,2.931	167.542,0.030	0.080,88.532
0.227,1.122	16.444,0.023	0.010,93.284
7.533,0.170	139.515,0.002
0.283,17.971	26.688,0.317	0.004,286.526
55.929,0.503	0.037,352.082
150.842,0.143	0.296,12.563	0.296,161.148
85.965,1.319	0.018,262.819
1.552,0.956	107.102,0.022	0.018,51.997
2.570,0.759	107.862,0.014	0.028,57.015
1.473,1.111	104.851,0.036	0.016,87.218
0.712,2.238	42.921,0.114	0.014,110.655
0.350,6.261	33.655,0.135	0.008,621.478
0.401,0.464	0.044,32.111
0.621,1.019	39.304,0.018	0.052,100.278
23.904,0.504	0.007,370.968
0.320,1.800	28.272,0.061	0.015,128.941
99.506,0.032	0.019,2.241	0.019,121.658
2.479,1.964	79.848,0.024	0.208,131.941
2.102,4.064	195.528,0.656	0.026,255.820
2.570,1.003	26.442,1.003	2.570,26.345	26.442,26.345
0.166,0.286
1.067,0.663	75.556,0.014	0.011,59.800
1.687,2.437	163.662,0.030	0.024,76.699
2.290,2.286	96.713,0.029	0.143,179.388	6.049,179.388
15.083,7.591	261.460,0.122	0.230,492.588
8.262,4.984	653.539,0.059	0.258,440.440
0.116,1.702	0.002,82.417
118.086,0.096	0.527,233.848
0.252,1.885	0.006,97.768
2.496,0.082	111.307,0.001	2.496,4.932
0.019,1.838	0.001,153.790
3.710,0.225	79.340,0.007
1.912,1.438	0.019,37.741
2.296,0.219	75.524,0.003
1.010,1.187	78.064,0.090	78.064,6.935	0.062,91.320	4.756,91.320
19.321,0.052	232.686,0.052	0.330,165.022
24.017,0.024	162.800,0.024	0.288,24.836
1.464,5.394	32.824,0.089	0.018,296.627
9.892,0.616	719.630,0.007	0.115,42.732
1.131,3.207	112.847,0.044	0.017,159.274
1.049,0.105	75.763,0.016	1.049,7.658
4.776,4.486	112.325,0.134	0.490,372.760
1.346,0.760	40.263,0.128	0.014,22.788
3.299,0.001	222.301,0.001
0.639,2.887	0.015,257.855
0.781,1.711	16.438,1.711	0.008,91.880
0.180,6.284	0.008,72.340
5.203,0.967	258.303,0.033	0.781,52.859
2.932,1.852	157.234,0.245	0.167,157.269
4.017,3.436	156.522,0.043	0.094,126.315
217.468,0.012	0.136,73.343
168.214,1.296	0.819,131.857
21.681,1.034	0.006,209.420
5.490,11.073	406.309,1.787	0.074,729.803
0.363,0.320
145.991,0.082	0.085,2.991	0.085,70.291
35.031,3.062	0.045,9.405	0.045,229.434
0.004,73.503
20.450,0.018	857.255,0.018	0.286,109.187
2.656,12.288	133.859,0.623	0.059,441.173
0.130,1.614	0.007,84.368
1.287,1.320	30.708,0.242	0.024,120.573
0.336,0.070	30.326,0.002
2.141,0.585	0.873,55.238
5.597,0.187	24.441,0.187
144.319,0.063	0.027,190.895
0.824,3.455	66.813,0.063	0.015,324.703
0.433,0.079	30.502,0.001	0.433,4.276
0.130,2.898	9.733,0.046	0.001,88.498
0.667,1.680	66.240,0.022	0.013,116.516
98.988,0.241	0.073,11.984	0.073,360.551
0.018,0.220
2.729,1.703	114.365,0.025	0.051,126.022
2.377,0.231	102.059,0.006
0.119,1.546	0.006,97.991
0.963,0.531	39.390,0.019	0.963,18.497
0.002,3.880	0.002,69.539
5.397,17.704	182.397,0.282	0.079,190.571
2.765,0.439	126.344,0.006	0.063,35.612
3.927,2.239	94.011,0.108	0.145,96.060
0.970,1.806	20.355,1.806	0.010,111.790
2.190,0.741	128.399,0.013
1.763,2.611	128.163,0.040	0.043,104.914
308.268,0.021	5.061,88.001
107.081,0.451	0.048,127.800
18.864,0.234	570.182,0.234	0.432,81.097
0.542,2.673	0.008,78.251
0.591,1.355	51.559,0.022	0.006,41.285
0.997,5.167	42.297,0.072	0.011,71.849
1.658,1.007	161.257,0.013	0.142,100.392
93.728,0.138
1.787,5.359	148.966,0.068	0.076,125.453
1.096,0.328	60.468,0.012	0.018,14.599
2.279,6.000	30.909,6.000	0.040,464.364
106.914,0.096	0.073,7.223	0.073,103.159
0.816,4.824	76.864,0.073	0.011,380.838
0.208,1.109	0.017,108.879
3.219,1.423	42.573,0.056	0.120,43.306
83.553,0.040	0.118,47.620
39.020,0.071	0.020,6.478	0.020,43.851
5.851,0.405	75.395,0.007
0.899,9.936	31.712,0.125	0.009,74.058
0.309,0.998	23.903,0.167	0.006,99.566
1.411,0.756	105.453,0.029	0.016,69.553
1.096,0.719	98.366,0.008	0.011,62.901
7.353,7.812	80.140,0.278	0.115,315.854
81.227,0.511	81.227,3.257	0.017,171.507
2.985,0.176	137.594,0.003
3.987,0.182	123.628,0.002	0.089,16.099
1.340,1.180	61.209,0.054	0.030,28.264
8.639,2.788	215.909,0.179	0.217,182.906
2.292,7.792	115.030,0.220	2.292,31.128
9.431,0.372	152.006,0.027	9.431,30.747
0.893,5.591	83.545,0.065	0.021,87.879
1.445,1.613	94.770,0.022	0.076,99.299
0.277,4.674	0.004,123.413
1.044,11.551	80.682,0.171	0.023,376.945
1.192,3.906	88.758,0.073	0.016,131.040
438.130,0.016	0.787,35.786
9.147,4.226	230.901,0.049	0.122,85.242
1.887,1.821	106.385,0.029	0.063,80.472
0.170,0.832	0.003,58.681
170.951,2.181	0.316,329.821
3.206,1.619	259.854,0.160	259.854,4.936	0.052,49.778	4.185,49.778
7.520,1.400	193.516,0.058	0.093,124.029
2.250,7.714	154.275,0.166	0.029,414.121
1.787,0.124	97.566,0.002
0.625,1.229	60.281,0.016	0.024,84.029
122.266,0.222	1.008,17.020	1.008,484.406
6.042,0.377	222.161,0.004	6.042,10.181
1.181,1.332	57.348,0.050	0.021,113.371
158.779,1.070	0.034,134.602
422.869,0.008	0.647,31.174
17.563,0.119	319.913,0.119	0.242,169.062
1.461,0.443	132.388,0.012	0.104,33.563
1.852,0.855	152.887,0.054	0.023,58.989
1.842,1.713	124.957,0.026	0.029,84.585
0.740,5.274	55.146,0.097	0.013,102.069
255.688,0.092	0.530,8.212	0.530,228.223
1.050,4.267	0.013,82.794
1.425,17.055	140.733,0.319	0.023,56.442
1.475,3.793	79.655,0.062
6.598,2.063	262.709,0.062	0.069,42.648
11.577,1.209	429.240,0.053	0.355,105.246
1.246,7.320	38.011,1.344	38.011,17.312	0.048,94.311
8.294,6.681	148.689,0.154	0.104,316.553
1.293,13.905	33.595,13.905	0.013,134.999
0.932,1.015	63.790,0.013	0.017,50.861
9.436,2.851	118.774,0.044	0.123,78.492
1.667,1.201	29.767,0.014	0.020,118.633
5.498,2.824	272.744,0.090	0.704,88.615
0.973,2.244	0.012,74.809
1.417,1.587	106.531,0.119
12.605,0.355	159.226,0.005
0.777,0.528	73.950,0.008	0.011,37.951
0.479,0.343	39.939,0.053
3.405,0.982	77.993,0.101	0.097,49.145
0.088,111.491
17.289,1.791
0.004,11.849	0.004,478.612
3.195,0.099	183.022,0.099	0.071,88.249
1.226,0.149	62.891,0.004
3.969,1.022	107.142,0.017	1.883,97.035
1.139,1.449	84.294,0.022	0.012,60.156
328.589,0.030	0.170,136.806	6.692,136.806
1.476,1.714	115.351,0.071	0.021,54.354
5.066,5.249	243.714,0.158	0.087,137.133
0.018,120.645
6.276,4.795	554.031,0.249	0.070,56.289
6.766,0.288	127.302,0.004
197.573,0.024	0.245,69.139
4.156,2.989	61.432,0.047	0.070,122.549
1.064,2.366	0.012,63.385
0.903,3.139	61.337,0.040	0.396,91.046	26.866,91.046
4.935,0.308	413.936,0.004
0.281,3.655	0.006,144.376
86.344,0.477	0.019,26.993
23.725,1.335	355.988,0.051	0.257,91.828
0.003,262.726
1.684,2.875	114.466,0.046	0.026,192.043
0.084,6.603	0.001,362.702
0.190,1.576	0.003,47.607
11.641,0.036	149.736,0.036	0.166,6.408
1.876,2.145	67.160,0.033	0.064,62.276
3.298,2.397	265.927,0.024	0.035,229.446
1.025,1.476	81.126,0.034	0.108,76.893
65.400,1.393	65.400,21.086	0.015,216.493
2.756,0.176	144.854,0.003
7.393,0.041	173.990,0.041	0.192,238.438
0.830,1.034	55.507,0.012	0.087,62.520
31.126,0.020	102.222,0.020	0.404,130.959
195.397,0.008	0.034,22.589	2.013,22.589
1.938,0.123	121.537,0.003
1.151,5.234	70.857,1.117	0.051,320.749
236.534,0.266	236.534,5.569	0.074,510.948	4.371,510.948
0.324,3.889	0.005,135.809
0.184,4.733	0.004,184.064
0.241,2.574	0.015,48.111
54.543,0.015	54.543,1.027	0.022,63.632
8.807,0.138	42.307,0.138	0.195,84.827
352.994,0.310	352.994,25.818	0.525,551.463	12.968,551.463
127.962,0.109	0.045,9.211	0.045,258.742
5.488,2.133	389.741,0.022	0.155,114.715
6.498,0.516	0.069,41.110
0.239,2.122	0.007,73.854
8.011,0.108	156.909,0.108	0.175,345.106
2.424,0.238	203.726,0.003	2.424,22.670
144.913,0.039	0.085,250.497
