230.050,0.062	0.521,35.624
0.276,8.587	0.007,122.483
0.366,2.119	35.023,0.841	0.005,140.767
344.395,3.856	344.395,18.384	0.083,792.271	5.911,792.271
0.801,0.748	79.994,0.326	0.028,71.640
0.191,7.214	15.652,0.213	0.002,135.661
1.759,0.360	40.635,0.004
0.708,5.917	41.066,0.076	0.009,449.698
0.199,190.691	2.166,190.691
1.554,2.977	86.286,0.135	0.023,171.471
1.207,0.688	118.271,0.038
0.106,2.905	6.011,2.905	0.003,112.628
507.397,0.072	1.592,105.245
2.030,2.013	199.036,0.101	0.070,97.489
11.873,4.734	50.793,0.277	1.195,254.964
1.778,0.780	116.115,0.186	116.115,10.873	0.122,45.496
0.542,1.137	53.486,0.025	0.009,90.326
2.020,4.109	182.537,0.973	0.035,404.696
1.263,0.138	111.457,0.018
4.152,0.892	129.326,0.012	0.063,84.504
1.588,1.222	48.970,0.014	0.018,50.726
4.097,4.027	218.278,0.292	0.047,93.354
1.982,0.750	55.014,0.018	0.024,46.641
15.195,0.012	298.529,0.012
1.236,2.611	101.661,0.091	0.014,202.684
0.002,238.564
0.793,0.330	31.472,0.004	0.009,24.303
0.632,3.119	54.982,0.132	0.040,95.427
0.163,113.506
0.367,3.766	0.006,31.797
1.646,3.258	116.141,0.227	0.022,229.830
6.680,2.330	220.826,0.191	0.376,133.914
4.423,3.012	48.985,0.102	0.087,103.816
2.179,1.968	36.635,0.028	0.339,172.742
1.763,177.119
118.624,0.060	0.024,4.340	0.024,219.099
32.102,0.053	0.016,56.499
77.854,0.020	0.040,0.974	0.040,78.269
6.066,1.557	454.610,1.557	0.212,111.341
1.617,1.988	48.459,0.049	0.044,27.815
0.208,2.019	0.007,42.850
91.837,0.017
9.907,0.675	860.913,0.675	9.907,6.041	860.913,6.041	0.161,466.137
44.257,0.095	0.028,238.649
13.842,4.814	45.121,0.457	0.254,304.796
0.182,0.774	15.831,0.774	0.002,51.248
0.520,3.481	51.862,0.049	0.068,73.015
6.433,0.465	79.071,0.019	6.433,16.631
4.114,1.119	217.260,0.048	0.252,108.847
3.452,3.810	185.566,0.046	0.041,77.276
438.029,0.016	438.029,1.276	1.175,77.342
5.761,0.348	266.830,0.348	0.068,11.472	0.068,320.606
365.253,0.146	0.291,6.791	0.291,81.331
126.005,0.171	0.023,55.491
3.455,23.563	203.848,0.759	0.079,167.847
0.852,3.941	84.846,0.042	0.041,159.861
5.039,10.588	71.145,0.155	0.076,139.549
115.854,0.026	0.228,102.733
0.124,2.479	0.003,54.691
0.618,3.281	0.013,112.522
0.816,1.660	75.565,0.053	0.014,107.631
0.059,3.191	2.641,3.191	0.001,109.587
39.113,0.032	0.013,2.192	0.013,181.026
1.054,0.786	96.171,0.013	0.098,48.845	8.927,48.845
4.864,0.731	131.612,0.008	0.054,52.885
0.719,0.494	28.787,0.494	0.008,29.899
2.876,15.836	127.790,0.354	0.062,206.822
1.605,1.408	0.022,134.356
92.156,0.069	92.156,5.789	0.087,266.108
1.038,5.089	97.310,0.530	0.018,403.192
5.015,7.012	203.038,0.161	0.058,350.577
3.756,0.455	90.724,0.006	0.084,32.940
0.814,3.195	46.878,0.043	0.026,43.078
79.731,1.241	0.015,113.510
1.382,2.754	84.225,0.032	0.022,140.576
98.625,0.003	0.101,16.628	2.387,16.628
0.039,24.419	0.039,106.243
1.552,0.571	90.783,0.027	0.041,40.504
3.526,1.819	147.560,0.023	0.224,96.993
2.587,3.056	112.194,0.794	0.048,141.831
0.071,3.601	0.002,201.991
1.626,2.576	89.329,0.027	0.041,118.475
1.229,2.937	57.982,0.039	0.013,214.680
26.410,0.037	248.589,0.037	1.805,235.791
84.876,3.705	0.019,236.062
240.029,0.212	0.265,3.873	0.265,57.048
241.857,0.046	3.844,232.540
1.747,0.438	127.381,0.005	0.025,33.378
79.909,0.377	79.909,18.496
1.065,0.363	103.432,0.004
4.632,5.117	106.793,0.085	0.048,191.279
0.936,2.122	35.085,0.034	0.011,89.497
4.304,5.384	158.697,0.071	0.046,169.614
1.747,20.814	72.467,0.299	0.044,79.761
1.924,0.373	191.116,0.042
0.613,0.127	23.666,0.127	0.016,11.474
1.323,4.991	51.115,0.128	0.016,177.561
0.800,0.530	76.266,0.009	0.011,50.340
2.684,2.427	129.842,0.033	0.073,236.434
1.270,2.553	108.759,0.028	0.049,98.660
288.901,0.017	0.530,59.186
0.735,2.182	66.667,0.238	66.667,15.571	0.008,142.583
690.832,0.004
7.070,2.586	141.778,0.074	0.089,92.023
149.355,0.306	0.036,24.195	0.036,526.197
453.627,0.215	1.255,88.637	4.649,88.637
3.387,1.355	77.459,0.029	0.141,125.813
213.667,0.102	0.282,347.911
3.966,0.013	9.699,0.013	1.136,45.182
2.436,1.872	124.193,0.021	0.033,65.810
760.209,0.007	0.127,36.530	9.849,36.530
1.896,7.629	93.647,0.147	0.063,482.377
503.563,0.184	0.187,494.274	14.725,494.274
6.515,1.260	427.306,0.032	1.496,76.711
1.815,3.138	107.399,0.064	0.067,178.046
2.253,0.408	220.884,0.007	2.253,32.331
0.635,0.979	52.977,0.012	0.064,88.440
73.522,0.049	73.522,3.134	0.013,131.106
0.345,0.448	0.005,43.976
185.258,0.005
1.417,1.366	20.948,0.019
6.580,4.091	133.485,0.113	0.088,252.964
0.411,1.675	0.006,163.123
364.020,0.009	0.785,37.420
102.561,0.066	102.561,1.678	0.266,123.145
4.647,1.032	47.572,0.012	0.066,41.176
192.957,0.055	0.277,48.660
6.596,0.552	132.727,0.125	6.596,32.930
0.458,0.713	36.126,0.014
6.879,0.001	344.882,0.001
2.280,4.696	110.317,2.679	0.024,384.522
1.144,0.600	85.825,0.007	0.052,41.241
2.079,0.479	0.044,29.900
18.796,0.125	0.181,114.435
693.906,0.002	0.158,3.994	12.780,3.994
40.822,0.544	0.022,430.881
418.352,1.909	0.152,115.222
594.833,0.104	0.819,123.418	15.619,123.418
5.182,18.331	160.038,0.277	0.138,50.319
0.004,63.130
1.419,2.035	90.996,0.021	0.033,52.920
3.973,0.555	93.680,0.006	0.046,39.174
4.776,0.221	44.336,0.003
289.714,0.090	289.714,8.649	0.048,268.276
0.167,2.480	0.002,43.945
0.001,723.553
153.320,0.013
3.293,3.063	118.006,0.053	0.393,197.403
1.224,0.099	73.143,0.003
2.823,1.118	196.855,0.016	0.090,89.108
0.188,1.627	0.002,98.607
1.533,1.628	137.588,0.019	0.018,49.110
59.913,0.256	0.008,309.215
4.950,0.029	156.620,0.001	4.950,1.798
182.867,0.318	0.232,115.161
0.278,2.964	21.040,0.057	0.003,147.327
156.772,0.624	0.089,503.800
553.778,1.040	553.778,2.034	0.090,40.567
0.972,259.199	39.852,39.723
1.150,1.306	24.257,1.306	0.080,71.469
0.790,0.462	67.312,0.007	0.010,30.538
6.159,0.353	454.696,0.009	0.326,17.160	24.047,17.160
122.008,1.638	0.314,209.987
0.253,2.125	24.874,0.081	0.005,157.308
1.897,1.941	71.034,0.047	0.019,86.381
114.067,0.089	4.532,280.182
0.012,21.935
653.586,0.044	0.857,45.053	16.720,45.053
60.767,0.500	0.026,79.256
0.414,4.190	38.121,0.471	38.121,23.941	0.011,212.859
18.277,0.188	0.003,3.911	0.003,103.506
8.399,0.269	241.661,0.003	8.399,22.702
0.734,2.375	53.973,0.063	0.013,160.053
134.688,0.014	0.032,82.496
1.325,1.233	74.013,0.381	0.015,113.190
92.077,0.005
96.892,0.072	0.014,5.525	0.014,133.825
122.995,0.547	0.094,195.311
2.504,0.555	150.283,0.007	2.504,16.349
6.322,1.927	265.730,0.317	0.219,108.170
13.796,0.242	554.298,0.242	0.287,95.547
93.811,0.109	0.059,6.904	0.059,368.807
119.811,0.048	0.455,248.477
0.436,3.925	31.445,0.050	0.007,63.578
0.012,16.389	0.012,447.961
0.045,0.371	0.045,17.182
3.514,4.035	200.143,0.051	0.086,152.526
242.363,0.246	3.208,186.000
199.148,0.303	199.148,11.285	0.059,85.397
2.394,0.469	220.690,0.469	0.037,92.372
0.676,2.780	30.040,0.044	0.027,158.088
0.616,0.263	60.128,0.015
1.107,0.965	28.338,0.018	0.037,48.313
1.615,4.313	146.092,0.061	0.424,406.414
6.912,1.150	68.380,0.012
2.394,1.834	36.686,0.019	0.042,37.644
2.714,1.410	112.200,0.027	0.033,76.581
0.841,4.722	42.807,0.076	0.013,323.719
1.635,0.439	48.770,0.020	0.032,22.078
0.250,1.706	0.005,118.884
1.982,5.402	103.906,0.094	0.556,84.987
50.973,0.198	0.017,3.156	0.017,100.732
197.666,0.007	0.215,52.002
1.561,15.217	120.912,0.279	0.020,221.126
11.829,0.088	232.827,0.088	0.119,29.912
13.167,0.036	249.201,0.036	0.226,63.003
1.620,3.307	50.486,0.347	0.709,165.106	22.088,165.106
4.196,0.121	65.511,0.121	0.256,55.784
1.909,1.137	78.591,0.016	0.160,99.299
0.466,0.739	35.137,0.739	0.026,63.388
128.502,0.013	2.734,84.507
82.007,0.015	0.077,36.743
4.033,0.436	84.733,0.011	0.963,25.168
6.112,2.365	411.820,0.067	0.124,194.758
4.623,1.962	314.568,0.035	0.056,71.221
1.569,4.541	115.839,0.512	0.031,106.717
4.735,1.759	171.208,0.019	0.051,38.046
511.017,0.007
6.297,2.198	401.090,0.054	0.152,132.819
1.464,5.728	139.230,0.103	0.016,136.707
44.715,0.025	0.006,1.924	0.006,164.484
0.411,1.289	38.776,0.016	0.033,111.982
1.245,0.707	81.749,0.028	0.120,19.401
1.404,3.232	81.772,0.091	0.026,118.597
4.952,0.552	267.061,0.006	0.809,50.408
105.297,0.011	2.635,80.361
485.127,0.005	4.940,40.866
1.510,0.124	143.152,0.002
0.820,1.429	0.017,123.943
1.606,0.051	118.148,0.051	0.034,218.846
2.847,2.302	133.072,0.099	0.061,38.488
2.194,0.367	90.552,0.004	0.022,28.747
2.682,0.359	187.284,0.010	2.682,23.938
5.626,4.001	298.264,0.827	0.099,36.019
0.450,121.604
4.152,1.608	74.611,0.026	0.079,90.851
36.804,0.051	0.197,32.866	2.458,32.866
3.560,5.907	256.640,0.067	0.048,83.147
0.970,2.128	78.209,0.343	0.010,184.308
1.622,0.808	43.664,0.014	0.026,33.980
0.712,7.321	0.019,202.797
1.165,296.120
1.105,0.697	105.845,0.009	0.074,54.209
1.369,2.991	131.048,0.051	0.014,58.824
101.211,0.147	0.021,13.147	0.021,559.457
158.633,0.522	0.034,363.100
100.132,0.641	0.048,138.454
3.635,0.255	74.629,0.003
0.047,1.269	0.001,103.753
1.662,0.426	56.922,0.013	0.125,35.349
2.265,2.159	105.510,1.219	0.024,204.095
1.591,1.270	123.109,0.090	0.027,109.310
1.139,1.609	103.347,0.019	0.012,136.837
42.908,0.185	0.014,2.901	0.014,206.396
0.675,5.415	50.145,0.116	0.010,148.338
2.472,0.193	144.761,0.029	0.057,16.723
87.721,0.237	0.149,142.523
11.737,5.130	271.485,0.118	0.220,98.037
585.840,0.030	585.840,1.615	0.825,76.069
150.102,0.096	0.033,9.519	0.033,275.739
