1.242,0.728	75.506,0.011	0.016,66.187
1.270,1.233	86.971,0.041	0.020,117.351
1.843,8.533	181.555,0.252	0.069,99.294
3.305,0.026	67.351,0.026	0.053,93.630
3.049,2.863	60.580,0.074	0.032,76.328
6.126,0.717	121.812,0.009	0.093,24.058
8.324,1.322	438.141,0.035	0.440,123.106	23.137,123.106
0.571,4.447	51.112,0.080	51.112,6.455	0.010,360.438
331.487,1.119	0.116,125.180
3.466,2.500	196.182,0.156	196.182,14.426	0.059,231.136
161.943,0.291	0.603,347.618	13.914,347.618
0.078,2.665	0.002,154.741
177.225,0.438	0.205,5.769	0.205,83.022
98.585,1.416	0.021,83.699
2.874,0.117	234.797,0.002
0.633,0.349	60.602,0.005	0.008,27.895
49.472,0.869	0.012,97.559
0.629,1.375	36.059,0.226	0.007,47.804
0.063,3.233	0.001,164.115
53.765,0.205	0.055,372.526
38.281,0.177	0.212,119.540
0.799,0.386	45.523,0.019	0.056,30.914
176.305,0.018	176.305,1.614	1.452,157.830
3.396,0.059	188.922,0.001
6.493,2.714	47.464,0.141	47.464,13.094	0.098,252.078
191.124,0.093	0.210,82.258	12.331,82.258
18.752,7.163	164.460,0.099	0.330,254.877
12.049,0.893	26.927,0.893	0.196,69.055
6.168,0.742	352.375,0.008	6.168,8.385
0.728,1.164	61.175,0.018	0.013,111.889
0.964,2.252	23.992,2.252	0.013,188.090
1.282,1.675	103.970,0.031	0.016,96.720
2.197,0.100	82.331,0.100	0.082,128.307
7.876,0.141	409.254,0.141	0.176,6.786	0.176,421.975
1.997,1.375	80.457,0.132	0.040,81.337
234.989,0.008	0.068,74.431	3.181,74.431
2.530,0.803	102.354,0.027	0.145,58.143
2.089,1.466	59.297,0.017	0.024,100.857
0.470,1.404	35.514,0.023	0.010,134.920
1.793,0.953	143.200,0.047	0.021,51.878
1.208,7.317	57.662,0.432	0.090,500.607
111.480,0.043	0.049,210.284	2.079,210.284
114.571,0.134	2.395,194.556
3.439,0.952	149.697,0.015	0.157,79.427
22.443,2.133	56.917,0.038	0.396,74.550
0.680,1.510	44.451,0.047	0.013,97.430
82.054,0.265	0.158,47.460
0.739,2.815	72.843,0.065	0.030,201.410
2.251,2.254	24.426,0.034	0.080,200.767
1.686,1.052	112.890,0.031	0.019,103.585
87.396,0.071	0.026,122.009
0.657,0.641	37.518,0.010	0.007,52.961
10.665,0.056	107.125,0.056	0.485,4.742	0.485,154.098
118.394,0.236	0.842,133.118
3.514,4.306	220.169,0.177	0.079,356.133
91.782,0.286	0.025,189.241
2.115,1.886	66.686,0.956	0.025,138.814
120.995,0.176	0.013,114.956
4.367,0.212	227.001,0.020	0.169,21.030
0.025,1.083	0.001,98.517
2.595,5.273	243.967,0.307	243.967,27.503	0.035,473.096
1.453,0.181	45.117,0.005
0.967,1.241	55.280,0.038	55.280,2.707	0.013,88.376
5.995,0.350	457.118,0.028	457.118,1.614	1.255,20.465
82.990,0.253	0.039,388.708
120.248,0.064	0.148,4.782	0.148,276.499
3.928,1.427	60.118,0.037	0.061,134.526
1.683,0.756	88.740,0.008
1.148,4.328	29.892,0.065	0.024,88.410
0.087,4.567	0.004,129.841
0.581,0.055	55.529,0.006
4.017,4.102	312.457,0.046	0.047,176.555
0.373,9.818	27.795,0.142	0.004,228.816
3.403,10.202	122.995,0.283	0.052,713.090
2.717,0.943	231.306,0.943	0.070,181.519
0.865,5.979	79.223,1.088	0.016,99.126
0.772,1.016	0.772,29.809
0.792,8.117	26.795,8.117	0.012,353.549
0.791,2.145	0.036,102.430
6.831,0.296	281.735,0.007	6.831,13.869
3.150,0.814	221.011,0.031	0.048,28.160
1.605,0.527	65.091,0.008	0.030,30.258
80.938,0.011
59.717,0.522	0.035,70.460
0.915,1.781	61.134,0.020	0.032,168.617
0.046,1.522	0.001,147.061
9.463,1.159	146.828,0.013	2.327,104.615
0.028,130.939	2.839,130.939
5.435,0.798	275.962,0.015	0.059,55.295
0.053,2.048	0.001,170.448
0.957,5.008	88.167,0.303	0.019,138.391
2.227,5.893	160.085,0.062	0.038,95.389
11.282,1.161	74.871,0.022	0.607,87.928
1.169,3.304	50.487,0.756	0.589,137.994
49.299,0.201	0.019,1.751	0.019,116.974
4.559,0.739	238.219,0.008	0.746,34.275
3.217,0.152	230.490,0.152	0.196,137.780
0.851,0.792	28.260,0.792	0.009,66.784
0.004,190.937
0.304,0.295	20.546,0.005	0.022,21.228
1.860,0.604	142.107,0.020	0.041,51.638
499.215,0.633	499.215,30.436	0.150,288.416
11.264,0.664	98.484,0.007	0.477,61.189
0.329,0.764	31.505,0.029	0.030,59.741
