ParIndex,GRHL2,ZEB,miR200,SLUG,Count
162,10.051,939.286,0.188,57.697,2
162,548.556,0.006,44.88,1.58,1
163,408.983,0.002,19.073,0.63,1
163,408.983,0.002,19.073,24.08,1
164,1.47,31.221,0.037,68.034,1
164,65.324,0,89.101,0.99,1
164,65.324,0.001,1.91,68.034,2
165,2.592,0.843,0.248,116.826,1
165,2.592,0.843,16.645,7.982,1
166,0.826,0.367,59.653,8.881,1
166,0.826,1662.103,0.026,376.281,1
166,7.9,0.004,59.711,8.881,1
167,0.507,720.323,0.977,263.22,1
167,40.196,0,77.533,3.238,1
168,98.363,0.002,4.197,212.787,1
169,112.172,0,11.982,0.15,1
170,9.657,215.303,1.407,20.048,1
170,232.311,0.001,83.868,0.317,2
171,1.713,67.86,0.04,3.422,1
171,1.713,2671.099,0.001,327.946,1
171,138.7,0.008,3.81,3.422,1
172,121.812,0,258.872,0.396,2
173,0.068,3073.691,0.071,221.034,1
173,6.624,0,109.495,6.86,2
174,0.561,1644.958,0.014,80.703,1
174,45.01,0,82.502,0.89,1
174,45.01,0.004,1.254,80.703,1
174,45.01,0.355,0.021,80.703,1
175,0.926,161.648,1.18,385.667,1
175,80.721,0.017,2.758,385.667,1
176,43.965,0,465.388,0.709,1
176,43.965,0.001,217.803,49.656,2
177,83.104,0.005,1.269,12.64,1
177,83.104,0.388,1.269,292.933,1
178,3.893,799.916,0.014,152.654,1
178,321.595,0,24.423,14.419,1
179,465.388,0,259.296,1.416,1
179,465.388,0.003,3.72,47.837,2
180,0.996,1790.449,0.014,111.673,1
180,73.122,0,98.603,2.417,1
181,13.033,155.917,0.029,433.714,1
181,273.909,0.003,174.371,4.915,2
182,1.452,2373.668,0.062,54.16,1
182,34.774,0,165.93,3.338,2
183,2.135,785.765,0.181,53.919,1
183,2.471,0.263,17.755,53.919,1
183,117.19,0,184.661,0.784,1
183,117.19,0.004,17.755,53.919,1
184,1.967,3975.499,0.047,235.691,2
184,25.823,0,155.742,11.298,1
184,25.823,0.014,4.198,235.691,1
185,3.582,366.841,0.042,247.593,1
185,147.286,0.001,1.568,247.593,1
185,147.286,0.001,116.455,2.893,2
186,0.969,43.719,0.574,6.873,1
186,0.969,3158.981,0.008,55.838,1
186,36.808,0,13.391,6.873,2
187,2.532,118.26,1.186,6.052,1
187,2.532,3768.988,0.036,484.475,1
188,8.463,501.454,0.111,208.57,1
188,354.982,0.07,0.668,208.57,1
189,84.159,0.001,72.298,0.459,1
189,84.159,0.001,72.298,18.706,1
190,0.993,1331.177,0.359,71.298,2
190,44.555,0,211.133,4.977,1
191,12.472,685.835,0.037,189.495,3
192,0.334,143.454,0.273,68.53,1
192,28.971,0,43.024,0.732,1
192,28.971,0.034,2.89,68.53,1
193,199.221,0,42.002,109.115,1
194,0.547,172.802,0.007,135.943,2
194,43.735,0,14.368,4.024,1
195,1.038,307.007,0.064,86.463,1
195,52.458,0,184.125,1.062,1
195,52.458,0.004,4.047,86.463,1
196,1.668,1015.646,0.092,72.3,2
196,32.806,0.002,205.379,2.318,1
196,32.806,0.101,5.846,72.3,1
197,2.851,341.366,0.028,245.362,1
197,144.366,0.001,2.355,245.362,2
198,3.207,19.228,1.799,0.762,1
198,3.207,1554.888,0.035,46.239,1
198,105.645,0,23.085,0.762,1
199,155.994,0,24.335,1.269,1
199,155.994,0.618,0.279,54.024,1
200,0.854,0.188,0.782,270,1
200,0.854,522.1,0.022,270,1
200,54.446,0,60.11,4.367,2
201,0.349,23.616,3.32,141.397,1
201,25.507,0.004,227.534,2.164,1
202,20.516,26.08,0.849,1.595,1
202,20.516,2490.166,0.011,65.544,1
202,601.092,0.001,74.299,1.595,1
203,10.144,644.448,2.914,76.682,1
203,157.909,0.017,268.6,1.296,1
203,157.909,0.052,4.111,76.682,1
204,3.315,1295.251,0.016,608.094,1
204,3.315,1295.251,1.314,20.677,1
204,159.513,0.004,29.552,20.677,1
204,159.513,0.184,0.368,608.094,1
205,3.799,195.34,0.004,309.22,1
205,42.744,0,15.415,4.802,2
206,0.883,735.951,0.005,49.154,1
206,42.977,0,17.148,1.325,1
206,42.977,0.141,0.185,49.154,1
207,54.843,0,108.299,1.677,1
208,101.174,0,22.527,1.126,1
208,101.174,0.147,0.459,93.004,1
209,2.015,3891.942,0.671,132.838,1
209,181.867,0.004,482.624,4.046,1
209,181.867,0.024,27.494,132.838,1
210,9.539,121.47,0.011,15.444,1
210,9.539,469.474,0.011,70.95,1
211,6.925,0.697,3.02,1.907,1
211,6.925,2642.625,0.035,127.763,1
212,99.022,0,19.309,9.935,1
212,99.022,0.011,0.45,137.786,1
213,54.117,55.772,0.004,95.304,1
213,329.861,0.006,31.588,1.092,1
214,2.48,52.655,0.053,50.587,1
214,217.461,0,112.267,0.701,1
214,217.461,0.007,3.802,50.587,1
215,0.832,190.618,0.028,575.114,1
216,3.611,1692.714,0.026,185.176,1
216,152.824,0.036,184.834,8.861,2
217,472.146,0.002,36.655,1.264,2
217,472.146,0.362,0.024,98.643,1
218,11.496,3.082,8.485,0.743,1
219,299.849,0,45.445,1.978,1
219,299.849,0.033,0.508,82.837,1
220,2.025,444.607,0.005,97.484,1
220,156.585,0,31.321,1.101,2
221,1.221,31.425,0.36,4.871,1
221,1.221,611.936,0.005,83.469,1
221,101.596,0,26.53,4.871,1
222,1.845,2779.894,0.396,52.201,1
222,171.174,0.001,153.949,3.203,1
222,171.174,0.012,26.665,52.201,1
223,0.283,3269.605,0.053,294.116,2
223,0.283,3269.605,0.054,294.116,1
224,1.048,119.149,0.185,3.597,1
224,1.048,163.387,0.185,62.835,1
225,129.787,0.001,121.822,0.149,1
226,100.987,0,45.849,0.325,3
227,0.85,6152.35,0.062,115.377,1
227,73.663,0.045,6.088,115.377,1
228,3.618,64.211,0.087,185.846,1
228,153.123,0,3.021,185.846,1
228,153.123,0,90.987,3.975,1
229,0.335,6.335,2.963,0.042,1
229,21.728,0.027,109.17,0.042,1
230,2.192,1339.17,0.024,68.489,1
230,135.664,0,96.584,1.27,1
231,0.799,422.9,0.006,75.004,1
231,73.887,0,7.538,0.991,2
231,73.887,0.365,0.006,75.004,1
232,0.18,397.377,0.071,190.196,3
233,101.856,0,13.9,4.375,2
234,1.058,516.657,0.082,83.399,1
234,63.045,0.001,67.198,0.875,2
235,0.573,822.057,0.129,97.407,1
235,0.58,0.354,5.024,97.407,1
235,52.244,0,232.465,1.197,2
236,0.417,854.07,0.126,110.301,2
236,28.89,0,5.598,4.033,1
236,28.89,0.005,5.598,110.301,1
237,16.706,0,60.752,32.163,1
237,16.706,0,63.182,2.289,1
238,1.782,1131.249,0.28,534.852,1
238,130.769,0,165.252,7.361,2
239,180.269,0,130.327,1.282,1
239,180.269,0.009,38.8,56.982,1
240,134.309,0,114.896,0.261,1
241,0.246,719.92,0.012,240.806,1
241,15.358,0,80.685,7.265,1
241,15.358,0.115,0.991,240.806,1
242,0.387,757.047,0.001,154.139,1
242,18.382,0.001,2.234,2.135,2
243,2.177,999.572,0.013,328.73,1
245,130.311,0.002,146.588,0.258,1
246,2.943,152.762,0.003,240.686,1
246,147.631,0,24.329,3.232,2
247,157.301,0,175.138,0.785,1
248,3.453,655.309,0.003,165.803,1
248,71.587,0,2.733,2.179,2
249,405.566,0,83.17,2.543,1
250,0.327,395.32,0.05,109.67,2
250,25.221,0.008,3.042,109.67,1
252,6.303,0.001,98.541,0.929,1
252,6.303,0.061,98.541,24.936,1
253,65.755,0,228.232,0.849,1
255,325.338,0.024,8.914,50.222,1
255,325.339,0,258.413,0.713,1
256,31.266,0,284.799,0.056,1
257,6.266,776.33,0.014,83.103,2
257,255.191,0,81.309,1.732,1
258,2.49,507.927,1.477,1.695,1
258,2.49,507.928,0.022,133.052,1
258,93.003,0.01,9.344,1.695,1
259,5.063,926.384,0.003,230.3,1
259,334.896,0,9.377,15.149,2
260,7.155,1188.78,0.01,103.956,2
260,77.885,0,35.041,2.42,2
261,0.13,726.209,0.113,230.247,1
261,5.247,0.245,0.633,6.163,1
262,5.92,1215.177,0.029,82.908,2
262,156.366,0.004,79.318,2.323,1
263,202.792,0,182.697,20.918,1
263,202.792,0,182.707,0.472,1
264,87.318,0.002,212.645,0.304,1
265,0.103,997.187,0.011,455.245,1
265,0.103,997.187,0.011,455.246,1
266,0.174,480.449,0,56.789,1
266,7.103,0.001,4.135,1.445,1
267,3.74,122.316,0.423,0.132,1
267,193.806,0.541,37.129,0.132,1
268,0.518,208.043,0.02,111.752,1
268,31.468,0.006,80.22,1.453,1
268,31.468,0.038,1.602,111.752,1
269,0.577,76.287,1.128,9.854,1
269,0.577,5779.802,0.019,86.898,1
269,56.164,0.001,4.642,9.854,1
270,1.483,77.903,0.784,0.58,1
270,1.483,2325.508,0.017,53.909,1
271,5.1,1969.261,0.014,263.802,1
271,375.327,0.001,35.713,9.292,2
272,3.896,9.555,4.972,0.707,1
272,3.896,2685.905,0.102,63.696,1
272,256.702,0.026,100.37,0.707,1
273,150.773,0,120.673,0.42,1
274,752.309,0,184.134,1.573,1
274,752.309,0.017,182.049,41.013,1
275,455.543,0,70.965,1.886,1
275,455.543,0.258,0.958,139.055,1
276,4.221,305.087,0.008,49.347,1
276,39.231,0,21.292,0.52,1
276,39.231,0.082,0.247,49.347,1
277,1.493,52.432,0.41,24.427,1
277,1.493,1379.993,0.017,164.816,1
278,0.727,2861.554,0.009,471.951,1
278,10.234,0,47.237,5.506,2
278,10.234,0.522,0.009,471.951,1
279,211.509,0,8.322,156.085,2
279,211.509,0,206.432,2.389,1
280,65.893,0,31.604,0.11,1
281,1.073,126.743,0.011,53.724,1
281,42.781,0,43.595,2.266,2
282,1.873,592.527,0.019,122.149,1
282,116.338,0,128.262,7.444,1
282,116.338,0.135,1.494,122.149,1
283,771.373,0,78.477,0.251,2
284,0.597,62.525,1.768,1.425,1
284,44.946,0.001,113.729,1.425,1
285,72.43,0,968.911,0.176,1
286,4.457,0.001,18.952,20.724,1
286,4.457,0.001,29.3,0.311,1
287,0.66,860.729,0.014,234.11,1
287,64.84,0,48.64,4.196,2
287,64.84,0.17,0.014,234.11,1
288,282.175,0,75.159,4.096,1
288,282.175,0.319,1.25,84.731,1
289,0.735,405.138,0.358,122.903,1
289,27.921,0,126.505,2.009,1
289,27.921,0.011,16.698,122.903,2
290,0.808,715.816,0.074,2.677,1
290,0.808,1171.424,0.002,90.752,1
291,0.042,2004.278,0.05,118.994,1
291,1.502,0.021,24.29,1.368,1
292,1.553,932.675,0.031,113.686,1
292,114.423,0.001,248.597,1.429,1
292,114.423,0.058,2.579,113.686,1
293,0.602,472.622,0.257,242.455,1
293,29.232,0,19.337,12.705,1
293,29.232,0.001,19.337,242.455,1
294,3.42,3791.812,0.193,107.254,1
294,38.503,0.001,616.108,1.409,1
294,38.503,0.075,14.182,107.254,1
295,15.802,0,84.617,0.247,1
296,421.725,0,157.881,1.966,1
296,421.725,0.004,2.623,76.581,2
297,2.371,257.455,0.092,45.397,1
297,142.461,0,204.505,0.607,1
297,142.461,0.002,5.842,45.397,1
298,86.793,0.004,97.432,0.323,1
299,0.541,1.229,9.972,0.539,1
299,44.355,0.001,493.637,0.539,2
300,1.065,657.718,0.054,84.195,1
300,10.619,0.126,73.507,3.652,1
301,256.846,0,607.909,1.774,1
301,256.846,0.001,57.723,175.932,1
302,0.975,198.702,0.025,57.165,1
302,95.875,0,83.38,0.853,1
302,95.875,0.047,1.732,57.165,1
303,500.246,0,304.4,4.702,1
303,500.246,0.005,6.048,74.508,2
304,0.569,75.01,0.838,106.439,1
304,50.99,0.001,174.735,1.093,1
305,1.546,146.358,0.903,3.125,1
305,1.546,2825.881,0.058,127.932,1
305,124.119,0.001,36.448,3.125,2
305,124.119,0.467,0.058,127.932,1
306,0.98,47.076,7.98,7.826,1
306,0.98,1732.453,1.473,589.71,1
306,65.05,0.005,25.416,589.71,1
306,65.05,0.005,137.677,7.826,1
307,1.001,90.55,0.936,0.994,1
307,1.001,3809.257,0.063,86.681,1
307,54.607,0.002,91.449,0.994,1
307,54.607,0.075,6.144,86.681,1
308,0.254,85.297,0.794,5.344,1
308,0.254,4098.875,0.021,70.673,1
309,9.895,1257.843,0.026,45.09,1
309,93.116,0,123.559,0.525,1
310,15.43,851.546,0.016,532.546,1
311,2.119,747.527,0.982,4.968,1
311,2.119,1443.884,0.012,406.713,1
311,192.348,0.039,48.224,4.968,1
312,166.291,0.001,401.33,0.304,2
313,0.889,0.559,5.955,111.652,1
313,0.889,67.417,0.066,3.298,1
313,0.889,1120.397,0.066,111.652,1
313,64.693,0.001,5.955,3.298,2
314,0.318,906.125,0.013,62.952,1
314,25.579,0,59.564,1.844,3
315,1.082,0.461,2.187,59.427,1
315,1.082,816.12,0.028,59.427,1
315,82.566,0.009,83.974,0.918,1
316,6.996,867.723,0.016,71.384,1
316,50.685,0,41.832,0.835,1
317,506.812,0.001,163.418,0.061,1
318,0.109,22.416,6.525,0.397,1
319,463.763,0,494.161,0.646,1
