parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
8353,3,0121-0202-2020,0121,0121-0202-2020,3,0.016,-1.976071,-0.345893,6.366035,-1.036123,0.016
8353,3,0121-0202-2020,0202,0121-0202-2020,3,0.009,-2.004062,4.313547,-3.65097,5.603948,0.009
8354,3,0202-0211-2120,2120,0202-0210,3,0.005,3.915504,-2.222865,7.113769,-0.59476,0.005
8354,3,0202-0211-2120,0202,0202-0210,3,0.487,-4.111716,6.007349,-4.214728,6.226903,0.487
8354,3,0202-0211-2120,0211,0202-0210,3,0.508,-4.089208,6.007349,0.490511,1.215162,0.508
8355,1,0210,0210,0210,1,1,0.014375,7.792551,0.870969,-0.135314,1
8356,1,2020,2020,2020,1,1,9.579665,-3.515597,8.515558,-3.916047,1
8357,2,0202-2020,0202,0202-2020,2,0.393,-3.892699,7.665481,-3.098776,8.099688,0.393
8357,2,0202-2020,2020,0202-2020,2,0.607,7.553603,-4.901026,8.233144,-4.240748,0.607
8358,3,0202-2020-2110,2110,0202-2020-2110,3,0.49,5.83428,-1.495776,0.242478,-5.764778,0.49
8358,3,0202-2020-2110,2020,0202-2020-2110,3,0.482,5.83428,-6.658683,6.350778,-5.76478,0.482
8358,3,0202-2020-2110,0202,0202-2020-2110,3,0.028,-3.867171,3.564838,-4.748074,3.654571,0.028
8359,3,0202-0210-2020,2020,0202-0210-2020,3,0.778,7.137395,-5.854625,6.307545,-4.188345,0.778
8359,3,0202-0210-2020,0210,0202-0210-2020,3,0.064,1.001268,5.893625,1.488038,-0.112767,0.064
8359,3,0202-0210-2020,0202,0202-0210-2020,3,0.158,-3.041624,5.923596,-2.95191,6.2264099999999996,0.158
8360,3,0202-0210-2020,0202,0202-0210-2020-2110,3,0.009,-2.116506,7.048468,-5.076758,1.758521,0.009
8360,3,0202-0210-2020,0210,0202-0210-2020-2110,3,0.27,0.239656,6.969269,1.136377,-4.510512,0.27
8360,3,0202-0210-2020,2020,0202-0210-2020-2110,3,0.721,5.275725,-5.618533,7.532746,-8.248646,0.721
8361,2,0202-2020,2020,0202-2020,2,0.765,6.532715,-6.254599,1.922477,-11.214626,0.765
8361,2,0202-2020,0202,0202-2020,2,0.235,-3.148946,5.840799,-8.886186,1.645248,0.235
8362,3,0012-0202-2020,0202,0012-0202-2020,3,0.327,-7.86325,5.85981,-6.62239,4.205974,0.327
8362,3,0012-0202-2020,2020,0012-0202-2020,3,0.537,3.808011,-5.952057,6.016358,-5.948912,0.537
8362,3,0012-0202-2020,0012,0012-0202-2020,3,0.136,-1.486033,0.036023,-0.283028,4.205974,0.136
8363,2,0202-2020,2020,0202-2020,2,0.19,5.936164,-2.742236,8.621695,-3.192304,0.19
8363,2,0202-2020,0202,0202-2020,2,0.81,-3.105165,8.82049,-1.931408,9.227479,0.81
8364,2,0202-2020,2020,0202-2020,2,0.145,5.265018,-3.279661,6.095715,-4.456704,0.145
