parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
63,1,1010,1010,0202-1002-1010,1,1.5,246.023,0,86.53,0.628,1.5
65,1,0010,0010,0110,1,0.3333333333333333,16.534,0.044,52.834,0.415,0.3333333333333333
66,3,0303-1003-1010,1010,0403-1010-1103,3,0.2,92.398,0.001,24.33,4.743,0.2
66,3,0303-1003-1010,0303,0403-1010-1103,3,0.25,1.972,208.731,0.008,274.123,0.25
66,3,0303-1003-1010,1003,0403-1010-1103,3,0.16666666666666666,92.398,0.169,0.427,274.123,0.16666666666666666
67,3,0300-0303-1010,0300,0300-0403-1010,3,1,3.803,84.28,2.828,14.101,1
67,3,0300-0303-1010,0303,0300-0403-1010,3,0.5,3.803,1824.587,0.27,78.725,0.5
67,3,0300-0303-1010,1010,0300-0403-1010,3,0.3333333333333333,81.093,0.002,92.221,14.101,0.3333333333333333
68,2,0303-1010,1010,0110-0403-1010,2,0.4,22.505,0,137.156,1.12,0.4
68,2,0303-1010,0303,0110-0403-1010,2,0.25,8.883,645.174,0.511,96.781,0.25
69,2,0303-1010,0303,0403-1010-1103,2,0.3333333333333333,4.436,752.508,0.253,99.419,0.3333333333333333
69,2,0303-1010,1010,0403-1010-1103,2,1,193.779,0,71.21,2.349,1
70,2,0303-1010,1010,0403-1010,2,0.3333333333333333,88.5,0.013,57.958,12.922,0.3333333333333333
70,2,0303-1010,0303,0403-1010,2,0.5,1.706,5972.422,0.184,275.563,0.5
71,2,0303-1010,1010,0310-0403-1010,2,0.4,269.94,0.004,194.83,2.579,0.4
71,2,0303-1010,0303,0310-0403-1010,2,0.25,18.878,3824.943,0.236,177.41,0.25
72,3,0303-1010-1013,1013,0403-1010-1013,3,0.5,46.314,0.014,1.271,121.897,0.5
72,3,0303-1010-1013,1010,0403-1010-1013,3,1,46.314,0.001,16.565,2.238,1
72,3,0303-1010-1013,0303,0403-1010-1013,3,0.16666666666666666,0.806,171.111,0.024,121.897,0.16666666666666666
73,1,1010,1010,0200-1010,1,0.6666666666666666,132.482,0,6.813,0.711,0.6666666666666666
74,1,0010,0010,0010-0403,1,0.5,27.253,0.003,38.751,1.548,0.5
75,1,0303,0303,0403-1101-1103,1,0.6,4.609,965.595,0.066,655.155,0.6
76,2,0010-0300,0300,0010-0400-0403,2,0.3333333333333333,0.014,80.828,0.135,3.254,0.3333333333333333
76,2,0010-0300,0010,0010-0400-0403,2,1,1.249,0.052,12.785,3.254,1
77,2,0303-1010,1010,0210-0213-0403-1010,2,0.6666666666666666,256.361,0.007,86.199,10.839,0.6666666666666666
77,2,0303-1010,0303,0210-0213-0403-1010,2,1,3.752,1571.577,0.044,503.406,1
78,2,0303-1010,0303,0403-1010,2,0.25,1.701,682.106,0.007,179.905,0.25
78,2,0303-1010,1010,0403-1010,2,0.2,133.023,0,34.072,7.682,0.2
79,1,1010,1010,0403-1010-1113,1,0.5,183.284,0,375.18,2.602,0.5
80,2,1010-1012,1010,1010-1012,2,1,178.421,0,368.24,2.02,1
80,2,1010-1012,1012,1010-1012,2,0.5,178.421,0.001,67.068,53.851,0.5
81,2,0010-0303,0010,0310-0403,2,0.25,9.127,1.053,126.269,4.082,0.25
81,2,0010-0303,0303,0310-0403,2,0.3333333333333333,0.161,1125.606,2.477,230.687,0.3333333333333333
82,1,1003,1003,1003,1,0.2,66.685,0.286,0.303,173.821,0.2
83,1,1010,1010,0400-0403-1010-1013,1,0.6666666666666666,121.859,0.001,127.939,0.599,0.6666666666666666
84,2,0303-1010,1010,0110-0403-1010,2,1,51.426,0.004,58.956,0.86,1
84,2,0303-1010,0303,0110-0403-1010,2,1,1.012,813.943,0.167,84.419,1
85,2,0300-1010,1010,0403-1010,2,0.25,108.175,0,24.912,0.609,0.25
85,2,0300-1010,0300,0403-1010,2,0.3333333333333333,1.63,11.605,0.729,0.609,0.3333333333333333
86,1,1010,1010,1010,1,0.2,96.56,0,655.155,1.984,0.2
87,2,0303-1010,0303,0403-1010,2,0.16666666666666666,1.08,443.219,0.07,84.719,0.16666666666666666
87,2,0303-1010,1010,0403-1010,2,1,49.288,0.022,39.287,1.84,1
88,4,0111-0113-0301-0303,0111,0211-0213-0401-0403,4,0.2,1.194,0.258,45.491,5.112,0.2
88,4,0111-0113-0301-0303,0303,0211-0213-0401-0403,4,0.3333333333333333,0.759,278.436,0.326,202.842,0.3333333333333333
88,4,0111-0113-0301-0303,0301,0211-0213-0401-0403,4,0.5,0.759,267.531,0.675,5.112,0.5
