13.372,1.615	122.148,1.615	0.427,71.384
69.471,24.403	1.145,197.621	19.755,197.621
0.064,272.842	4.534,272.842
86.613,0.115	0.017,10.961
351.458,3.040	0.246,71.135
75.856,9.573	0.513,662.999
115.151,1.782	0.235,91.700
127.674,0.515	0.169,46.115
128.414,4.581	0.050,144.936
2.388,14.370	238.268,0.671
71.527,3.832	0.099,65.828
106.232,3.144	0.022,136.533
61.046,7.016	0.029,462.162
65.767,2.821	0.020,131.585
0.069,370.310
339.284,0.813	0.770,35.232
61.579,8.264	0.129,74.909
29.802,4.599	0.009,215.773
26.213,6.107	0.019,215.049
0.165,229.777
72.999,1.812	0.022,170.734
83.577,0.681	0.150,67.064
73.693,13.270	0.027,58.881
613.816,34.261	1.218,287.503
6.143,57.846	237.835,6.317
1.324,4.798	64.429,0.353
5.734,17.787	144.250,0.394
0.005,430.014
0.002,22.637
199.760,3.215	0.211,113.782	7.021,113.782
180.860,3.933	0.861,233.950	25.157,233.950
51.575,6.933	0.029,263.149
118.219,6.404	0.036,225.093
0.943,15.787	73.145,0.214
46.065,1.090	0.025,108.611
81.148,1.619	0.029,154.306
0.001,108.499
0.574,10.996	54.193,0.289
4.275,25.394	294.334,0.298
124.615,1.263	0.075,73.136
26.005,1.497	101.205,1.497	2.402,50.293
0.047,141.767	2.552,141.767
96.909,0.868	0.064,55.082
0.678,40.011	42.705,0.729
180.370,1.872	0.023,108.041
62.334,2.477	0.025,234.670
55.105,0.640	0.021,57.176
112.252,0.955	0.104,93.661	7.647,93.661
114.160,1.210	0.036,80.190
145.362,0.842	0.027,65.182
0.522,60.223	37.246,1.171
3.011,0.348	130.962,0.348
77.639,7.991	0.020,48.966
123.229,4.035	0.028,44.823
4.492,5.349	111.707,5.349	0.085,145.003
0.109,206.802	3.903,206.802
0.201,123.301
70.747,3.620	0.030,230.434
7.714,25.278	181.465,25.278	0.079,153.216
68.465,3.075	0.094,195.045
202.162,1.735	0.045,123.437
0.021,177.185
0.288,89.857	12.402,89.857
353.638,9.941	0.190,583.280	12.040,583.280
74.463,2.087	0.075,180.350
0.117,117.298
414.253,1.776	0.953,167.330
110.467,4.196	0.463,333.852
25.270,18.747	0.008,226.414
94.846,1.105	0.085,68.172
0.024,339.532
4.261,0.056	351.415,0.056
29.865,6.944	0.007,101.534
2.230,6.017	39.344,6.017	0.024,260.733
0.008,41.978
0.007,96.134
56.994,0.720	0.013,70.149
101.490,2.238	0.102,180.312
869.833,3.090	1.446,266.687
0.003,85.587
223.239,4.359	0.043,317.147
67.427,0.779	0.037,48.260
0.002,104.484
2.176,16.223	80.689,0.303
227.186,2.001	0.060,177.942
120.229,2.583	0.020,166.462
116.439,5.887	0.013,263.606
86.634,14.024
58.116,5.471	0.115,123.018
41.393,5.925	0.029,93.591
0.009,101.920
86.162,7.701	0.045,361.374
710.449,0.505
0.388,184.060
0.003,245.918
3.876,20.898	58.299,0.811
107.177,9.871	0.034,210.918
108.454,2.105	0.069,149.975
1.092,0.710	92.406,0.710
48.373,0.688	0.039,63.461
120.568,2.994	0.126,190.929
4.730,7.568	101.606,7.568	0.061,232.614
61.397,2.766	0.009,71.075
139.109,1.354	0.029,95.370
1.637,6.213	69.367,4.926
0.036,179.063
55.939,3.854	0.020,132.866
201.046,2.597	1.200,258.713
95.131,0.463
210.079,0.685	0.050,53.953	3.938,53.953
55.259,7.291	0.025,302.344
91.382,1.196	0.013,99.457
142.601,40.335	0.026,192.805
0.004,56.977
453.248,0.456	0.157,34.799
0.005,253.631
91.995,2.590	0.088,34.259
109.177,0.952	0.283,94.328
0.845,41.197	79.217,1.747
106.488,3.146	0.918,110.725
0.011,133.542
1.452,51.661	99.428,51.661
217.933,6.747	3.033,264.771
0.001,63.156
131.245,10.100	0.083,107.801
58.551,2.426	0.021,129.092
100.302,2.655	0.110,75.760
38.825,0.090
48.691,6.460	0.071,170.895
213.889,1.072	1.545,65.649
100.598,4.215	0.014,221.977
1.322,23.977	44.220,0.263
669.621,21.629	0.115,105.608	9.677,105.608
489.666,4.089	0.388,134.070
0.010,76.782
0.141,248.576
22.536,1.716	311.885,1.716	0.228,87.849
3.736,32.291	207.750,0.477
109.884,1.938	0.025,137.648
0.120,302.259
0.233,13.576
193.057,10.611	0.197,163.544
343.942,1.195	0.136,110.518
14.997,30.757	49.275,0.693
318.711,3.823	0.169,369.449
