parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
4360,4,0303-0311-1003-1011,0311,0303-0311-1003-1011,4,1,0.241,712.13,11.858,4.025,1
4361,3,0010-0300-0303,0300,0010-0300-0303,3,0.16666666666666666,1.127,33.646,0.376,6.98,0.16666666666666666
4361,3,0010-0300-0303,0303,0010-0300-0303,3,0.5,1.127,294.036,0.011,348.193,0.5
4361,3,0010-0300-0303,0010,0010-0300-0303,3,1,32.865,0.002,20.402,6.98,1
4362,1,0303,0303,0300-0303-1010,1,1,3.996,3227.051,0.008,215.389,1
4363,1,0303,0303,0300-0303-1010-1013,1,1,0.12,475.495,0.016,81.784,1
4364,2,0300-1010,0300,0300-1010,2,0.2,2.078,22.645,2.1,0.06,0.2
4364,2,0300-1010,1010,0300-1010,2,0.16666666666666666,127.116,0.001,27.572,0.06,0.16666666666666666
4365,2,0300-1010,0300,0300-1010,2,0.5,22.226,15.863,0.283,0.04,0.5
4365,2,0300-1010,1010,0300-1010,2,1,127.116,0.001,27.572,0.04,1
4366,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.16666666666666666,86.109,0.277,3.002,353.591,0.16666666666666666
4366,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.2,86.109,0,191.369,7.931,0.2
4366,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.3333333333333333,2.457,20.985,2.36,7.931,0.3333333333333333
4366,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.25,2.457,747.608,0.037,353.591,0.25
4367,1,1010,1010,1010,1,0.5,265.996,0.001,396.711,0.435,0.5
4368,3,0303-1001-1003,1001,0303-1001-1003,3,0.3333333333333333,170.654,0.001,0.098,8.228,0.3333333333333333
4368,3,0303-1001-1003,1003,0303-1001-1003,3,0.25,170.654,0.087,0.097,359.245,0.25
4368,3,0303-1001-1003,0303,0303-1001-1003,3,1,6.261,43.168,0.001,359.245,1
4369,4,0300-0303-1010-1103,0303,0300-0303-1010-1103,4,0.16666666666666666,0.878,1898.758,0.024,125.64,0.16666666666666666
4369,4,0300-0303-1010-1103,1103,0300-0303-1010-1103,4,1,70.029,0.841,0.045,125.64,1
4369,4,0300-0303-1010-1103,1010,0300-0303-1010-1103,4,0.5,70.029,0,18.606,3.35,0.5
4369,4,0300-0303-1010-1103,0300,0300-0303-1010-1103,4,0.2,0.878,18.921,0.907,3.35,0.2
