ParIndex,GRHL2,ZEB,miR200,SLUG,Count
97,19.417,9.158,0.001,119.318,1
97,630.974,0.001,1.461,1.287,1
97,630.974,0.104,0.072,119.318,1
98,3.252,5.544,2.114,3.466,1
98,3.252,516.736,0.058,146.914,1
98,291.868,0,62.121,3.466,1
98,291.868,0.342,1.719,146.914,1
99,1.766,693.351,0.344,57.946,1
99,33.254,0,222.394,3.058,1
99,33.254,0.004,11.945,57.946,2
100,0.523,22.37,0.056,2.296,1
100,0.523,748.026,0.002,99.44,1
100,47.161,0,3.992,2.296,1
100,47.161,0.167,0.111,99.44,1
101,2.374,4495.577,0.018,510.87,4
102,2.718,1155.704,0.077,44.307,1
102,46.124,0.002,96.525,0.444,1
102,46.124,0.09,1.948,44.307,1
103,3.203,31.404,4.35,11.348,1
103,3.203,1889.157,0.055,413.353,2
103,36.433,0.094,266.594,11.348,1
104,0.3,346.459,2.734,1.714,1
104,0.3,1448.697,0.051,78.136,1
104,21.242,0.002,251.198,1.714,1
104,21.242,0.224,4.714,78.136,1
105,76.59,17.029,0.009,112.737,2
105,81.062,0.332,0.316,112.737,2
106,1.935,681.468,0.349,73.202,1
106,134.733,0,89.723,0.894,1
106,134.733,0.007,6.835,73.202,2
107,3.142,4.435,1.157,1.015,1
107,3.142,202.558,0.017,86.011,1
107,229.015,0,79.058,1.015,1
107,229.015,0.046,1.195,86.011,1
108,14.976,8.217,0.034,71.767,1
108,149.277,0,42.189,2.44,1
108,149.277,0.006,3.132,71.767,1
109,1.256,161.883,0.122,60.324,1
109,75.209,0.002,5.332,60.324,1
110,3.158,13.417,0.49,2.127,1
110,3.158,1289.78,0.011,185.678,1
110,254.255,0.514,0.628,185.678,1
110,274.768,0,27.888,2.127,1
111,0.336,79.419,1.618,5.963,1
111,0.336,1428.167,0.07,183.689,1
111,1.718,1.11,78.141,5.963,1
111,19.231,0.389,78.141,5.963,1
112,7.017,26.259,0.543,0.964,1
112,7.017,2021.192,0.013,91.38,1
112,189.585,0,40.28,0.964,1
113,0.544,2024.097,0.063,229.485,2
113,41.386,0.063,6.288,229.485,2
114,0.95,946.235,0.243,144.801,1
114,50.418,0.001,295.322,13.635,1
114,50.418,0.18,3.633,144.801,1
115,0.386,50.113,1.78,2.954,3
115,22.748,0,28.534,2.954,1
116,1.853,43.733,2.27,0.418,1
116,126.096,0,179.568,0.418,1
117,1.003,1682.932,0.894,64.026,1
117,79.508,0,574.57,0.738,1
117,79.508,0.002,67.298,64.026,1
118,3.854,22.237,2.252,3.177,1
118,3.854,1264.725,0.415,121.531,2
118,347.139,0.008,156.243,3.177,2
118,347.139,0.023,28.81,121.531,1
119,1.18,55.437,0.606,11.369,1
119,1.18,3230.132,0.029,103.315,1
119,63.32,0.001,57.19,11.369,1
120,9.097,3165.104,0.013,568.93,1
120,9.097,3165.107,0.013,568.933,2
121,0.094,437.586,0.535,50.403,1
121,4.611,0.787,9.129,50.403,1
121,4.612,0.05,122.301,0.603,1
122,1.933,273.254,0.157,66.299,1
122,93.097,0,262.697,2.206,1
122,93.097,0.028,5.183,66.299,1
123,152.583,0.003,171.595,0.235,1
124,1.301,777.486,0.049,124.949,1
124,127.639,0,48.642,1.896,1
124,127.639,0.023,1.481,124.949,1
126,1.081,89.758,2.764,0.784,2
126,1.081,1772.788,0.055,67.571,1
126,103.354,0.733,1.409,67.571,1
126,103.439,0.001,109.134,0.784,1
127,3.917,13.686,1.273,1.264,1
127,3.917,1043.64,0.039,78.003,1
127,238.668,0,68.879,1.264,1
127,238.668,0.086,2.122,78.003,1
128,14.092,2810.743,0.022,527.391,1
129,0.195,289.943,0.082,148.213,1
129,17.341,0.35,4.097,148.213,1
130,2.089,31.744,0.992,1.115,2
130,135.878,0.001,83.285,1.115,1
131,0.071,15.657,2.452,4.64,1
131,0.071,1419.249,0.03,301.907,1
131,0.077,2.13,41.441,4.64,1
131,1.75,0.1,50.729,4.64,1
