parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
3451,3,0303-3030-3200,3030,0302-0303-3030,3,0.298,5.207619,-7.379525,5.11196,-12.796213,0.298
3451,3,0303-3030-3200,3200,0302-0303-3030,3,0.028,4.245621,0.7101,-1.731574,-7.140438,0.028
3452,3,0013-0303-3030,0013,0013-0303-0330-3012-3030-3302,3,0.042,-4.091013,-3.642325,-4.276316,4.533372,0.042
3452,3,0013-0303-3030,3030,0013-0303-0330-3012-3030-3302,3,0.737,6.019153,-9.423678,7.217246,-8.693164,0.737
3452,3,0013-0303-3030,0303,0013-0303-0330-3012-3030-3302,3,0.221,-8.721792,7.197163,-10.019401,4.533372,0.221
3453,4,0303-3030-3033-3310,0303,0033-0303-3013-3030-3033-3310,4,0.465,-10.675197,7.203644,-9.200962,8.667891,0.465
3453,4,0303-3030-3033-3310,3310,0033-0303-3013-3030-3033-3310,4,0.008,0.540553,4.012892,-3.105418,-4.520223,0.008
3453,4,0303-3030-3033-3310,3030,0033-0303-3013-3030-3033-3310,4,0.139,6.941313,-8.969108,9.687468,-4.832762,0.139
3453,4,0303-3030-3033-3310,3033,0033-0303-3013-3030-3033-3310,4,0.388,1.22746,-8.841876,8.18505,0.783515,0.388
3454,4,0303-0330-3030-3130,0303,0303-0330-2033-2133-3030-3130,4,0.629,-11.223265,8.6238,-6.685989,6.639642,0.629
3454,4,0303-0330-3030-3130,3130,0303-0330-2033-2133-3030-3130,4,0.103,5.864425,-1.128982,6.493614,-9.919918,0.103
3454,4,0303-0330-3030-3130,0330,0303-0330-2033-2133-3030-3130,4,0.163,-5.839777,4.74148,1.038186,-2.993427,0.163
3454,4,0303-0330-3030-3130,3030,0303-0330-2033-2133-3030-3130,4,0.105,5.870192,-7.282434,6.518484,-9.919918,0.105
3455,3,0303-3030-3300,0303,0033-0303-3030-3100-3300,3,0.452,-4.913401,6.726515,-11.404342,7.63357,0.452
3455,3,0303-3030-3300,3300,0033-0303-3030-3100-3300,3,0.322,4.449643,1.697112,-5.201516,-3.746057,0.322
3455,3,0303-3030-3300,3030,0033-0303-3030-3100-3300,3,0.226,5.482097,-8.30533,7.249739,-9.606905,0.226
3456,3,0033-0303-3030,3030,0033-0303-1030-3030,3,0.504,6.017892,-10.850059,9.489779,-11.211838,0.504
3456,3,0033-0303-3030,0033,0033-0303-1030-3030,3,0.373,-3.934624,-4.953682,7.005133,0.762089,0.373
3456,3,0033-0303-3030,0303,0033-0303-1030-3030,3,0.123,-9.2267,6.153183,-3.171376,6.807674,0.123
3457,3,0030-0303-3030,0030,0030-0032-0303-3030,3,0.187,-3.383539,-4.781115,3.296203,-4.459855,0.187
3457,3,0030-0303-3030,0303,0030-0032-0303-3030,3,0.785,-13.926416,7.685907,-8.487008,4.66528,0.785
3457,3,0030-0303-3030,3030,0030-0032-0303-3030,3,0.028,2.163283,-9.957136,3.296203,-9.292803,0.028
3458,2,0303-3030,3030,0130-0303-0330-3030,2,0.819,6.701696,-3.429327,6.901863,-11.203135,0.819
3458,2,0303-3030,0303,0130-0303-0330-3030,2,0.181,-5.589298,8.838102,-6.35893,5.107271,0.181
3459,3,0303-0330-3030,0330,0303-0310-0330-3030-3310,3,0.178,-4.008229,1.574549,4.134162,-6.68906,0.178
3459,3,0303-0330-3030,0303,0303-0310-0330-3030-3310,3,0.067,-9.343824,7.803622,-5.182196,2.229306,0.067
3459,3,0303-0330-3030,3030,0303-0310-0330-3030-3310,3,0.755,7.534083,-7.236538,9.689394,-13.324539,0.755
3460,3,0303-0330-3030,0330,0030-0032-0303-0330-3030,3,0.189,-6.306986,3.612977,-0.132126,-6.012332,0.189
3460,3,0303-0330-3030,0303,0030-0032-0303-0330-3030,3,0.606,-11.473214,9.454531,-10.998481,4.879528,0.606
3460,3,0303-0330-3030,3030,0030-0032-0303-0330-3030,3,0.205,5.715459,-4.874904,6.482131,-11.651525,0.205
3461,4,0303-0330-3030-3230,3030,0303-0330-3013-3030-3230,4,0.213,8.485511,-7.312183,6.923704,-10.456639,0.213
3461,4,0303-0330-3030-3230,0330,0303-0330-3013-3030-3230,4,0.09,-4.343717,3.528679,0.777597,-4.364219,0.09
3461,4,0303-0330-3030-3230,0303,0303-0330-3013-3030-3230,4,0.401,-8.940167,7.333131,-10.346793,6.16028,0.401
3461,4,0303-0330-3030-3230,3230,0303-0330-3013-3030-3230,4,0.296,5.132106,-0.96401,6.898638,-10.456639,0.296
3462,3,0303-0330-3030,0330,0033-0303-0330-1030-3030,3,0.321,-6.087886,3.753414,2.899022,-4.4886,0.321
3462,3,0303-0330-3030,3030,0033-0303-0330-1030-3030,3,0.236,3.583867,-6.762126,7.41976,-10.720688,0.236
3462,3,0303-0330-3030,0303,0033-0303-0330-1030-3030,3,0.443,-11.470739,7.920969,-5.431605,5.727411,0.443
3463,4,0030-0303-3010-3030,0303,0030-0303-3010-3030,4,0.908,-13.842415,6.789396,-13.738055,6.806968,0.908
3463,4,0030-0303-3010-3030,0030,0030-0303-3010-3030,4,0.049,-3.012939,-5.058763,3.526214,-4.46429,0.049
3463,4,0030-0303-3010-3030,3030,0030-0303-3010-3030,4,0.009,2.351866,-11.429747,3.526214,-10.926295,0.009
3463,4,0030-0303-3010-3030,3010,0030-0303-3010-3030,4,0.034,2.351866,-7.548979,-2.818032,-4.283145,0.034
3464,4,0303-3030-3300-3310,3310,0303-3030-3300-3310,4,0.185,1.233639,1.852286,0.462617,-5.162627,0.185
3464,4,0303-3030-3300-3310,3300,0303-3030-3300-3310,4,0.081,1.233639,1.890184,-4.445926,-4.82054,0.081
3464,4,0303-3030-3300-3310,3030,0303-3030-3300-3310,4,0.228,5.700532,-4.252746,6.823405,-9.868168,0.228
3464,4,0303-3030-3300-3310,0303,0303-3030-3300-3310,4,0.506,-9.271608,8.154574,-9.745024,6.785986,0.506
3465,4,0033-0303-0323-3030,0323,0033-0223-0303-3030,4,0.154,-9.10204,4.272259,-0.418162,8.172647,0.154
3465,4,0033-0303-0323-3030,3030,0033-0223-0303-3030,4,0.626,5.703269,-11.261086,8.416553,-6.01797,0.626
