ParIndex,GRHL2,ZEB,miR200,SLUG,Count
157,156.658,0.009,4.116,316.86,1
158,4.249,0.001,19.404,0.086,1
159,1.956,169.566,0.002,92.553,1
159,195.309,0.094,0.03,92.553,1
160,3.026,199.6,3.153,0.154,1
160,3.026,200.073,3.123,12.277,1
160,155.059,0.002,59.31,12.277,1
160,155.059,0.002,59.869,0.154,1
161,119.817,0,68.858,0.88,1
162,12.33,0,234.187,0.553,1
163,2.919,5085.3,0.013,185.433,1
163,2.919,5085.302,0.013,185.433,2
164,4.44,1192.122,0.01,150.927,3
165,0.226,102.954,0.825,0.675,1
165,0.226,4620.997,0.409,53.78,1
166,2.544,4559.56,0.018,112.875,2
167,203.775,0,23.797,7.668,1
167,203.775,0.006,1.463,85.5,2
168,1.718,570.291,0.332,181.841,1
168,98.788,0.011,340.267,2.162,1
168,98.788,0.044,7.109,181.841,1
169,253.909,0.636,3.499,106.806,1
169,253.923,0.001,119.826,1.91,2
170,2.813,1529.916,0.079,179.677,1
170,278.996,0.001,53.898,2.824,1
171,0.12,746.576,0.068,93.126,1
171,8.677,0.005,171.726,1.589,1
172,2.045,1160.903,0.319,88.577,1
172,111.249,0.001,475.113,1.559,1
172,111.249,0.045,13.187,88.577,1
173,0.657,7823.47,0.134,73.393,2
173,48.715,0.001,101.158,0.752,1
173,48.715,0.067,5.898,73.393,1
174,0.674,479.389,4.564,6.839,2
174,0.674,580.785,0.062,511.104,1
175,209.739,0,201.632,0.596,2
176,190.143,0.002,35.584,0.567,2
176,190.143,0.016,25.048,44.965,2
177,0.866,1178.023,0.02,437.635,2
177,41.532,0.005,36.075,21.975,1
178,2.268,1084.795,0.774,0.543,1
179,3.938,422.448,0.952,157.077,1
179,270.563,0,182.96,5.402,1
179,270.563,0.003,63.116,157.077,2
180,2.051,0.22,2.317,19.41,1
180,38.421,0.001,35.103,0.352,2
181,0.609,3207.768,0.044,90.89,2
181,42.262,0.03,52.823,1.222,2
182,46.558,113.796,0.11,263.668,1
183,4.856,1876.651,0.584,106.415,1
183,451.514,0.001,94.22,1.102,1
183,451.514,0.249,5.086,106.415,1
184,56.656,0.001,53.039,36.71,2
185,0.683,1240.858,0.04,91.946,2
185,55.114,0.001,177.104,1.2,1
186,2.351,140.533,6.939,0.443,1
187,1.75,49.138,0.043,242.105,1
187,58.507,0.09,1.23,242.105,2
188,194.656,0,136.9,0.156,2
189,2.94,2103.875,0.142,645.882,2
190,13.873,221.979,0.023,162.578,1
190,127.904,0,29.003,2.288,2
191,0.921,3605.01,0.167,89.1,1
191,59.338,0.005,540.862,1.128,2
192,13.277,0,119.316,0.599,1
192,13.277,0.008,113.067,39.658,1
193,0.212,787.522,0.499,4.196,2
193,0.212,897.137,0.006,41.533,1
193,20.122,0.035,11.968,4.196,1
194,0.67,970.939,0.941,48.4,1
194,43.847,0.079,28.637,48.4,3
195,3.9,836.461,0.07,129.686,1
195,3.901,836.461,0.07,129.686,1
196,2.903,708.42,0.005,138.304,1
196,150.286,0.002,36.101,3.571,1
197,13.075,653.074,0.091,76.237,2
198,64.753,0,14.737,0.124,1
199,23.147,169.583,0.026,75.642,2
200,1.11,792.695,0.03,108.796,1
200,21.791,0.315,3.003,108.796,2
201,1.922,478.007,0.043,170.491,1
201,88.786,0,142.818,2.109,2
202,1.565,972.277,0.007,83.335,1
202,134.605,0.896,0.23,83.335,1
202,134.625,0.002,19.194,2.594,1
203,6.309,665.984,0.081,82.832,1
203,157.399,0,96.969,2.047,2
203,157.399,0.006,6.091,82.832,1
204,2.009,128.347,0.025,22.384,1
204,42.173,0.001,103.661,0.35,1
204,42.173,0.068,2.047,22.384,1
205,0.489,481.717,0.132,67.808,1
205,17.284,0.001,219.235,1.059,1
205,17.284,0.016,8.718,67.808,1
206,216.406,0,54.542,0.31,1
207,2.105,2459.69,0.12,307.135,2
208,10.128,894.706,0.06,71.693,2
208,420.775,0,103.28,1.137,1
