Phase,Count,Frequency
0110-0303-1010,18,0.0018123238018525976
0110-0310,1,1.0068465565847765e-4
0110-0310-1010,1,1.0068465565847765e-4
0110-0312-1010-1012,1,1.0068465565847765e-4
0110-0313-1010,2,2.013693113169553e-4
0110-1010,4,4.027386226339106e-4
0111-0113-0303,4,4.027386226339106e-4
0111-0113-1011-1013,1,1.0068465565847765e-4
0111-0301-0303-1011,1,1.0068465565847765e-4
0111-0303,9,9.061619009262988e-4
0111-0303-1011-1013,1,1.0068465565847765e-4
0111-1011,1,1.0068465565847765e-4
0112-0113-0302-0303,1,1.0068465565847765e-4
0112-0302-1010,2,2.013693113169553e-4
0112-1010,1,1.0068465565847765e-4
0112-1010-1012,1,1.0068465565847765e-4
0113,3,3.0205396697543293e-4
0113-0300-0303-1010,1,1.0068465565847765e-4
0113-0303,7,7.047925896093435e-4
0113-0303-0312-1012,1,1.0068465565847765e-4
0113-0303-1010,41,0.004128070881997584
0113-0303-1010-1013,4,4.027386226339106e-4
0113-0303-1011,2,2.013693113169553e-4
0113-0303-1013,6,6.041079339508659e-4
0113-1010,9,9.061619009262988e-4
0113-1010-1013,1,1.0068465565847765e-4
0200,1,1.0068465565847765e-4
0200-0202-1010,1,1.0068465565847765e-4
0200-0300-1010,2,2.013693113169553e-4
0200-0302-1010,1,1.0068465565847765e-4
0200-0303,11,0.0011075312122432541
0200-0303-1010,25,0.0025171163914619412
0200-1010,6,6.041079339508659e-4
0201-0303,2,2.013693113169553e-4
0201-0303-1001,1,1.0068465565847765e-4
0201-0303-1011,1,1.0068465565847765e-4
0203-1010,2,2.013693113169553e-4
0203-1010-1013,6,6.041079339508659e-4
0203-1013,1,1.0068465565847765e-4
0210,3,3.0205396697543293e-4
0210-0303,12,0.0012082158679017317
0210-0303-1010,4,4.027386226339106e-4
0210-1010,4,4.027386226339106e-4
0211,1,1.0068465565847765e-4
0211-0303,1,1.0068465565847765e-4
0211-0303-1011,2,2.013693113169553e-4
0211-0303-1011-1013,1,1.0068465565847765e-4
0212-1010,3,3.0205396697543293e-4
0213,1,1.0068465565847765e-4
0213-1010,2,2.013693113169553e-4
0213-1010-1013,1,1.0068465565847765e-4
0300,27,0.0027184857027788964
0300-0301,2,2.013693113169553e-4
0300-0301-1010-1011,16,0.0016109544905356424
0300-0302,5,5.034232782923883e-4
0300-0302-1002-1010,3,3.0205396697543293e-4
0300-0302-1010,7,7.047925896093435e-4
0300-0302-1010-1012,10,0.0010068465565847766
0300-0302-1100-1102,1,1.0068465565847765e-4
0300-0303,76,0.0076520338300443014
0300-0303-1000,2,2.013693113169553e-4
0300-0303-1003-1010,21,0.0021143777688280305
0300-0303-1010,428,0.04309303262182843
0300-0303-1010-1013,59,0.005940394683850181
0300-0303-1010-1013-1100,1,1.0068465565847765e-4
0300-0303-1010-1013-1103,1,1.0068465565847765e-4
0300-0303-1010-1100,5,5.034232782923883e-4
0300-0303-1010-1103,4,4.027386226339106e-4
0300-0303-1010-1113,1,1.0068465565847765e-4
0300-0303-1100,7,7.047925896093435e-4
0300-0310,1,1.0068465565847765e-4
0300-1010,172,0.017317760773258157
0300-1010-1100,1,1.0068465565847765e-4
0301,3,3.0205396697543293e-4
0301-0302,2,2.013693113169553e-4
0301-0302-1011-1012,2,2.013693113169553e-4
0301-0303,76,0.0076520338300443014
0301-0303-1001,13,0.0013089005235602095
0301-0303-1001-1003,4,4.027386226339106e-4
0301-0303-1001-1103,1,1.0068465565847765e-4
0301-0303-1003-1011,14,0.001409585179218687
0301-0303-1011,52,0.005235602094240838
0301-0303-1011-1013,29,0.002919855014095852
0301-0303-1011-1101,1,1.0068465565847765e-4
0301-0303-1011-1103,1,1.0068465565847765e-4
0301-0303-1101-1103,2,2.013693113169553e-4
0301-1001,1,1.0068465565847765e-4
0301-1011,6,6.041079339508659e-4
0302,4,4.027386226339106e-4
0302-0303,35,0.003523962948046718
0302-0303-1002-1003,5,5.034232782923883e-4
0302-0303-1012-1013,15,0.0015102698348771646
0302-0303-1102-1103,1,1.0068465565847765e-4
0302-0310,2,2.013693113169553e-4
0302-1002-1010,3,3.0205396697543293e-4
0302-1010,18,0.0018123238018525976
0302-1010-1012,43,0.004329440193314539
0302-1010-1012-1102,2,2.013693113169553e-4
0302-1012,7,7.047925896093435e-4
0303,561,0.05648409182440596
0303-0310,35,0.003523962948046718
0303-0310-1010,18,0.0018123238018525976
0303-0310-1010-1013,2,2.013693113169553e-4
0303-0310-1110,1,1.0068465565847765e-4
0303-0311,37,0.003725332259363673
0303-0311-1011,9,9.061619009262988e-4
0303-0311-1011-1013,9,9.061619009262988e-4
0303-0311-1111,1,1.0068465565847765e-4
0303-0312,2,2.013693113169553e-4
0303-1000,4,4.027386226339106e-4
0303-1000-1003,6,6.041079339508659e-4
0303-1001,40,0.004027386226339106
0303-1001-1003,21,0.0021143777688280305
0303-1001-1103,2,2.013693113169553e-4
0303-1003,83,0.008356826419653645
0303-1003-1010,284,0.028594442207007652
0303-1003-1011,7,7.047925896093435e-4
