parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1197,2,0202-2020,0202,0202-2020,2,0.248,-4.148125,7.764753,-3.832435,6.191769,0.248
1197,2,0202-2020,2020,0202-2020,2,0.752,6.150065,-2.781967,6.481864,-2.8484950000000002,0.752
1198,2,0202-2020,2020,0202-2020,2,0.532,5.85964,-2.245746,7.98752,-2.298648,0.532
1198,2,0202-2020,0202,0202-2020,2,0.468,-2.774617,6.243347,-1.05701,7.597648,0.468
1199,1,2020,2020,2020,1,1,5.443632,-1.322448,9.315886,-1.476438,1
1200,1,2020,2020,1200-2020,1,1,6.20219,2.364959,6.412974,-8.865704,1
1201,2,0200-2020,0200,0120-0200-2020,2,0.554,0.708619,6.440118,-0.760379,3.174241,0.554
1201,2,0200-2020,2020,0120-0200-2020,2,0.446,6.300123,-1.666625,6.287434,-4.51507,0.446
1202,1,2020,2020,0202-1200-2020,1,1,6.829634,-2.194277,8.320725,-5.294053,1
1203,2,0202-2020,0202,0202-2020,2,0.98,-2.285664,5.551993,-0.204653,3.623318,0.98
1203,2,0202-2020,2020,0202-2020,2,0.02,5.209367,-0.581321,6.805617,-4.213471,0.02
1204,1,0202,0202,0121-0202-1021-2020,1,1,-4.281935,6.222841,-4.477014,6.379282,1
1205,2,0201-2020,2020,0201-2020,2,0.299,6.515204,1.139954,6.336083,-5.910953,0.299
1205,2,0201-2020,0201,0201-2020,2,0.701,0.296432,8.533217,0.31538,3.983466,0.701
1206,1,2020,2020,0202-2020,1,1,6.740378,0.138962,8.21649,-7.11998,1
1207,1,2020,2020,0201-2020,1,1,6.067304,-4.396927,6.591861,-9.869214,1
1208,2,0202-2020,2020,0202-2020,2,0.055,5.861044,1.285567,5.063892,2.568127,0.055
1208,2,0202-2020,0202,0202-2020,2,0.945,-2.667408,7.284191,-3.715276,7.074211,0.945
1209,1,0202,0202,0202-2020,1,1,-1.498733,7.665126,-3.017957,8.705905,1
1210,1,0202,0202,0202-2020,1,1,-0.52486,4.96667,-1.18413,8.525571,1
1211,1,2020,2020,0102-2020,1,1,6.761694,-7.335305,7.381364,0.429828,1
1212,2,0202-2020,0202,0202-1021-1102-2020,2,0.528,-5.248161,8.344541,0.615892,6.451177,0.528
1212,2,0202-2020,2020,0202-1021-1102-2020,2,0.472,4.773249,-2.129874,7.950813,0.813518,0.472
1213,1,2020,2020,0202-2020,1,1,6.610343,-1.212074,7.32217,-5.417189,1
1214,1,0201,0201,0201,1,1,-2.458922,6.636007,-0.450106,3.199944,1
1215,1,2020,2020,0202-2020,1,1,7.222321,-4.486773,6.553574,-3.027747,1
1216,1,0202,0202,0202-2001-2020,1,1,-1.989424,6.084472,-4.509429,9.368115,1
1217,2,0202-1220,1220,0202-1220-2020,2,0.532,4.092022,6.318953,4.052362,1.227757,0.532
1217,2,0202-1220,0202,0202-1220-2020,2,0.468,-1.589156,8.502099,0.555842,7.82215,0.468
1218,2,0202-2020,0202,0202-2020,2,0.664,-0.568225,8.584205,2.017376,4.232127,0.664
1218,2,0202-2020,2020,0202-2020,2,0.336,7.714357,1.407732,5.940632,-3.196654,0.336
1219,1,2020,2020,0202-2020,1,1,8.996686,-2.56971,6.541423,-1.956463,1
1220,2,0202-2020,0202,0202-1002-2020,2,0.036,-1.482579,5.234308,2.060733,6.647988,0.036
1220,2,0202-2020,2020,0202-1002-2020,2,0.964,6.712067,-4.603762,9.134556,-3.839044,0.964
1221,1,2100,2100,0202-1200-2020-2100,1,1,6.080768,3.207932,1.491816,-1.011553,1
1222,2,0012-0202,0012,0012-0202-2020,2,0.885,-1.100216,0.132046,3.045401,9.110362,0.885
1222,2,0012-0202,0202,0012-0202-2020,2,0.115,-3.68283,6.271645,-3.298637,9.506,0.115
1223,2,0202-2020,0202,0202-2020,2,0.476,-8.981619,6.271778,-0.244481,5.167682,0.476
1223,2,0202-2020,2020,0202-2020,2,0.524,1.15654,-1.729203,5.762269,-1.296527,0.524
1224,1,2020,2020,0112-0202-1012-2020,1,1,7.554229,-4.379098,6.619987,0.476252,1
1225,2,0202-2020,2020,0202-2020,2,0.254,6.582212,-3.083901,5.240949,1.362183,0.254
1225,2,0202-2020,0202,0202-2020,2,0.746,-3.089104,5.777852,-1.720498,9.35384,0.746
1226,1,2020,2020,0202-1002-2020,1,1,7.879196,-3.270564,7.54993,-5.95405,1
1227,1,0021,0021,0021-0202-2020,1,1,0.158621,0.340158,6.181359,4.122208,1
1228,2,0202-0220,0220,0202-0210-1020,2,0.851,1.372172,5.098024,7.023594,-0.003888,0.851
1228,2,0202-0220,0202,0202-0210-1020,2,0.149,-3.149639,7.81687,-0.604353,4.618423,0.149
1229,2,0202-2020,2020,0202-1200-2020,2,0.127,5.04006,-0.801556,7.354821,-2.534193,0.127
1229,2,0202-2020,0202,0202-1200-2020,2,0.873,-0.244653,6.773693,-5.542629,6.754759,0.873
1230,1,2020,2020,0202-0210-2020,1,1,5.623667,0.659935,7.661992,0.404987,1
1231,2,0202-2010,0202,0202-2010,2,0.196,-0.538787,7.969339,-4.171932,5.672095,0.196
1231,2,0202-2010,2010,0202-2010,2,0.804,9.394588,1.151015,3.232108,-0.499519,0.804
1232,1,0202,0202,0021-0202-2020,1,1,-1.140658,5.718335,-4.121586,6.219551,1
1233,2,0202-2020,0202,0202-2020,2,0.259,-0.66354,5.487695,-1.163411,8.20484,0.259
1233,2,0202-2020,2020,0202-2020,2,0.741,8.876398,0.164591,6.658669,-2.997112,0.741
