parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
2109,2,01-21,01,01-21,2,0.27,-1.502144,7.864826,0.27
2110,2,01-20,01,01-20,2,0.756,-6.704343,8.765396,0.756
2110,2,01-20,20,01-20,2,0.244,6.181349,2.134705,0.244
2111,2,01-20,01,01-20,2,0.83,-6.880005,5.765795,0.83
2111,2,01-20,20,01-20,2,0.17,3.843628,-0.647271,0.17
2112,3,01-10-20,01,01-10-20,3,0.552,-5.314494,4.33858,0.552
2112,3,01-10-20,20,01-10-20,3,0.26,5.955271,-1.491056,0.26
2112,3,01-10-20,10,01-10-20,3,0.188,-0.066636,-1.491055,0.188
2113,2,11-21,21,11-21,2,0.781,3.183702,4.957304,0.781
2113,2,11-21,11,11-21,2,0.219,-2.400442,4.957418,0.219
2114,1,20,20,20,1,1,8.561157,1.332837,1
2115,2,10-20,20,10-20,2,0.4,6.378956,-1.698509,0.4
