parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
9336,2,0202-2020,0202,0202-2020,2,0.61,-3.787939,5.294946,-2.867424,6.19514,0.61
9336,2,0202-2020,2020,0202-2020,2,0.39,5.167327,-5.68232,7.742177,-2.072147,0.39
9337,2,2001-2020,2001,0202-2001-2020,2,0.93,8.136446,-1.705112,-1.875367,0.9549,0.93
9337,2,2001-2020,2020,0202-2001-2020,2,0.07,8.136559,-7.533017,4.243659,-5.492138,0.07
9338,3,0202-2002-2020,0202,0202-2002-2020,3,0.31,-4.170613,5.141054,-4.237241,7.10285,0.31
9338,3,0202-2002-2020,2002,0202-2002-2020,3,0.47,0.922061,-0.101047,-0.4,0.823567,0.47
9338,3,0202-2002-2020,2020,0202-2002-2020,3,0.22,4.990785,-5.95166,5.708811,-4.875715,0.22
9339,2,0202-2020,0202,0202-2020,2,0.38,-7.935745,5.355025,-2.771298,6.806718,0.38
9339,2,0202-2020,2020,0202-2020,2,0.62,4.848881,-6.476578,7.272726,-4.094445,0.62
9340,2,0202-2020,0202,0202-2020,2,0.97,-6.405401,5.802283,-7.828682,8.973057,0.97
9340,2,0202-2020,2020,0202-2020,2,0.03,6.340746,-4.188839,3.470468,-2.506573,0.03
9341,3,0202-2020-2200,0202,0202-2020,3,0.61,-2.839565,8.48545,-6.557252,3.837502,0.61
9341,3,0202-2020-2200,2020,0202-2020,3,0.16,6.78956,-0.535344,5.764319,-6.509384,0.16
9341,3,0202-2020-2200,2200,0202-2020,3,0.23,1.410967,1.977899,-0.54617,-2.46195,0.23
9342,2,0202-2020,2020,0202-2020,2,0.12,6.413015,-4.002226,5.179074,-5.785869,0.12
9342,2,0202-2020,0202,0202-2020,2,0.88,-6.017996,7.201817,-7.235983,6.777213,0.88
9343,2,0202-2020,0202,0202-2020,2,0.14,-4.561253,4.835445,-4.251338,7.479301,0.14
9343,2,0202-2020,2020,0202-2020,2,0.86,7.301713,-6.171017,8.252432,-3.046919,0.86
9344,3,0202-2020-2101,2020,0202-2020-2101,3,0.23,7.284185,-5.123094,6.295327,-6.015351,0.23
9344,3,0202-2020-2101,0202,0202-2020-2101,3,0.15,-1.388516,4.786127,-6.007032,5.426081,0.15
9344,3,0202-2020-2101,2101,0202-2020-2101,3,0.62,7.28407,0.518642,-6.006993,-0.59892,0.62
9345,2,0220-2120,2120,0220-2120,2,0.05,3.898526,0.244268,2.157631,-7.431913,0.05
9345,2,0220-2120,0220,0220-2120,2,0.95,-0.389924,2.70086,2.157631,-2.549871,0.95
9346,2,0212-2020,2020,0212-0220-2020,2,0.94,4.09732,-3.86854,7.385208,-4.276939,0.94
9346,2,0212-2020,0212,0212-0220-2020,2,0.06,-4.201433,1.170856,1.16723,5.90568,0.06
9347,2,1202-2020,2020,1202-2020,2,0.95,8.113242,-6.395374,6.47188,-3.659748,0.95
9347,2,1202-2020,1202,1202-2020,2,0.05,-0.37639,5.328992,-3.480629,2.620483,0.05
9348,2,0202-2020,2020,0202-2020,2,0.96,7.45875,-4.245803,7.908127,-3.618809,0.96
9348,2,0202-2020,0202,0202-2020,2,0.04,-4.045607,5.121915,-1.201309,6.649115,0.04
9349,3,0122-0202-2020,2020,-1,3,0.11,4.127915,-5.687343,7.885179,-5.989323,0.11
9349,3,0122-0202-2020,0122,-1,3,0.56,-4.850685,0.829081,4.716823,0.118832,0.56
9349,3,0122-0202-2020,0202,-1,3,0.33,-4.850695,7.345504,-2.231131,6.530144,0.33
9350,1,2020,2020,2020,1,1,6.888996,-6.212289,6.42581,-2.966594,1
9351,2,0202-2022,2022,0202-1022,2,0.81,3.052559,-3.989428,2.091017,1.613411,0.81
9351,2,0202-2022,0202,0202-1022,2,0.19,-5.358897,3.306891,-1.632218,5.996656,0.19
