99.753,2.007	1.094,30.139
74.602,0.414	3.580,32.043
300.563,1.863
77.242,1.087	2.116,66.184
138.700,0.666
0.229,93.974
204.031,0.314
75.014,9.012	1.095,143.105
67.811,0.325	0.698,23.654
62.107,1.168	0.826,100.543
118.693,2.421	11.712,135.658
69.667,1.276	1.015,78.826
2.503,116.504
134.060,0.857	1.495,85.168
113.521,3.227	2.347,306.435
0.593,134.839
519.206,0.076
6.453,95.618
70.770,5.315	2.348,189.331
205.464,0.827	2.844,57.951
237.970,0.213	9.542,21.195
103.591,0.337	1.348,30.856
147.607,1.392	2.066,114.142
143.901,8.521
77.028,6.290	1.470,303.059
57.556,0.414	1.574,35.513
32.416,0.397	0.724,27.139
9.207,2.483	0.133,28.851
364.683,0.242	5.541,23.995
180.904,1.756
143.582,0.632	9.074,32.215
0.141,36.675
8.996,138.035
71.625,0.834
2.223,38.737
350.159,2.643	7.115,30.512
24.477,0.861	0.505,37.272
84.419,11.133	8.855,204.851
28.200,1.403	0.402,99.268
1.560,72.112
140.649,6.741	2.188,121.923
12.002,119.179
32.078,0.611	0.549,45.728
322.919,0.500
1.076,601.212
325.433,1.090
23.179,1.506	0.339,87.362
118.639,1.541	3.113,88.718
64.224,0.600	1.138,47.008
103.293,0.051
108.745,0.071
179.477,7.380	2.150,69.474
33.757,1.699	0.451,104.839
210.936,2.144	3.106,47.614
24.423,1.480	0.342,54.878
35.081,1.808
92.734,0.658	1.013,33.950
74.534,4.573	0.829,103.255
250.151,3.919
45.666,1.996	1.127,92.751
97.505,4.159	2.623,226.609
32.731,7.536	0.347,96.753
0.997,99.837
27.229,0.510	1.930,46.590
103.050,0.083
2.498,295.235
107.887,2.245	2.188,140.359
4.425,104.598
229.281,0.836	2.955,55.870
73.659,1.799	1.213,125.056
66.878,2.169	0.949,188.313
29.585,1.081	5.199,89.797
158.704,3.595	1.614,133.852
13.370,1.919	0.141,172.735
154.142,0.157
137.397,6.466	6.933,405.941
64.168,1.387	1.308,111.278
0.057,161.752
770.984,3.079
51.760,0.413	3.809,16.322
115.489,4.929	1.205,453.671
63.349,11.931	0.859,279.109
109.331,0.904	2.625,59.959
83.532,1.237	1.837,7.066
281.335,2.012	6.486,142.685
749.350,4.684	8.289,297.084
77.027,6.407	4.506,333.212
123.025,1.824	1.906,59.619
0.133,166.908
2.135,133.877
23.859,4.318	0.248,62.446
0.614,32.017
293.959,0.963	25.445,85.853
153.349,6.166	4.906,236.219
43.401,1.951	0.476,71.081
180.407,5.034	2.219,302.755
164.870,3.694	8.312,155.806
268.264,9.662
118.503,0.856	1.197,78.215
73.301,0.836
1.475,296.172
48.810,2.237	1.227,64.561
40.447,2.340	0.472,100.023
49.425,3.243
0.596,330.075
163.169,0.444	6.529,39.045
152.060,1.346	1.866,56.091
1.897,101.612
123.097,14.419	3.920,108.901
58.178,6.875	0.842,266.968
38.975,6.243	0.537,124.427
322.540,8.148
106.229,3.861	1.065,97.657
127.963,0.688
104.436,2.316	1.588,187.162
49.157,1.218	0.696,71.512
230.807,0.504	4.463,24.350
111.556,8.203	1.119,180.682
107.070,4.019	2.933,175.427
168.003,3.372	4.873,158.009
0.131,55.608
310.267,0.926	4.431,83.334
2.162,105.811
40.524,1.593	0.785,96.898
268.544,1.774
293.299,1.430
175.280,3.214	2.280,306.573
9.953,5.707	0.644,250.802
113.335,0.238	4.049,17.163
134.255,4.384	1.843,344.494
77.863,2.632	1.378,34.937
310.152,0.684	4.831,32.788
118.429,3.058	1.209,209.468
13.823,6.329
59.523,1.619	2.501,97.809
112.230,1.104	1.937,58.023
78.591,2.865
59.654,2.001	0.704,64.670
32.841,0.340	0.424,27.533
112.810,3.148	1.966,39.058
93.352,3.036	1.340,177.783
111.579,6.206	2.206,157.864
105.964,0.193	8.702,18.212
0.425,111.835
354.993,1.541	4.407,50.915
132.597,10.986	1.499,267.670
62.467,1.059	0.925,66.964
3.943,227.395
95.960,0.508	1.000,31.743
73.339,1.081	10.378,79.550
0.253,67.088
67.815,2.248	1.027,177.780
17.668,8.085	0.732,136.956
79.582,2.134
73.298,5.699	7.140,494.176
9.071,256.836
128.675,1.013	9.629,61.547
1.444,54.525
30.996,3.158	0.695,97.426
13.337,19.709
103.423,0.492	1.262,34.650
28.881,1.075	0.481,96.760
28.881,1.612	1.337,96.760
486.133,1.307
7.173,0.734	0.150,41.850
64.795,3.641	1.469,278.631
114.879,1.659
348.141,0.483
86.289,2.625	0.993,81.787
76.973,2.112	1.229,110.409
5.608,177.559
76.401,0.149	4.642,6.753
64.916,7.096
2.747,159.121
57.395,1.732	2.028,151.782
386.077,1.403
93.760,1.547	2.962,65.055
35.976,16.305	0.627,372.014
0.938,253.356
157.257,0.896	1.812,32.529
6.239,113.705
459.840,1.152
64.667,0.710	2.926,50.079
57.110,8.573	1.453,248.466
35.369,0.285	7.437,26.648
0.015,53.958
180.645,2.334	3.998,171.467
167.876,1.482	5.505,121.866
139.043,11.078	1.888,70.336
58.433,2.359	0.695,192.830
282.071,1.854	3.069,105.829
5.529,5.157
184.688,2.469	2.042,165.331
27.174,2.932	0.314,229.964
35.963,0.459	0.371,23.086
0.360,426.821
36.984,2.466	0.426,130.698
105.402,0.378
107.093,0.884	1.080,23.902
207.904,3.123	3.455,38.790
174.938,0.687	3.046,43.751
24.207,0.154	0.307,7.690
0.797,92.060
137.182,0.971	2.796,27.145
205.126,0.610	2.423,17.591
0.532,441.834
194.586,0.997	4.246,43.069
5.272,26.186
92.475,1.207	10.112,92.538
130.973,1.060	1.430,83.013
89.179,0.957	6.305,67.184
145.777,3.886
2.600,107.926
159.414,0.788	4.192,64.397
284.453,0.836
54.771,2.657	1.071,143.530
1.612,283.894
20.795,2.856	0.260,105.402
0.346,89.064
59.088,6.941	0.645,60.274
0.193,48.973
365.899,12.452	8.132,468.708
68.463,2.184	4.434,187.758
512.312,6.631
70.514,20.249	2.433,66.169
95.328,1.352	1.248,105.162
130.686,7.904	1.931,189.374
8.734,16.203
330.011,1.490	3.913,112.780
235.631,1.477
2.161,81.641
551.981,1.512
59.950,0.306
240.473,6.338	11.509,53.914
0.209,185.444
126.037,8.681	1.331,41.029
0.368,313.347
22.667,0.651	0.493,39.389
327.641,1.049	5.174,91.651
0.455,14.156
3.484,282.712
27.995,0.210	0.438,7.471
0.247,133.476
3.870,32.664
72.402,1.114	0.790,80.925
318.392,1.211	5.662,37.705
108.109,0.474	1.270,44.456
131.351,3.186	2.473,201.025
47.021,3.118	1.080,298.039
150.759,1.144
97.989,5.633	1.227,542.703
36.236,0.072
215.844,0.378	3.950,30.373
291.801,1.710	4.373,78.007
90.639,2.066	1.111,81.526
161.814,1.502	4.663,137.591
2.592,9.979
101.829,2.339	1.073,37.195
43.745,0.471	0.767,38.744
641.788,1.731
65.558,2.521	0.729,198.909
398.027,4.053
0.737,227.816
0.205,75.714
1.536,100.193
53.542,8.906	0.970,198.908
16.493,28.338
0.860,196.930
111.756,0.905	3.269,83.146
4.881,276.864
30.652,1.291	3.534,99.468
0.015,74.298
50.883,0.518	0.672,15.973
0.954,680.483
1.167,486.544
62.098,10.483
31.379,0.914	13.632,56.560
17.412,1.379	0.246,126.014
113.391,3.404	1.365,301.348
113.391,3.404	1.365,301.348
116.817,1.541
482.537,0.880	5.769,16.314
252.582,0.283
154.799,1.143	3.704,31.371
16.948,3.606	0.191,123.757
7.056,311.316
213.895,8.422
465.032,0.657
662.846,4.965	8.030,75.466
1.295,225.065
1.643,353.559
115.603,5.431	13.876,108.719
200.735,1.321	14.547,80.396
0.225,156.786
140.744,1.885	1.637,170.658
131.317,0.682	2.095,66.728
128.535,2.029	1.808,77.313
130.083,2.414	2.002,199.476
90.024,1.520	1.632,128.102
12.975,5.356
3.561,13.944
21.362,3.237	0.264,280.860
116.951,8.235	1.297,197.816
0.261,33.645
0.365,194.948
52.794,0.643	0.570,23.939
217.058,2.578	2.973,34.513
38.077,12.005	1.081,432.217
93.073,0.407	2.972,40.572
1.124,99.426
64.648,6.604	0.808,204.252
102.724,0.499	3.634,43.463
23.589,4.187
338.119,2.922
108.834,0.679	12.010,66.135
3.976,140.776
31.790,2.650	0.529,49.984
118.478,0.562	1.306,31.654
28.893,0.998	0.350,77.546
87.368,2.310	1.094,150.740
241.854,0.085
208.116,0.067
64.331,0.884	1.872,84.957
35.745,1.386	0.891,123.323
66.634,0.320	1.306,24.810
1.077,249.437
232.810,0.226
54.746,0.229	0.623,18.042
50.003,0.568
30.287,1.870	0.316,48.602
0.210,31.189
48.186,0.643	6.241,42.092
31.102,5.642	0.418,112.972
196.979,1.732
61.417,0.067
2.722,129.564
140.360,4.301
1.760,56.908
102.409,2.179	1.938,71.592
53.817,0.445	0.999,41.952
28.836,1.020	0.615,78.721
114.028,2.608
140.378,1.313	1.898,45.986
0.319,172.594
79.944,0.499	1.543,34.195
100.229,2.919	2.132,273.296
161.084,1.542
143.186,1.648	2.752,141.298
0.180,87.298
0.251,87.298
30.567,0.448	0.856,44.473
85.817,0.252	2.495,16.103
105.962,5.440	1.407,226.649
104.077,2.729	1.361,142.868
16.367,125.500
249.792,1.704	4.797,23.307
29.924,0.094	1.196,7.048
1.118,39.816
1.086,335.677
0.642,68.978
52.955,12.499	1.765,359.191
162.191,4.660	4.054,86.669
127.672,5.762	2.416,189.314
161.676,0.827	1.669,63.841
119.174,3.578	1.538,126.193
15.008,3.976	0.304,341.833
7.269,118.580
63.946,6.960	0.767,165.353
0.641,99.994
0.086,70.428
0.084,167.529
0.245,224.105
213.575,1.632
512.017,2.681	8.593,131.460
0.229,141.210
183.688,1.576	5.014,94.886
78.929,0.100	1.050,8.280
385.983,1.257	4.802,100.197
72.773,2.732	0.939,195.996
72.763,1.292	4.259,44.153
103.589,1.495
282.907,1.737	7.051,113.208
51.664,0.429	1.175,27.837
