Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0112-0121-0202,NA,1e-4,1e-4,NA,NA,8-10,3
0112-0121-2020,NA,1e-4,NA,NA,NA,8-10,3
0112-0202-1111-1201-2011,NA,1e-4,NA,NA,NA,8-10,5
0112-0202-2011-2020-2201,NA,1e-4,1e-4,NA,NA,8-10,5
0112-0202-2012-2021,NA,1e-4,1e-4,NA,NA,8-10,4
0112-0202-2020-2200,NA,2e-4,NA,NA,NA,8-10,4
0112-1120-2020,NA,1e-4,NA,NA,NA,8-10,3
0120-0202-0210,NA,1e-4,NA,NA,NA,8-10,3
0120-0202-2002-2020,NA,1e-4,NA,NA,NA,8-10,4
0120-0210-2020,NA,2e-4,NA,NA,NA,8-10,3
0121-0202-0211-1021-2020,NA,1e-4,NA,NA,NA,8-10,5
0121-0202-0211-2002-2020,NA,1e-4,NA,NA,NA,8-10,5
0121-0202-0211-2021,NA,1e-4,NA,NA,NA,8-10,4
0121-0202-1120-1200-2020,NA,1e-4,3e-4,NA,NA,8-10,5
0121-0202-2002-2020,NA,1e-4,NA,NA,NA,8-10,4
0121-0211-1120-1210-2020,NA,1e-4,NA,NA,NA,8-10,5
0121-1120,NA,1e-4,NA,NA,NA,8-10,2
0122-0202-1022-2020-2210,NA,1e-4,NA,NA,NA,8-10,5
0122-0202-1022-2021,NA,4e-4,1e-4,NA,NA,8-10,4
0122-0202-1120-1200-2020,NA,1e-4,NA,NA,NA,8-10,5
0122-0202-1120-1201-2020,NA,3e-4,1e-4,NA,NA,8-10,5
0122-0202-1120-1210,NA,1e-4,1e-4,NA,NA,8-10,4
0122-0202-1121-2021,NA,2e-4,1e-4,NA,NA,8-10,4
0122-0202-2020-2200,NA,1e-4,NA,NA,NA,8-10,4
0122-0202-2022,NA,1e-4,2e-4,NA,NA,8-10,3
0122-0212,NA,4e-4,1e-4,NA,NA,8-10,2
0122-0212-1120-1210-2020,NA,1e-4,NA,NA,NA,8-10,5
0122-0212-1120-2020,NA,2e-4,NA,NA,NA,8-10,4
0201-0210-2020,NA,1e-4,1e-4,NA,NA,8-10,3
0201-0220,NA,1e-4,1e-4,NA,NA,8-10,2
0201-1200-2010,NA,1e-4,NA,NA,NA,8-10,3
0201-2020-2100,NA,3e-4,2e-4,NA,NA,8-10,3
0202-0210-1102-2020-2101-2110,NA,1e-4,NA,NA,NA,8-10,6
0202-0210-2020-2102-2110,NA,3e-4,NA,NA,NA,8-10,5
0202-0211-1021,NA,1e-4,NA,NA,NA,8-10,3
0202-0211-1021-2020-2210,NA,2e-4,2e-4,NA,NA,8-10,5
0202-0211-2020-2102-2110,NA,1e-4,1e-4,NA,NA,8-10,5
0202-0220-2012-2020-2102,NA,1e-4,NA,NA,NA,8-10,5
0202-0221-1002-1021-2020,NA,1e-4,1e-4,NA,NA,8-10,5
0202-0221-1021-1102-2020,NA,3e-4,1e-4,NA,NA,8-10,5
0202-0221-1220-2012-2020-2102,NA,1e-4,NA,NA,NA,8-10,6
0202-0221-1220-2120,NA,3e-4,NA,NA,NA,8-10,4
0202-1002-1011,NA,1e-4,NA,NA,NA,8-10,3
0202-1002-1021,NA,1e-4,NA,NA,NA,8-10,3
0202-1002-2001-2010,NA,1e-4,NA,NA,NA,8-10,4
0202-1012-1102-2011-2020-2101,NA,4e-4,2e-4,NA,NA,8-10,6
0202-1021-1102,NA,1e-4,NA,NA,NA,8-10,3
0202-1021-2020-2200,NA,1e-4,2e-4,NA,NA,8-10,4
0202-1022-1102,NA,1e-4,1e-4,NA,NA,8-10,3
0202-1022-1102-2020-2101,NA,2e-4,NA,NA,NA,8-10,5
0202-1022-1102-2020-2101-2110,NA,1e-4,NA,NA,NA,8-10,6
0202-1102-2110,NA,1e-4,NA,NA,NA,8-10,3
0202-1120-1201-1210-2020,NA,1e-4,NA,NA,NA,8-10,5
