Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
0122-0202-1120-1201-2020,1e-4,NA,NA,NA,NA,1-10,5
0122-0202-1120-2020,1e-4,NA,2e-4,NA,NA,1-10,4
0122-0202-1121-2021,1e-4,NA,NA,NA,NA,1-10,4
0122-0202-2020,0.0028,0.0026,0.0022,0.002533333333333333,3.0550504633038926e-4,1-10,3
0122-0202-2021,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0122-0212-1120-2020,1e-4,NA,NA,NA,NA,1-10,4
0122-0212-2020,2e-4,3e-4,6e-4,3.666666666666666e-4,2.0816659994661325e-4,1-10,3
0122-1120-2020,1e-4,NA,NA,NA,NA,1-10,3
0200,3e-4,NA,4e-4,NA,NA,1-10,1
0200-2000,1e-4,NA,NA,NA,NA,1-10,2
0200-2010,1e-4,1e-4,NA,NA,NA,1-10,2
0200-2020,0.0031,0.0022,0.0027,0.0026666666666666666,4.509249752822893e-4,1-10,2
0200-2020-2100,2e-4,3e-4,4e-4,3.0000000000000003e-4,1e-4,1-10,3
0201,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,1
0201-0210-2020,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0201-0220-2020,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0201-0220-2101-2120,1e-4,NA,NA,NA,NA,1-10,4
0201-1021-2020,1e-4,NA,NA,NA,NA,1-10,3
0201-1120-1200-2020,1e-4,NA,1e-4,NA,NA,1-10,4
0201-1200,2e-4,1e-4,NA,NA,NA,1-10,2
0201-1200-2020,4e-4,3e-4,3e-4,3.333333333333333e-4,5.7735026918962605e-5,1-10,3
0201-2000,1e-4,NA,NA,NA,NA,1-10,2
0201-2020,0.0042,0.0049,0.0051,0.004733333333333333,4.725815626252611e-4,1-10,2
0201-2020-2100,3e-4,6e-4,5e-4,4.6666666666666666e-4,1.5275252316519465e-4,1-10,3
0201-2020-2200,2e-4,3e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,1-10,3
0202,0.0423,0.0469,0.0474,0.04553333333333333,0.0028112867753634337,1-10,1
0202-0210,0.001,0.0013,0.001,0.0011,1.7320508075688767e-4,1-10,2
0202-0210-1002-2020,4e-4,1e-4,1e-4,2e-4,1.7320508075688773e-4,1-10,4
0202-0210-1020,4e-4,6e-4,7e-4,5.666666666666667e-4,1.5275252316519465e-4,1-10,3
0202-0210-1102-2020-2110,3e-4,2e-4,NA,NA,NA,1-10,5
0202-0210-2001-2020,1e-4,3e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1-10,4
0202-0210-2010,1e-4,NA,NA,NA,NA,1-10,3
0202-0210-2020,0.0217,0.02,0.0211,0.020933333333333335,8.621678104251709e-4,1-10,3
0202-0210-2020-2101-2110,1e-4,NA,3e-4,NA,NA,1-10,5
0202-0210-2020-2102-2110,2e-4,NA,NA,NA,NA,1-10,5
0202-0210-2020-2110,0.0034,0.0031,0.0031,0.0031999999999999997,1.7320508075688767e-4,1-10,4
0202-0211,6e-4,2e-4,5e-4,4.333333333333333e-4,2.0816659994661325e-4,1-10,2
0202-0211-1002-1021-2020,2e-4,NA,1e-4,NA,NA,1-10,5
0202-0211-1021-1102-1111-2020-2110,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,7
0202-0211-1021-2020,0.0011,0.0011,0.0011,0.0011,0,1-10,4
0202-0211-1021-2020-2210,1e-4,NA,1e-4,NA,NA,1-10,5
0202-0211-1102-1111-2110,1e-4,NA,NA,NA,NA,1-10,5
0202-0211-1210-2020,3e-4,8e-4,4e-4,5e-4,2.645751311064591e-4,1-10,4
0202-0211-2020,0.0023,0.003,0.0025,0.0026,3.60555127546399e-4,1-10,3
0202-0211-2020-2110,8e-4,9e-4,4e-4,7e-4,2.6457513110645904e-4,1-10,4
0202-0211-2020-2210,2e-4,1e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0202-0220,0.001,6e-4,0.0014,0.001,4e-4,1-10,2
0202-0220-1020,3e-4,3e-4,NA,NA,NA,1-10,3
0202-0220-2012-2020,1e-4,1e-4,NA,NA,NA,1-10,4
0202-0220-2012-2020-2102,1e-4,NA,NA,NA,NA,1-10,5
0202-0220-2020,0.0105,0.0117,0.0095,0.010566666666666667,0.0011015141094572207,1-10,3
0202-0220-2020-2101,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0202-0220-2120,5e-4,8e-4,5e-4,6.000000000000001e-4,1.7320508075688773e-4,1-10,3
0202-0221,4e-4,4e-4,5e-4,4.3333333333333337e-4,5.773502691896257e-5,1-10,2
0202-0221-1021-2020,1e-4,3e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1-10,4
0202-0221-1220,1e-4,NA,NA,NA,NA,1-10,3
0202-0221-1220-2020,3e-4,6e-4,5e-4,4.6666666666666666e-4,1.5275252316519465e-4,1-10,4
0202-0221-2020,0.0034,0.0034,0.0029,0.0032333333333333333,2.886751345948129e-4,1-10,3
0202-0221-2120,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0202-1002,0.0012,0.0015,0.0011,0.0012666666666666666,2.0816659994661328e-4,1-10,2
0202-1002-1011-2010,1e-4,NA,NA,NA,NA,1-10,4
0202-1002-1021-2020,0.0026,0.0029,0.0024,0.002633333333333333,2.5166114784235834e-4,1-10,4
0202-1002-2000,5e-4,2e-4,3e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,3
0202-1002-2001,1e-4,1e-4,NA,NA,NA,1-10,3
0202-1002-2001-2020,0.003,0.003,0.0034,0.0031333333333333335,2.3094010767585018e-4,1-10,4
0202-1002-2010,4e-4,5e-4,4e-4,4.3333333333333337e-4,5.773502691896257e-5,1-10,3
0202-1002-2020,0.0203,0.0191,0.023,0.0208,0.0019974984355438184,1-10,3
0202-1011,1e-4,1e-4,NA,NA,NA,1-10,2
0202-1012,8e-4,6e-4,1e-4,5e-4,3.6055512754639893e-4,1-10,2
0202-1012-1020-1102,1e-4,NA,NA,NA,NA,1-10,4
0202-1012-1021-1102-2020,3e-4,NA,NA,NA,NA,1-10,5
0202-1012-1021-2020,5e-4,8e-4,0.0011,8e-4,3.0000000000000003e-4,1-10,4
0202-1012-1102-2020,7e-4,0.001,0.0018,0.0011666666666666665,5.686240703077326e-4,1-10,4
0202-1012-1102-2020-2100,3e-4,3e-4,NA,NA,NA,1-10,5
0202-1012-2011-2020,3e-4,6e-4,0.0013,7.333333333333332e-4,5.131601439446884e-4,1-10,4
0202-1012-2020,0.0092,0.0094,0.0085,0.009033333333333334,4.725815626252606e-4,1-10,3
0202-1012-2020-2200,2e-4,NA,NA,NA,NA,1-10,4
0202-1020,0.0057,0.0053,0.0044,0.0051333333333333335,6.658328118479392e-4,1-10,2
0202-1020-1210,1e-4,NA,NA,NA,NA,1-10,3
0202-1021,0.0011,8e-4,7e-4,8.666666666666667e-4,2.081665999466133e-4,1-10,2
0202-1021-1102-2020,6e-4,6e-4,0.001,7.333333333333333e-4,2.3094010767585034e-4,1-10,4
0202-1021-1102-2020-2100,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,5
0202-1021-2020,0.0024,0.0033,0.0031,0.0029333333333333334,4.7258156262526096e-4,1-10,3
0202-1022,1e-4,2e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,2
0202-1022-1102,2e-4,NA,NA,NA,NA,1-10,3
0202-1022-1102-2020,4e-4,1e-4,1e-4,2e-4,1.7320508075688773e-4,1-10,4
0202-1022-1102-2020-2110,1e-4,1e-4,1e-4,1e-4,0,1-10,5
0202-1022-1102-2021-2101,1e-4,NA,NA,NA,NA,1-10,5
0202-1022-2020,0.0032,0.0026,0.0029,0.0029,3.0000000000000014e-4,1-10,3
0202-1022-2021,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0202-1102,6e-4,6e-4,5e-4,5.666666666666666e-4,5.7735026918962544e-5,1-10,2
0202-1102-2010-2100,1e-4,1e-4,NA,NA,NA,1-10,4
0202-1102-2020,0.0036,0.0037,0.0031,0.0034666666666666665,3.2145502536643194e-4,1-10,3
0202-1102-2020-2100,0.0022,0.0022,0.003,0.002466666666666667,4.6188021535170057e-4,1-10,4
0202-1102-2020-2101,0.001,0.0012,7e-4,9.666666666666667e-4,2.516611478423583e-4,1-10,4
0202-1102-2020-2101-2110,1e-4,NA,NA,NA,NA,1-10,5
0202-1102-2020-2110,0.0012,4e-4,6e-4,7.333333333333332e-4,4.163331998932265e-4,1-10,4
0202-1102-2100,4e-4,4e-4,2e-4,3.333333333333334e-4,1.1547005383792516e-4,1-10,3
0202-1102-2101,1e-4,NA,2e-4,NA,NA,1-10,3
0202-1102-2101-2110,1e-4,NA,NA,NA,NA,1-10,4
0202-1110-1200-2010,1e-4,NA,NA,NA,NA,1-10,4
0202-1111-2020,3e-4,2e-4,5e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,3
0202-1120,5e-4,7e-4,4e-4,5.333333333333334e-4,1.5275252316519465e-4,1-10,2
0202-1120-1200,2e-4,1e-4,NA,NA,NA,1-10,3
0202-1120-1200-2020,0.0028,0.0032,0.0029,0.0029666666666666665,2.081665999466134e-4,1-10,4
0202-1120-1201-1210-2020,2e-4,4e-4,NA,NA,NA,1-10,5
0202-1120-1201-2001-2020,1e-4,NA,3e-4,NA,NA,1-10,5
