1.944,2.909	148.091,0.045	0.039,285.739
0.776,0.454	69.858,0.017	0.014,35.063
215.504,1.035	0.066,65.071
0.566,2.088	0.009,54.627
5.392,0.021	48.985,0.021	0.063,92.724
0.755,0.623	66.439,0.008	0.046,18.396
44.576,0.043	44.576,2.894	0.010,176.166
1.674,0.021	147.063,0.021	0.093,93.006
73.766,0.156	0.043,275.501	3.056,275.501
167.859,0.403	0.080,169.326
5.260,1.992	147.134,0.031	0.059,34.680
3.935,1.095	305.679,0.087	0.376,95.525	29.187,7.592
0.738,1.110	69.020,0.020	0.036,80.696	3.336,80.696
83.600,0.051	83.600,2.386	0.774,126.414
46.120,0.030	0.191,2.137	0.191,172.936
65.650,0.451	0.027,547.152
0.794,1.012	70.510,0.142	0.025,33.764	2.240,33.764
51.446,0.023	0.016,161.732
0.962,1.964	15.420,0.028	0.018,92.027
75.645,0.087	0.217,207.289
2.032,0.910	152.251,0.010	0.042,73.201
0.987,0.588	93.456,0.027	0.095,54.518
52.397,0.059	0.079,58.526
2.718,1.171	258.701,0.104	0.038,96.712
0.711,0.007	59.898,0.007	0.010,25.383
38.027,0.018	0.009,1.749	0.009,126.481
2.159,1.778	194.932,0.042	194.932,3.902	0.084,165.677
125.579,0.665	0.766,91.832
152.494,0.002
48.327,0.169	0.016,2.923	0.016,182.221
0.012,78.728
3.010,0.007	142.249,0.007	0.038,33.752
3.595,0.032	266.148,0.032	0.039,105.581
42.320,0.064	0.201,3.490	0.201,33.182
113.193,1.273	0.137,684.143
73.861,0.237	0.068,9.968
165.036,0.155	0.102,199.057	4.620,199.057
1.364,1.106	100.392,0.029	0.160,17.068
1.567,3.123	91.929,0.041	0.143,281.999
1.043,0.766	64.019,0.017	0.041,53.828
97.773,0.078	0.757,167.351	6.543,5.428
0.030,3.667	0.001,118.140
2.211,0.981	167.655,0.015	0.029,24.690
2.510,0.484	215.161,0.013	0.065,27.352	5.534,27.352
0.223,1.655	14.444,0.052	0.033,53.955
490.173,0.326	0.491,71.132
1.422,0.310	92.142,0.310	0.019,185.203
0.016,121.052
0.002,123.835
278.797,0.035	3.096,22.594
4.011,0.153	150.817,0.153	0.077,177.118
1.812,3.459	25.114,0.052	0.088,227.076
82.664,0.030	0.033,144.919	1.390,144.919
231.209,0.387	4.783,96.145	6.155,96.145
37.413,0.016	0.181,66.598
0.194,36.648
1.080,5.142	47.248,0.069	0.013,290.164
6.659,0.036	572.272,0.036	6.659,3.465	572.272,3.465	0.155,99.919
75.937,0.005	75.937,0.438	0.040,40.640
69.498,0.046	69.498,0.704	0.023,48.611
139.350,0.046	0.079,1.883	0.079,68.165
52.596,0.080	52.596,1.510
1.562,1.173	91.191,0.056	91.191,2.312	0.036,48.095
1.434,0.707	106.012,0.007	0.020,68.614
102.486,0.183	0.993,139.633
1.572,0.053	71.024,0.001
363.744,0.012	0.574,20.739
32.427,0.076	0.037,2.279	2.354,2.279	0.037,161.249	2.354,161.249
725.559,0.062	0.902,165.288
33.638,0.021	0.045,93.556
1.377,2.411	39.692,0.432	0.047,238.840
146.813,0.008	0.037,40.549	1.969,40.549
0.666,0.131	25.827,0.010	0.007,12.133
0.772,74.333
123.888,0.007	0.168,33.489	2.392,33.489
261.876,0.025	0.202,106.804
2.757,0.627	217.085,0.006	0.049,52.055
102.904,0.085	0.059,6.438	5.571,6.438	0.059,463.425	5.571,463.425
2.002,0.031	126.973,0.031	0.107,1.074	0.107,66.554
0.026,171.340
61.620,0.078	0.030,2.960	1.234,2.960	0.030,291.637	1.234,291.637
61.399,0.075	61.399,4.706	0.078,78.932
80.086,0.013	0.211,50.505
48.852,1.415	0.008,418.529
1.675,2.341	80.789,0.030	0.020,173.076
98.380,0.009	0.023,60.554
2.807,1.054	29.885,0.041	29.885,3.788	0.039,98.348
138.750,0.180	3.467,120.037
78.545,0.166	78.545,9.640	0.240,269.281
259.847,0.005	0.110,27.150
170.153,0.023	0.157,178.382
101.916,0.038	0.025,58.692	1.790,58.692
191.739,0.107	0.094,1.742	0.094,151.012
137.636,0.020	137.636,1.520	0.048,113.981
0.449,1.892	11.634,0.070	0.006,95.454
46.475,0.178	0.015,288.252
1.673,1.947	32.225,1.866	0.037,104.690
15.418,0.026	15.418,1.415	0.211,92.202
2.722,0.191	193.163,0.003	0.034,13.765
2.707,0.448	219.124,0.007	0.084,20.178
1.436,2.410	121.755,0.024	0.026,168.533
112.542,0.064	0.036,132.031	1.276,132.031
2.748,2.303	62.233,0.036	0.047,75.640
20.790,0.050	0.034,3.449	0.034,82.600
103.833,0.042	0.079,185.961	5.074,185.961
1.192,0.494	71.079,0.007	0.063,36.418	3.773,36.418
1.863,6.824	89.316,0.075	0.391,137.249
46.988,0.029	0.187,74.195
5.147,3.588	59.456,0.037	0.069,281.276
160.074,0.924	0.029,155.060
127.264,0.014	0.193,1.324	0.193,103.853
1.617,0.837	113.612,0.011	0.031,37.905
0.212,0.487	0.002,21.663
42.637,0.021	0.005,172.216	0.455,172.216
60.804,2.973	0.280,20.140
97.352,0.145	0.042,4.004	0.042,119.310
183.544,0.035	0.271,1.627	7.055,1.627	0.271,154.748	7.055,154.748
0.931,1.478	71.327,0.016	0.011,71.212
79.657,0.384	0.063,35.982
0.001,489.599
100.558,0.596	0.153,43.627	14.263,29.043
2.489,0.957	159.228,0.027	0.039,25.411
135.886,0.225	0.106,7.788	0.106,565.016
104.439,0.049
474.330,0.033	0.357,106.755
50.961,0.060	0.013,1.795	0.013,87.097
343.654,0.022	0.247,46.412
358.199,0.030	0.269,170.449	9.013,170.449
56.841,0.033	0.041,77.573
1.851,0.017	170.007,0.017	0.022,79.323
70.735,0.016	0.016,0.792	0.870,0.792	0.016,68.779	0.870,68.779
2.461,1.807	149.876,0.022	0.083,165.071
0.327,1.362	22.991,0.016	0.007,96.268
130.967,0.136	37.879,11.735
0.009,226.650
2.666,0.718	99.428,0.036	0.168,21.372
2.904,0.952	143.758,0.952	0.034,697.915
127.251,0.025	0.388,44.436
0.650,0.379	48.981,0.009	0.009,17.364
2.436,4.142	177.564,0.094	0.057,117.645
0.280,5.911	17.980,4.541	0.006,236.297
0.905,0.456	46.778,0.008	0.015,23.687
139.826,0.006	0.057,25.776
3.660,0.005	118.338,0.005	0.053,10.860
102.908,0.003
44.154,0.179	0.083,235.213
24.526,0.146	24.526,3.445	0.007,340.879
1.302,1.804	99.699,0.020	0.026,179.505
3.013,0.004	150.413,0.004	0.088,32.750
2.345,1.319	177.141,0.017	0.023,107.113
2.543,0.605	180.552,0.017	0.076,31.506	5.410,31.506
0.060,0.807	3.677,0.807	0.001,28.152
176.954,0.022	0.137,155.843
66.130,0.649	66.130,2.646	0.008,91.730
99.102,0.013	0.087,0.990	6.911,0.990	0.087,95.432	6.911,95.432
1.091,0.689	66.459,0.008	0.020,24.016
1.708,1.382	60.556,0.039	0.042,96.879
6.681,0.090	37.868,0.090	0.067,68.078
47.207,0.567	0.007,115.476
137.535,0.204	0.024,222.163	2.122,222.163
311.871,2.582	0.040,173.603	3.728,173.603
96.061,0.070	0.024,2.429	0.024,38.454
99.931,0.009	0.075,0.862	0.075,81.522
160.160,0.369	1.006,28.645	6.217,28.645
32.672,0.042	0.075,105.494
60.677,0.213	0.008,158.583
1.686,0.163	123.408,0.163	1.686,6.554	123.408,6.554	0.026,69.819
6.214,0.094	197.552,0.094	6.104,3.999	194.050,3.999
542.079,0.019	0.291,54.859
110.532,0.014
4.312,2.081	0.088,34.994
63.285,0.024	0.009,1.018	0.009,97.234
1.294,1.657	84.835,0.056	0.096,115.541
42.285,0.365	0.009,273.271
306.929,0.004	0.058,36.023
68.040,0.442	0.008,82.702
57.090,1.261	57.090,2.506	0.038,127.092
56.307,0.412	0.077,76.991
542.559,0.029	0.077,108.494
134.402,0.003	0.492,17.551
4.989,0.793	122.530,0.025	0.071,72.044
166.467,0.322	0.947,82.934
1.180,0.911	63.002,0.015	0.015,78.986
58.508,0.060	0.027,5.784	0.027,159.755
62.157,0.200	0.019,172.385
2.146,1.083	174.817,0.012	0.043,89.951
282.080,0.134	0.053,46.896
1.683,0.545	92.993,0.008	0.033,38.292
2.839,0.138	65.384,0.018	0.053,11.718
0.663,0.544	48.569,0.425	0.007,46.663
356.091,0.058	0.072,1.473	0.072,102.949
18.155,6.943	0.019,171.535
5.906,0.017	534.550,0.017	0.065,100.487
245.977,0.031	245.977,2.340	0.311,130.573
0.948,2.194	90.047,0.032	0.014,206.058
129.112,0.039	1.124,174.977	36.326,2.815
139.825,2.290	0.021,71.992
0.740,0.372	47.125,0.009	0.039,22.167	2.485,22.167
67.876,1.897	0.050,406.766
4.892,0.038	183.554,0.038	0.108,1.859	0.108,78.480
305.324,0.086	1.214,232.895
4.313,1.481	202.780,0.018	0.267,80.143
198.166,0.054	0.538,447.871
0.303,0.868	17.344,0.016	0.004,57.898
144.809,0.055	1.272,126.352
73.581,0.017	0.015,95.533
0.274,0.461	14.286,0.007	0.011,24.834
0.152,0.157	7.978,0.002	0.002,10.038
404.168,0.012
0.337,1.687	21.535,0.030	0.016,103.055
244.830,0.019	0.351,0.837	0.351,74.819
1.255,0.410	115.872,0.410	0.066,8.244	0.066,126.026
40.683,0.310	0.005,242.718
