parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2092,3,1001-1003-1303,1003,1001-1003-1303,3,0.24,7.56464,-3.044276,-0.550627,7.534233,0.24
2093,1,0303,0303,0303,1,1,1.739075,10.938515,-4.278876,6.388723,1
2094,4,0303-0310-1003-1010,0310,0303-1003-1010,4,0.23,-0.082055,1.366592,1.612118,0.518447,0.23
2094,4,0303-0310-1003-1010,1003,0303-1003-1010,4,0.14,6.240249,-3.2023,-1.157481,6.95657,0.14
2094,4,0303-0310-1003-1010,0303,0303-1003-1010,4,0.19,-0.082053,9.098351,-4.87439,6.95657,0.19
2094,4,0303-0310-1003-1010,1010,0303-1003-1010,4,0.44,6.240249,-15.68954,5.329027,0.518444,0.44
2095,3,0301-0303-1011,1011,0301-0303-1011,3,0.14,6.213775,-6.995813,4.607898,1.809509,0.14
2095,3,0301-0303-1011,0303,0301-0303-1011,3,0.57,-0.084233,10.211952,-6.177242,8.301186,0.57
2095,3,0301-0303-1011,0301,0301-0303-1011,3,0.29,-0.084233,10.14615,-0.221891,1.809507,0.29
2096,3,0303-1010-1013,0303,0303-1010-1013,3,0.12,-1.830855,10.816564,-4.563009,6.080579,0.12
2096,3,0303-1010-1013,1010,0303-1010-1013,3,0.77,4.243863,-12.948729,7.359022,-0.206754,0.77
2096,3,0303-1010-1013,1013,0303-1010-1013,3,0.11,4.243863,-7.006337,1.262281,6.080579,0.11
2097,2,0310-1010,1010,0310-1010-1210,2,0.26,6.048405,-4.375178,8.536736,-3.919489,0.26
2097,2,0310-1010,0310,0310-1010-1210,2,0.74,-0.102191,3.208006,2.981861,-3.919489,0.74
2098,4,0303-0310-1003-1010,0310,0303-1003-1010,4,0.21,2.409692,1.251933,1.419533,1.249098,0.21
2098,4,0303-0310-1003-1010,1003,0303-1003-1010,4,0.15,6.994301,-1.644542,1.217311,7.225682,0.15
2098,4,0303-0310-1003-1010,1010,0303-1003-1010,4,0.29,6.994301,-13.793075,7.207261,1.249098,0.29
2098,4,0303-0310-1003-1010,0303,0303-1003-1010,4,0.35,2.409692,11.107673,-4.570417,7.225682,0.35
2099,5,0300-0303-1010-1013-1103,0303,0300-0303-1010-1013-1103-1200,5,0.14,3.285825,10.574243,-5.871563,8.053214,0.14
