parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2202,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.31,-0.729482,3.284583,-1.846471,0.593695,0.31
2202,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.51,4.603156,-13.918371,4.156901,0.593695,0.51
2202,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.13,-0.729482,9.140901,-7.179278,6.102405,0.13
2202,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.05,4.603156,-2.289443,-1.175905,6.102405,0.05
2203,1,0303,0303,0303,1,1,-1.816751,11.169744,-6.236558,6.83761,1
2204,2,1010-1303,1303,1010-1303,2,0.59,3.351711,6.758637,-5.127493,7.366635,0.59
2204,2,1010-1303,1010,1010-1303,2,0.41,8.042949,-10.024447,5.500904,1.419095,0.41
2205,3,0301-0303-1101,0301,0301-0303-1001-1101,3,0.14,0.87232,3.997869,-8.941333,3.392737,0.14
2205,3,0301-0303-1101,1101,0301-0303-1001-1101,3,0.28,6.689345,-1.065888,-2.5266,3.392737,0.28
2205,3,0301-0303-1101,0303,0301-0303-1001-1101,3,0.58,0.87232,10.238462,-8.956487,5.114098,0.58
2206,3,0303-1010-1013,0303,0303-1010-1013,3,0.12,0.897471,9.280078,-4.342407,7.399769,0.12
2206,3,0303-1010-1013,1013,0303-1010-1013,3,0.16,6.864733,-6.068591,2.241177,7.399769,0.16
