0.006,454.396
188.846,4.212	0.035,51.731
0.071,87.559	5.034,8.974
139.736,0.150
1.334,1.963	128.349,1.963	0.022,53.945
39.135,0.937	0.006,23.425
0.096,101.247	7.468,1.839
1.296,0.583	53.675,0.583	0.414,44.200
635.860,3.773
61.134,1.302	0.148,84.957
111.079,7.646	0.705,726.965
70.892,1.100	0.035,58.023
588.617,11.463
138.401,1.338	0.041,105.879
0.096,11.211	9.358,1.292
270.557,2.207	0.292,53.231
0.518,298.771	6.317,16.206
66.266,1.836	0.026,174.716
0.008,125.009
42.997,5.148	0.034,112.501
0.008,295.955
97.182,3.550	0.086,131.018
73.271,2.115	0.089,64.662	1.277,64.662
7.271,1.596	0.002,88.486
0.170,322.208	13.835,13.786
151.336,0.217	0.045,9.696
94.702,5.268
0.132,144.570	3.843,16.897
1.604,1.323	125.281,1.323	0.091,92.388
0.014,347.853
420.952,0.777	0.170,34.707
0.019,493.355
0.006,339.257
0.017,116.241
104.891,6.634	0.053,129.549
157.591,4.740	0.030,201.087	2.000,201.087
860.057,0.214	0.396,20.496
100.139,0.555	0.099,52.750	2.080,52.750
259.965,3.245
39.202,7.033	0.193,225.244
2.261,1.307	93.034,1.307	0.062,113.901
57.009,1.505	0.016,107.383
158.667,1.102	0.088,67.695
94.674,0.332
335.159,1.335	0.628,63.130
70.945,4.611	0.027,159.207
173.018,9.524	0.048,110.468
125.200,1.206	0.083,46.291
59.775,0.208	0.024,20.388
210.073,3.624	0.134,105.981
0.026,250.905
107.744,17.813	0.040,101.051	1.808,101.051
334.773,1.660	0.120,106.457
39.709,1.889	0.013,120.689
0.021,17.486	1.519,17.486
0.150,326.665	4.534,6.946
73.862,0.564	0.060,38.780	1.436,38.780
31.395,24.374
270.575,4.907	0.531,423.210
15.723,1.647	0.059,107.355
0.025,175.238
151.418,5.299
6.294,3.830	0.003,139.645
16.822,2.075	0.018,191.880
2.198,0.171	32.671,0.171	0.037,10.090
259.742,4.142
0.016,84.654	1.249,84.654
