ParIndex,GRHL2,ZEB,miR200,SLUG,Count
129,516.856,0.036,27.898,137.739,1
130,124.504,0.001,62.713,0.581,1
131,17.607,238.313,1.256,29.104,1
131,326.795,0,87.942,0.308,1
131,326.795,0.001,87.261,29.104,2
132,14.565,57.995,0.072,78.919,1
132,75.32,0,111.207,1.51,1
132,75.32,0.019,3.956,78.919,2
133,41.593,0.002,99.793,0.196,1
134,0.7,860.617,0.018,321.285,3
135,0.862,277.313,0.323,55.43,1
135,71.214,0,131.059,1.22,1
135,71.214,0.01,2.904,55.43,1
136,0.611,170.749,0.184,118.138,1
136,60.718,0,94.336,1.556,1
136,60.718,0.165,2.123,118.138,1
137,1.61,61.442,5.084,1.713,2
137,67.241,0.001,362.508,1.713,1
138,1.815,2.732,2.535,133.615,2
138,1.815,184.025,0.108,133.615,2
138,66.724,0.01,2.713,133.615,2
139,4.163,1560.988,0.024,78.305,2
139,138.791,0.001,66.155,1.342,1
140,255.612,0,73.884,0.224,2
141,25.313,113.174,0.002,253.298,1
141,465.561,0,13.785,11.916,1
142,2.844,1117.096,0.136,206.034,1
142,242.67,0.273,4.265,206.034,1
143,0.585,388.942,0.35,246.862,1
143,55.826,0,493.859,8.182,1
143,55.826,0.004,19.35,246.862,1
144,5.324,91.592,0.625,0.747,3
144,351.759,0.031,2.298,0.747,2
145,1.106,701.621,0.035,15.76,1
145,1.106,3920.857,0.035,108.981,1
146,2.254,79.532,0.694,0.615,1
146,2.254,79.543,0.694,7.152,1
146,145.887,0.005,10.41,0.615,1
146,145.887,0.005,10.41,7.152,1
147,80.778,0,525.096,0.524,1
148,0.225,158.345,1.376,0.778,3
149,3.341,568.653,1.548,90.166,1
149,130.184,0.001,792.585,1.558,2
149,130.184,0.026,8.45,90.166,1
150,0.181,643.812,0.024,68.223,1
151,4.582,9.006,2.108,0.78,2
151,140.662,0.001,151.566,0.78,2
152,0.837,1362.749,0.038,81.044,1
152,0.838,20.44,1.438,0.899,1
152,71.608,0.547,1.002,81.044,1
152,71.796,0,38.154,0.899,1
153,0.632,38.435,0.543,7.091,1
153,0.632,616.729,0.07,89.886,1
153,32.518,0.005,10.487,7.091,2
154,3.681,405.729,0.026,302.911,2
154,350.893,0.012,1.208,302.911,2
155,0.074,139.94,0.03,345.431,1
155,7.262,0.001,75.534,12.377,2
156,1.854,48.208,0.282,1.068,1
