parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
5373,3,0010-0110-0303,0303,0010-0110-0300-0303,3,1,4.043,962.586,0.619,146.522,1
5373,3,0010-0110-0303,0110,0010-0110-0300-0303,3,1,7.04,4.106,42.746,5.539,1
5374,1,0303,0303,0303-1003-1010,1,0.5,0.941,709.584,0.027,598.268,0.5
5375,1,0303,0303,0300-0303-1010,1,0.6,2.09,1572.457,0.02,201.53,0.6
5376,1,1010,1010,1010,1,0.3333333333333333,16.248,0,131.14,0.069,0.3333333333333333
5377,3,0313-1011-1013,0313,0213-0313-1011-1013,3,2,0.962,143.624,4.458,569.847,2
5377,3,0313-1011-1013,1013,0213-0313-1011-1013,3,0.25,41.555,0.082,82.645,569.847,0.25
5377,3,0313-1011-1013,1011,0213-0313-1011-1013,3,0.5,41.555,0.036,82.645,7.195,0.5
5378,3,0303-1010-1013,1010,0303-1003-1010,3,0.2,72.509,0,124.065,0.92,0.2
5378,3,0303-1010-1013,0303,0303-1003-1010,3,0.16666666666666666,0.979,995.319,0.393,81.36,0.16666666666666666
5378,3,0303-1010-1013,1013,0303-1003-1010,3,0.3333333333333333,72.509,0.003,11.08,81.36,0.3333333333333333
5379,3,0313-1010-1013,0313,0303-1010-1013,3,1,0.362,24.298,0.211,115.894,1
5379,3,0313-1010-1013,1010,0303-1010-1013,3,0.5,34.202,0.005,35.165,3.662,0.5
5379,3,0313-1010-1013,1013,0303-1010-1013,3,0.25,34.202,0.163,5.131,115.894,0.25
5380,2,0303-1013,0303,0303-1013-1103,2,0.3333333333333333,0.666,6750.837,0.308,275.449,0.3333333333333333
5380,2,0303-1013,1013,0303-1013-1103,2,0.2,62.179,0.241,7.036,275.449,0.2
5381,3,0010-0110-0303,0110,0010-0013-0110-0303,3,0.5,21.325,0.612,243.117,4.542,0.5
5381,3,0010-0110-0303,0010,0010-0013-0110-0303,3,1,21.325,0.008,243.117,4.542,1
5381,3,0010-0110-0303,0303,0010-0013-0110-0303,3,0.6666666666666666,0.268,2452.697,0.051,99.379,0.6666666666666666
5382,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.16666666666666666,2.414,9.872,1.201,4.568,0.16666666666666666
5382,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.2,121.492,0.003,68.373,4.568,0.2
5382,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.3333333333333333,121.492,0.513,1.909,228.418,0.3333333333333333
