Phase,Count,Frequency
0303-1012-1013,1,1.0066438494060802e-4
0303-1013,538,0.054157439098047114
0303-1013-1103,7,7.046506945842561e-4
0303-1013-1113,5,5.033219247030401e-4
0303-1013-1203,3,3.0199315482182406e-4
0303-1101,1,1.0066438494060802e-4
0303-1103,15,0.0015099657741091202
0303-1113,2,2.0132876988121604e-4
0303-1203,1,1.0066438494060802e-4
0303-1303,1,1.0066438494060802e-4
0310,5,5.033219247030401e-4
0310-0311,1,1.0066438494060802e-4
0310-0311-1010,1,1.0066438494060802e-4
0310-0311-1010-1011,3,3.0199315482182406e-4
0310-0312,1,1.0066438494060802e-4
0310-0312-1010,2,2.0132876988121604e-4
0310-0312-1010-1012,4,4.026575397624321e-4
0310-0313,1,1.0066438494060802e-4
0310-0313-1010,2,2.0132876988121604e-4
0310-0313-1010-1013,7,7.046506945842561e-4
0310-0313-1010-1110,1,1.0066438494060802e-4
0310-1010,85,0.00855647271995168
0310-1010-1110,3,3.0199315482182406e-4
0311-0312-1011-1012,2,2.0132876988121604e-4
0311-0313,4,4.026575397624321e-4
0311-0313-1011-1013,5,5.033219247030401e-4
0311-0313-1011-1013-1213,1,1.0066438494060802e-4
0311-1010-1011,1,1.0066438494060802e-4
0311-1011,13,0.0013086370042279041
0312,1,1.0066438494060802e-4
0312-1010,3,3.0199315482182406e-4
0312-1010-1012,32,0.0032212603180994566
0312-1010-1012-1112,1,1.0066438494060802e-4
0312-1012,7,7.046506945842561e-4
0312-1012-1112,1,1.0066438494060802e-4
0313,7,7.046506945842561e-4
0313-1010,13,0.0013086370042279041
0313-1010-1013,94,0.009462452184417153
0313-1010-1113,1,1.0066438494060802e-4
0313-1011-1013,3,3.0199315482182406e-4
0313-1013,36,0.0036239178578618887
0313-1013-1213,1,1.0066438494060802e-4
0313-1110,1,1.0066438494060802e-4
0313-1113,1,1.0066438494060802e-4
1000,5,5.033219247030401e-4
1000-1002,1,1.0066438494060802e-4
1000-1003-1203,1,1.0066438494060802e-4
1000-1003-1303,5,5.033219247030401e-4
1000-1303,1,1.0066438494060802e-4
1001,1,1.0066438494060802e-4
1001-1003,2,2.0132876988121604e-4
1001-1003-1303,3,3.0199315482182406e-4
1001-1201-1303,1,1.0066438494060802e-4
1001-1303,1,1.0066438494060802e-4
1002,1,1.0066438494060802e-4
1002-1003-1302-1303,2,2.0132876988121604e-4
1002-1010,5,5.033219247030401e-4
1003,14,0.0014093013891685123
1003-1010,13,0.0013086370042279041
1003-1010-1103,2,2.0132876988121604e-4
1003-1010-1203,4,4.026575397624321e-4
1003-1010-1300-1303,1,1.0066438494060802e-4
1003-1010-1303,74,0.007449164485604993
1003-1010-1303-1310,1,1.0066438494060802e-4
1003-1011,2,2.0132876988121604e-4
1003-1011-1301-1303,5,5.033219247030401e-4
1003-1011-1303,2,2.0132876988121604e-4
1003-1303,34,0.0034225890879806724
1010,1360,0.1369035635192269
1010-1011,65,0.006543185021139521
1010-1012,48,0.004831890477149185
1010-1012-1112-1302,1,1.0066438494060802e-4
1010-1012-1200-1302,1,1.0066438494060802e-4
1010-1012-1300-1302,1,1.0066438494060802e-4
1010-1012-1302,8,8.053150795248641e-4
1010-1013,78,0.007851822025367425
1010-1013-1103-1300-1303,1,1.0066438494060802e-4
1010-1013-1113,1,1.0066438494060802e-4
1010-1013-1210-1303,1,1.0066438494060802e-4
1010-1013-1300-1303,2,2.0132876988121604e-4
1010-1013-1303,125,0.012583048117576002
1010-1013-1313,5,5.033219247030401e-4
1010-1100-1300,1,1.0066438494060802e-4
1010-1103-1303,7,7.046506945842561e-4
1010-1110-1300-1303,2,2.0132876988121604e-4
1010-1112,1,1.0066438494060802e-4
1010-1113-1303,2,2.0132876988121604e-4
1010-1200,1,1.0066438494060802e-4
1010-1203,1,1.0066438494060802e-4
1010-1210-1303,1,1.0066438494060802e-4
1010-1300,15,0.0015099657741091202
1010-1300-1302,1,1.0066438494060802e-4
1010-1300-1303,7,7.046506945842561e-4
1010-1302,1,1.0066438494060802e-4
1010-1303,86,0.00865713710489229
1011,30,0.0030199315482182403
1011-1013,5,5.033219247030401e-4
1011-1013-1301-1303,2,2.0132876988121604e-4
1011-1013-1303,3,3.0199315482182406e-4
1011-1113-1303,1,1.0066438494060802e-4
1011-1203,1,1.0066438494060802e-4
1011-1213-1303,1,1.0066438494060802e-4
1011-1301,6,6.039863096436481e-4
1011-1301-1303,5,5.033219247030401e-4
1011-1303,4,4.026575397624321e-4
1011-1303-1311,1,1.0066438494060802e-4
1012,11,0.001107308234346688
1012-1013,1,1.0066438494060802e-4
1012-1302,5,5.033219247030401e-4
1013,21,0.0021139520837527683
1013-1113-1303,2,2.0132876988121604e-4
1013-1203,1,1.0066438494060802e-4
1013-1203-1303,1,1.0066438494060802e-4
1013-1303,51,0.005133883631971009
1103,1,1.0066438494060802e-4
1103-1303,3,3.0199315482182406e-4
1110,1,1.0066438494060802e-4
1113-1303,1,1.0066438494060802e-4
1203,1,1.0066438494060802e-4
1300-1303,1,1.0066438494060802e-4
1301-1303,1,1.0066438494060802e-4
1302,2,2.0132876988121604e-4
1302-1303,1,1.0066438494060802e-4
1303,36,0.0036239178578618887
