413.346,0.036	0.657,1.755	0.657,27.485
54.794,0.084	0.518,8.068	0.518,167.566
1.582,0.012	52.123,0.012	0.018,39.206
3.408,0.390	229.051,0.008	0.045,26.212
110.961,0.051	0.054,4.507	2.626,4.507	0.054,262.389	2.626,262.389
0.005,36.853
173.290,0.018	173.290,0.830	0.043,63.691
1.782,2.451	105.938,0.078	0.304,134.276
2.104,1.568	97.356,0.026	0.025,95.147
161.195,0.131	0.029,112.400	2.073,112.400
1.740,0.678	120.424,0.013	0.065,14.101
0.002,95.315
575.712,0.108	1.616,122.883
0.483,3.320	40.440,0.087	0.007,207.504
110.786,0.598	0.144,5.775	0.144,537.215
1.740,0.678	120.424,0.013	0.065,14.101
0.059,350.327
5.576,0.016	423.730,0.016	0.148,16.644
1.969,1.244	141.300,0.096	141.300,2.715	0.026,35.009
232.974,0.029	232.974,2.478	0.025,244.715
1.567,0.739	92.379,0.029	92.379,1.878	0.059,48.102
0.884,0.102	75.682,0.102	0.010,59.311
15.361,2.783	0.004,90.925
0.808,0.194	61.885,0.006
1.058,0.767	95.824,0.028	0.012,73.734
22.232,0.116	22.232,0.769	0.003,62.233
2.325,1.965	135.001,0.459	0.814,75.103	47.239,17.530
327.934,0.082	0.245,5.900	0.245,212.907
1.381,1.556	133.874,0.042	0.019,94.141
0.069,4.673	0.002,85.722
66.856,0.093	0.021,476.047	1.440,476.047
0.486,0.565	43.449,0.174	43.449,6.179	0.007,20.119
269.079,0.145
2.997,2.750	213.307,0.039	0.035,201.558
178.634,0.002	0.596,16.026
0.497,2.791	40.729,0.097	0.015,217.031
296.055,0.030	0.850,2.449	0.850,81.720
3.048,0.216	74.335,0.216	0.192,5.657	0.192,139.125
2.839,0.108	138.358,0.108	0.042,146.358
176.780,0.063
1.961,0.663	169.613,0.192	0.059,55.267
1.977,4.828	197.126,0.328	0.020,111.514
0.709,1.121	59.126,0.013	0.011,40.516
2.622,0.518	261.584,0.013	0.089,17.500
3.834,7.007	249.130,0.081	0.043,101.062
55.936,0.086	0.780,37.912	1.991,37.912
1.035,3.723	93.754,0.052	0.054,371.246
55.645,0.674	0.007,2.332	0.007,194.361
16.623,0.006	0.010,22.637
219.905,0.326	0.068,126.428
171.792,0.036	0.121,109.305
114.622,0.025	0.068,109.903	3.606,109.903
299.620,0.032	0.048,111.410
0.095,1.546	8.871,0.027	0.002,127.350
0.135,3.083	5.970,0.386	0.003,179.860
160.047,0.034	0.449,98.453
1.814,0.236	172.659,0.007	0.025,14.655
74.452,0.066	0.020,204.825
