80.563,0.035	80.563,3.125	0.454,83.264
2.280,1.865	199.392,0.028	0.069,136.418
1.664,3.627	152.990,0.194	0.020,344.109
2.362,0.376	216.128,0.004	0.025,25.332
176.002,0.039	1.127,239.161
70.642,0.122	0.036,2.266	0.036,90.499
191.365,0.077	191.365,2.020	0.376,52.680
594.689,0.003	0.794,25.162
0.001,2.233	0.001,96.742
1.842,2.482	49.751,0.049	0.022,201.445
130.656,0.175	0.045,243.127	2.968,243.127
0.706,1.603	57.596,0.033	0.706,7.421
0.402,1.728	35.882,0.035	0.007,166.624
0.069,258.541
103.588,0.017	0.042,76.460
27.695,0.060	27.695,4.751	0.007,342.608
4.971,2.906	157.383,0.186	157.383,7.553	0.054,118.243
48.829,0.263	0.042,152.364
60.398,0.243	0.017,3.485	1.517,3.485	0.017,167.217	1.517,167.217
145.237,0.102	0.119,5.606	0.119,94.834
73.324,0.209	2.024,121.887
2.436,1.209	114.877,0.015	0.124,30.445	5.852,30.445
2.067,0.015	40.812,0.015	0.078,43.977
39.998,0.015	0.158,18.457
2.599,0.343	141.816,0.019	0.033,10.616
2.571,0.057	232.135,0.057	0.196,97.458
0.716,1.197	32.312,0.017	0.007,107.068
62.755,0.084	0.040,205.529
2.969,1.252	224.427,0.043	0.043,109.985
5.316,0.012	414.837,0.012	0.060,16.885
639.471,0.099	0.303,29.288
42.962,1.281	0.060,152.061
85.281,0.382	0.080,6.577	0.080,136.708
69.603,0.042	0.023,174.097
89.837,0.003
29.047,0.078
3.273,2.675	274.511,0.773	0.044,221.454
0.285,0.638	21.720,0.012	0.004,56.125
164.129,0.792	0.879,546.560	9.885,41.610
52.783,0.729	0.025,11.321	0.025,112.229
3.316,0.040	324.656,0.040	0.049,139.622
9.449,3.613	140.391,0.044	0.160,273.080
92.371,0.003
0.987,0.339	41.289,0.339	0.022,165.057
146.747,0.018	146.747,1.600	0.018,100.291
212.548,0.032	0.438,131.379
358.061,0.606	0.209,305.266	8.096,305.266
0.223,177.332	11.057,12.664
0.397,1.521	30.841,0.287	0.010,148.023
3.213,1.079	155.018,0.025	0.065,77.839
2.192,0.239	152.038,0.004	0.130,14.652	8.987,14.652
7.433,0.011	231.484,0.011	7.433,0.932	231.484,0.932	0.185,63.732
68.707,0.079	0.132,43.207
43.041,0.186	0.168,150.177
0.020,131.879
1.026,2.307	95.731,0.960	0.013,173.192
4.040,0.113	201.972,0.113	0.101,68.430
1.572,5.123	102.879,0.066	0.039,105.795
4.060,0.015	329.584,0.015	0.261,105.652
1.600,0.012	151.932,0.012	0.030,110.312
0.028,42.943
0.661,2.183	52.026,0.049	0.010,73.085
114.988,0.139	0.053,160.886
211.759,0.040	0.055,46.783
576.044,0.043	0.243,104.855
3.396,7.896	85.551,0.094	0.074,376.598
0.892,0.095	56.196,0.095	0.033,36.884
133.254,0.003	0.033,23.275	1.534,23.275
107.196,0.043	0.074,0.956	2.034,0.956	0.074,39.654	2.034,39.654
0.007,890.674
262.896,0.024	1.131,42.123
369.456,0.231	369.456,3.661	0.158,322.852
7.804,0.059	105.844,0.059	0.297,88.802
117.157,0.222	0.126,85.797	3.356,85.797
0.048,1.784	0.002,83.720
7.418,0.021	120.564,0.021	0.197,99.674
2.464,1.279	64.961,0.032	0.137,91.240
0.724,3.477	70.502,0.238	0.025,312.990
1.576,4.350	78.816,0.216	0.017,96.932
559.434,0.153
0.187,0.404	18.579,0.004	0.007,36.194
5.414,3.842	52.667,0.147	0.102,29.321
73.310,0.093	0.009,9.046	0.009,201.192
48.758,0.024	0.020,122.659	1.141,122.659
91.672,0.067	0.038,2.677	0.038,106.099
136.702,0.003	1.957,22.487
47.327,0.202	0.038,221.267	0.680,221.267
277.015,0.217	2.921,8.926	2.921,211.442
1.977,3.431	146.907,0.068	0.037,107.462
1.304,1.521	40.367,0.023	0.039,120.596
