parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
5723,4,0210-0303-1010-1013,1010,0210-0313-0403-1010,4,0.11,6.945177,-12.756814,6.8018980000000004,1.073036,0.11
5723,4,0210-0303-1010-1013,0210,0210-0313-0403-1010,4,0.13,0.404184,-1.605862,6.8018980000000004,1.073036,0.13
5724,3,0010-0013-0303,0303,0010-0403,3,0.32,3.115403,10.486388,-5.54287,6.956023,0.32
5724,3,0010-0013-0303,0013,0010-0403,3,0.08,3.917288,-1.513484,-0.08762,6.956023,0.08
5724,3,0010-0013-0303,0010,0010-0403,3,0.6,3.917288,-7.46107,6.455651,0.398552,0.6
5725,2,1010-1011,1010,1010-1011,2,0.48,6.898077,-9.516149,9.238578,-1.213386,0.48
5725,2,1010-1011,1011,1010-1011,2,0.52,6.898077,-9.489536,9.238578,3.954744,0.52
5726,4,0300-0303-1010-1013,1010,0403-1010-1013-1203,4,0.61,5.367981,-15.644551,6.154133,1.059284,0.61
5726,4,0300-0303-1010-1013,1013,0403-1010-1013-1203,4,0.1,5.367981,-9.218038,2.207938,6.880134,0.1
5726,4,0300-0303-1010-1013,0303,0403-1010-1013-1203,4,0.13,0.619578,9.19258,-4.084716,6.880134,0.13
5726,4,0300-0303-1010-1013,0300,0403-1010-1013-1203,4,0.16,0.619578,2.765874,-0.13852,1.059284,0.16
5727,3,1013-1203-1303,1203,-1,3,0.15,8.213191,-0.885147,-5.187607,8.672608,0.15
5727,3,1013-1203-1303,1013,-1,3,0.3,9.525548,-2.504295,0.675292,8.672608,0.3
5727,3,1013-1203-1303,1303,-1,3,0.55,5.699619,5.236512,-5.187607,8.672608,0.55
5728,4,0303-0311-1011-1013,0303,0403-1111-1113,4,0.38,-1.522777,10.828443,-4.777157,6.638228,0.38
5728,4,0303-0311-1011-1013,0311,0403-1111-1113,4,0.29,-1.522777,4.793027,1.77443,1.883754,0.29
5728,4,0303-0311-1011-1013,1013,0403-1111-1113,4,0.12,4.241363,-8.010772,1.426841,6.638228,0.12
5728,4,0303-0311-1011-1013,1011,0403-1111-1113,4,0.21,4.241363,-8.010772,7.978653,1.883754,0.21
5729,3,0303-1010-1103,1010,0403-1010-1203,3,0.65,6.421345,-11.910304,5.782818,2.630524,0.65
