parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
347,4,0300-0303-1010-1013,1013,0403-1010-1113,4,0.11,5.600792,-8.054712,2.56368,8.579068,0.11
347,4,0300-0303-1010-1013,0300,0403-1010-1113,4,0.07,2.520331,2.9660859999999998,0.619951,1.969888,0.07
347,4,0300-0303-1010-1013,0303,0403-1010-1113,4,0.38,2.520331,9.583085,-3.580834,8.579068,0.38
347,4,0300-0303-1010-1013,1010,0403-1010-1113,4,0.44,5.600792,-14.671711,6.764465,1.969888,0.44
348,4,0300-0303-1010-1013,0303,0400-0403-1110-1113,4,0.39,0.133203,13.147234,-4.625924,6.537455,0.39
348,4,0300-0303-1010-1013,0300,0400-0403-1110-1113,4,0.32,0.133203,11.268984,-1.048977,4.153842,0.32
348,4,0300-0303-1010-1013,1010,0400-0403-1110-1113,4,0.19,6.638228,-7.776613,3.662086,4.153842,0.19
348,4,0300-0303-1010-1013,1013,0400-0403-1110-1113,4,0.1,6.638228,-2.079463,0.08514,6.537455,0.1
349,3,0010-0113-0303,0010,0110-0403,3,0.58,4.458045,-6.072404,6.610936,0.149472,0.58
349,3,0010-0113-0303,0113,0110-0403,3,0.23,4.458045,-0.222774,-2.314393,6.50658,0.23
349,3,0010-0113-0303,0303,0110-0403,3,0.19,-1.901811,11.609335,-4.73569,6.50658,0.19
350,2,0313-1013,1013,1113,2,0.89,8.000905,-7.698421,2.629617,5.502857,0.89
350,2,0313-1013,0313,1113,2,0.11,1.400766,2.838393,1.70707,5.502857,0.11
351,3,0313-1010-1113,1010,0413-1010-1113,3,0.31,5.890097,-8.362823,9.465886,1.150061,0.31
351,3,0313-1010-1113,0313,0413-1010-1113,3,0.6,0.478785,3.846093,1.736524,6.394346,0.6
351,3,0313-1010-1113,1113,0413-1010-1113,3,0.09,5.890097,-2.308281,1.736524,6.394346,0.09
352,3,0303-1011-1013,1013,0403-1011-1013,3,0.6,5.206922,-12.386091,2.167258,6.565962,0.6
352,3,0303-1011-1013,1011,0403-1011-1013,3,0.38,5.206922,-12.386091,7.754093,1.362017,0.38
352,3,0303-1011-1013,0303,0403-1011-1013,3,0.02,-1.079368,4.58195,-3.811683,6.565962,0.02
353,1,1010,1010,0110-1010,1,1,7.693685,-14.467246,9.746547,-0.917087,1
354,2,1113-1313,1313,1213,2,0.47,1.488928,4.120522,2.081005,8.905753,0.47
354,2,1113-1313,1113,1213,2,0.53,1.488928,-2.236618,2.426123,8.905753,0.53
355,3,1010-1013-1303,1013,1010-1013-1403,3,0.37,9.067012,-4.755717,6.709319,5.510112,0.37
355,3,1010-1013-1303,1303,1010-1013-1403,3,0.02,6.081034,5.367185,0.503052,5.510112,0.02
355,3,1010-1013-1303,1010,1010-1013-1403,3,0.61,9.067012,-9.83475,8.295286,-0.90004,0.61
356,4,0300-0303-1010-1013,1013,0403-1010-1113,4,0.24,7.984817,-7.241397,1.845637,7.991795,0.24
356,4,0300-0303-1010-1013,0303,0403-1010-1113,4,0.29,2.958916,10.207174,-4.267853,7.991795,0.29
356,4,0300-0303-1010-1013,1010,0403-1010-1113,4,0.28,7.984817,-13.767012,5.84032,1.415298,0.28
356,4,0300-0303-1010-1013,0300,0403-1010-1113,4,0.19,2.958917,3.681547,-0.27317,1.415298,0.19
