Phase,Count,Frequency
0302-1102,1,1.0092854259184497e-4
0303,514,0.05187727089220832
0303-0310,39,0.003936213161081954
0303-0310-1010,33,0.0033306419055308843
0303-0310-1010-1013,5,5.046427129592249e-4
0303-0310-1110,2,2.0185708518368994e-4
0303-0310-1310,1,1.0092854259184497e-4
0303-0311,35,0.003532498990714574
0303-0311-1011,8,8.074283407347598e-4
0303-0311-1011-1013,14,0.0014129995962858296
0303-0311-1011-1103,1,1.0092854259184497e-4
0303-0312-1012-1013,1,1.0092854259184497e-4
0303-1000,10,0.0010092854259184498
0303-1000-1003,3,3.027856277755349e-4
0303-1001,32,0.003229713362939039
0303-1001-1003,16,0.0016148566814695195
0303-1001-1103,3,3.027856277755349e-4
0303-1003,69,0.006964069438837303
0303-1003-1010,297,0.029975777149777956
0303-1003-1011,8,8.074283407347598e-4
0303-1010,1770,0.1786435203875656
0303-1010-1013,1247,0.12585789261203068
0303-1010-1013-1103,7,7.064997981429148e-4
0303-1010-1100,2,2.0185708518368994e-4
0303-1010-1103,83,0.008377069035123133
0303-1010-1113,2,2.0185708518368994e-4
0303-1011,78,0.007872426322163908
0303-1011-1013,122,0.012313282196205087
0303-1011-1013-1103,3,3.027856277755349e-4
0303-1011-1103,5,5.046427129592249e-4
0303-1013,255,0.02573677836092047
0303-1013-1103,3,3.027856277755349e-4
0303-1100,1,1.0092854259184497e-4
0303-1101,1,1.0092854259184497e-4
0303-1103,19,0.0019176423092450545
0303-1110,4,4.037141703673799e-4
0303-1111,1,1.0092854259184497e-4
0310,9,9.083568833266048e-4
0310-0311,1,1.0092854259184497e-4
0310-0311-1010-1011,1,1.0092854259184497e-4
0310-0312-1010,2,2.0185708518368994e-4
0310-0312-1010-1012,1,1.0092854259184497e-4
0310-0313,5,5.046427129592249e-4
0310-0313-1010,3,3.027856277755349e-4
0310-0313-1010-1013,2,2.0185708518368994e-4
0310-1010,27,0.0027250706499798143
0310-1110,2,2.0185708518368994e-4
0311,3,3.027856277755349e-4
0311-0312-1011-1012,1,1.0092854259184497e-4
0311-0313,6,6.055712555510698e-4
0311-0313-1011-1013,4,4.037141703673799e-4
0311-1011,1,1.0092854259184497e-4
0312,1,1.0092854259184497e-4
0312-0313,2,2.0185708518368994e-4
0312-0313-1012-1013,3,3.027856277755349e-4
0312-1010,17,0.0017157852240613646
0312-1010-1012,13,0.0013120710536939847
0312-1012,1,1.0092854259184497e-4
0313,17,0.0017157852240613646
0313-1010,49,0.004945498587000404
0313-1010-1013,31,0.003128784820347194
0313-1010-1113,4,4.037141703673799e-4
0313-1011,5,5.046427129592249e-4
0313-1011-1013,5,5.046427129592249e-4
0313-1013,13,0.0013120710536939847
1000,2,2.0185708518368994e-4
1000-1003,1,1.0092854259184497e-4
1000-1303,1,1.0092854259184497e-4
1001,1,1.0092854259184497e-4
1001-1003,7,7.064997981429148e-4
1001-1103,4,4.037141703673799e-4
1001-1303,12,0.0012111425111021397
1002,1,1.0092854259184497e-4
1002-1003,1,1.0092854259184497e-4
1002-1010,31,0.003128784820347194
1003,30,0.0030278562777553493
1003-1010,141,0.01423092450545014
1003-1011,15,0.0015139281388776747
1003-1012,1,1.0092854259184497e-4
1010,1026,0.10355268469923294
1010-1011,130,0.013120710536939846
1010-1011-1100-1101,1,1.0092854259184497e-4
1010-1012,125,0.012616067823980621
1010-1012-1302,2,2.0185708518368994e-4
1010-1013,464,0.046830843762616065
1010-1013-1103,7,7.064997981429148e-4
1010-1013-1203,3,3.027856277755349e-4
1010-1013-1303,94,0.009487283003633428
1010-1100-1303,4,4.037141703673799e-4
1010-1103,73,0.007367783609204683
1010-1110,1,1.0092854259184497e-4
1010-1112,1,1.0092854259184497e-4
1010-1112-1302,1,1.0092854259184497e-4
1010-1113,7,7.064997981429148e-4
1010-1113-1303,7,7.064997981429148e-4
1010-1200-1303,1,1.0092854259184497e-4
1010-1203,13,0.0013120710536939847
1010-1300,6,6.055712555510698e-4
1010-1300-1302,1,1.0092854259184497e-4
1010-1300-1303,14,0.0014129995962858296
1010-1302,3,3.027856277755349e-4
1010-1303,302,0.030480419862737182
1010-1313,1,1.0092854259184497e-4
1011,25,0.002523213564796124
1011-1012,2,2.0185708518368994e-4
1011-1013,58,0.005853855470327008
1011-1013-1303,11,0.0011102139685102946
1011-1103,4,4.037141703673799e-4
1011-1113-1303,1,1.0092854259184497e-4
1011-1301-1303,2,2.0185708518368994e-4
1011-1303,10,0.0010092854259184498
1012,1,1.0092854259184497e-4
1012-1013,2,2.0185708518368994e-4
1012-1013-1302-1303,1,1.0092854259184497e-4
1013,87,0.008780783205490512
1013-1103,1,1.0092854259184497e-4
1013-1303,16,0.0016148566814695195
1100,2,2.0185708518368994e-4
1100-1303,3,3.027856277755349e-4
1101-1103,3,3.027856277755349e-4
1101-1303,3,3.027856277755349e-4
1102-1103,1,1.0092854259184497e-4
1103,12,0.0012111425111021397
1110,1,1.0092854259184497e-4
1110-1303,2,2.0185708518368994e-4
1111-1113,1,1.0092854259184497e-4
1113-1303,3,3.027856277755349e-4
1200-1303,1,1.0092854259184497e-4
1203,4,4.037141703673799e-4
1213-1303,2,2.0185708518368994e-4
1300,2,2.0185708518368994e-4
1300-1303,1,1.0092854259184497e-4
1301-1303,5,5.046427129592249e-4
1302-1303,6,6.055712555510698e-4
1303,51,0.005147355672184093
1303-1310,4,4.037141703673799e-4
1303-1311,1,1.0092854259184497e-4
1312-1313,1,1.0092854259184497e-4
