parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
5918,3,0303-3003-3030,3003,0301-0303-3003-3010-3030,3,0.067,4.17637,-0.299945,-1.998474,3.441944,0.067
5918,3,0303-3003-3030,3030,0301-0303-3003-3010-3030,3,0.546,9.003122,-4.745827,5.733381,-7.277873,0.546
5919,2,0303-3030,3030,0023-0030-0200-0203-0300-0303-0330-3030,2,0.271,5.493121,-7.666013,7.574951,-11.144042,0.271
5919,2,0303-3030,0303,0023-0030-0200-0203-0300-0303-0330-3030,2,0.729,-12.877339,6.889779,-8.004696,6.841211,0.729
5920,3,0303-0330-3030,0330,0030-0303-0320-0330-3030,3,0.698,-8.331607,5.386335,3.052377,-4.946655,0.698
5920,3,0303-0330-3030,0303,0030-0303-0320-0330-3030,3,0.237,-13.374662,6.997658,-5.897222,5.843575,0.237
5920,3,0303-0330-3030,3030,0030-0303-0320-0330-3030,3,0.065,4.055209,-6.5135439999999996,7.983881,-9.182345,0.065
5921,2,0303-3030,3030,0103-0301-0303-0311-3030,2,0.853,6.259276,-11.083722,7.645414,-11.274415,0.853
5921,2,0303-3030,0303,0103-0301-0303-0311-3030,2,0.147,-5.178075,5.172157,-7.907376,5.114197,0.147
5922,2,0303-3030,0303,0300-0303-3030,2,0.299,-9.040826,5.699236,-9.919046,7.739366,0.299
5922,2,0303-3030,3030,0300-0303-3030,2,0.701,7.524568,-10.22139,6.680076,-9.789631,0.701
5923,2,0303-3030,0303,0103-0300-0303-1020-1030-3020-3030,2,0.245,-10.285239,6.456248,-10.52981,5.172228,0.245
5923,2,0303-3030,3030,0103-0300-0303-1020-1030-3020-3030,2,0.755,6.01538,-11.606278,7.128999,-13.353444,0.755
5924,2,0303-3030,0303,0011-0103-0301-0303-3010-3030,2,0.296,-6.277382,5.752751,-9.742524,5.635672,0.296
5924,2,0303-3030,3030,0011-0103-0301-0303-3010-3030,2,0.704,6.914477,-7.749742,6.563139,-7.11625,0.704
5925,2,0030-0303,0030,0023-0030-0301-0303-3030,2,0.528,-3.142677,-2.971441,7.19447,-5.080824,0.528
5925,2,0030-0303,0303,0023-0030-0301-0303-3030,2,0.472,-15.062755,7.455259,-11.653439,5.064405,0.472
5926,2,0303-3030,3030,0001-0003-0301-0303-3000-3030,2,0.747,5.396068,-10.981614,5.015747,-9.405454,0.747
5926,2,0303-3030,0303,0001-0003-0301-0303-3000-3030,2,0.253,-10.993104,4.500286,-9.481586,6.133303,0.253
5927,3,0003-0303-3030,3030,0003-0012-0032-0303-3003-3010-3030,3,0.469,9.234235,-11.783361,6.399078,-7.933668,0.469
5927,3,0003-0303-3030,0003,0003-0012-0032-0303-3003-3010-3030,3,0.488,-3.016133,-2.468073,-2.435406,7.837094,0.488
5927,3,0003-0303-3030,0303,0003-0012-0032-0303-3003-3010-3030,3,0.043,-8.229606,3.957513,-7.82048,7.85074,0.043
5928,4,0300-0303-2300-3030,0300,0300-0303-2300-3000-3030,4,0.13,-4.78178,7.016454,-6.819077,-2.144658,0.13
5928,4,0300-0303-2300-3030,2300,0300-0303-2300-3000-3030,4,0.24,1.947833,6.149899,-6.818675,-7.203189,0.24
5928,4,0300-0303-2300-3030,0303,0300-0303-2300-3000-3030,4,0.1,-10.825364,7.016561,-12.13263,4.181531,0.1
